;ENSCAFT00000014390_90_90;ENST00000340417_90_90;ENST00000442461_90_90;ENST00000446851_90_90;ENST00000505397_90_90;ENST00000506560_90_90;ENST00000508171_90_90;ENST00000510557_90_90;ENST00000510877_90_90;ENSMUST00000046154_90_90;ENSMUST00000123572_90_90;ENSMUST00000134439_90_90;ENSMUST00000137750_90_90;ENSMUST00000139234_90_90;ENSMUST00000144030_90_90;ENSMUST00000149714_90_90;ENSMUST00000152387_90_90;ENSMUST00000154921_90_90
ENSCAFT00000014390_90_90;1.0;1.0;0.75;0.75;1.0;0.5;0.625;0.75;0.375;1.0;1.0;0.375;0.75;0.625;0.556;0.75;0.5;0.75
ENST00000340417_90_90;1.0;1.0;0.75;0.75;1.0;0.5;0.625;0.75;0.375;1.0;1.0;0.375;0.75;0.625;0.556;0.75;0.5;0.75
ENST00000442461_90_90;0.75;0.75;1.0;1.0;0.75;0.25;0.375;1.0;0.5;0.75;0.75;0.286;1.0;0.375;0.714;1.0;0.25;1.0
ENST00000446851_90_90;0.75;0.75;1.0;1.0;0.75;0.25;0.375;1.0;0.5;0.75;0.75;0.286;1.0;0.375;0.714;1.0;0.25;1.0
ENST00000505397_90_90;1.0;1.0;0.75;0.75;1.0;0.5;0.625;0.75;0.375;1.0;1.0;0.375;0.75;0.625;0.556;0.75;0.5;0.75
ENST00000506560_90_90;0.5;0.5;0.25;0.25;0.5;1.0;0.5;0.25;0.167;0.5;0.5;0.167;0.25;0.5;0.111;0.25;1.0;0.25
ENST00000508171_90_90;0.625;0.625;0.375;0.375;0.625;0.5;1.0;0.375;0.333;0.625;0.625;0.333;0.375;1.0;0.375;0.375;0.5;0.375
ENST00000510557_90_90;0.75;0.75;1.0;1.0;0.75;0.25;0.375;1.0;0.5;0.75;0.75;0.286;1.0;0.375;0.714;1.0;0.25;1.0
ENST00000510877_90_90;0.375;0.375;0.5;0.5;0.375;0.167;0.333;0.5;1.0;0.375;0.375;0.5;0.5;0.333;0.5;0.5;0.167;0.5
ENSMUST00000046154_90_90;1.0;1.0;0.75;0.75;1.0;0.5;0.625;0.75;0.375;1.0;1.0;0.375;0.75;0.625;0.556;0.75;0.5;0.75
ENSMUST00000123572_90_90;1.0;1.0;0.75;0.75;1.0;0.5;0.625;0.75;0.375;1.0;1.0;0.375;0.75;0.625;0.556;0.75;0.5;0.75
ENSMUST00000134439_90_90;0.375;0.375;0.286;0.286;0.375;0.167;0.333;0.286;0.5;0.375;0.375;1.0;0.286;0.333;0.286;0.286;0.167;0.286
ENSMUST00000137750_90_90;0.75;0.75;1.0;1.0;0.75;0.25;0.375;1.0;0.5;0.75;0.75;0.286;1.0;0.375;0.714;1.0;0.25;1.0
ENSMUST00000139234_90_90;0.625;0.625;0.375;0.375;0.625;0.5;1.0;0.375;0.333;0.625;0.625;0.333;0.375;1.0;0.375;0.375;0.5;0.375
ENSMUST00000144030_90_90;0.556;0.556;0.714;0.714;0.556;0.111;0.375;0.714;0.5;0.556;0.556;0.286;0.714;0.375;1.0;0.714;0.111;0.714
ENSMUST00000149714_90_90;0.75;0.75;1.0;1.0;0.75;0.25;0.375;1.0;0.5;0.75;0.75;0.286;1.0;0.375;0.714;1.0;0.25;1.0
ENSMUST00000152387_90_90;0.5;0.5;0.25;0.25;0.5;1.0;0.5;0.25;0.167;0.5;0.5;0.167;0.25;0.5;0.111;0.25;1.0;0.25
ENSMUST00000154921_90_90;0.75;0.75;1.0;1.0;0.75;0.25;0.375;1.0;0.5;0.75;0.75;0.286;1.0;0.375;0.714;1.0;0.25;1.0
