;ENSCAFT00000000383_90_90;ENSCAFT00000035671_90_90;ENST00000353331_90_90;ENST00000392348_90_90;ENST00000527536_90_90;ENST00000527613_90_90;ENST00000527759_90_90;ENST00000529826_90_90;ENST00000530429_90_90;ENST00000530767_90_90;ENST00000531224_90_90;ENST00000532384_90_90;ENST00000533422_90_90;ENST00000533621_90_90;ENST00000534269_90_90;ENST00000534762_90_90;ENST00000628517_90_90;ENST00000640069_90_90;ENSMUST00000043881_90_90;ENSMUST00000092678_90_90;ENSMUST00000185800_90_90;ENSMUST00000186100_90_90;ENSMUST00000189158_90_90;ENSMUST00000190156_90_90;ENSMUST00000191438_90_90
ENSCAFT00000000383_90_90;1.0;0.861;0.806;0.806;0.833;0.722;0.833;0.657;0.694;0.806;0.861;0.722;0.118;0.235;0.429;0.176;0.722;0.639;0.833;0.806;0.806;0.714;0.029;0.686;0.611
ENSCAFT00000035671_90_90;0.861;1.0;0.684;0.684;0.711;0.649;0.711;0.583;0.622;0.684;0.737;0.649;0.088;0.206;0.361;0.147;0.649;0.568;0.711;0.684;0.684;0.639;0.029;0.611;0.541
ENST00000353331_90_90;0.806;0.684;1.0;1.0;0.969;0.735;0.969;0.719;0.758;0.879;0.939;0.735;0.129;0.258;0.469;0.156;0.735;0.647;0.8;0.824;0.824;0.629;0.031;0.647;0.667
ENST00000392348_90_90;0.806;0.684;1.0;1.0;0.969;0.735;0.969;0.719;0.758;0.879;0.939;0.735;0.129;0.258;0.469;0.156;0.735;0.647;0.8;0.824;0.824;0.629;0.031;0.647;0.667
ENST00000527536_90_90;0.833;0.711;0.969;0.969;1.0;0.765;0.939;0.75;0.735;0.909;0.97;0.765;0.125;0.25;0.455;0.152;0.765;0.676;0.829;0.853;0.8;0.657;0.03;0.629;0.647
ENST00000527613_90_90;0.722;0.649;0.735;0.735;0.765;1.0;0.714;0.857;0.964;0.686;0.743;1.0;0.0;0.286;0.517;0.062;1.0;0.767;0.622;0.639;0.595;0.862;0.034;0.828;0.444
ENST00000527759_90_90;0.833;0.711;0.969;0.969;0.939;0.714;1.0;0.697;0.735;0.909;0.97;0.714;0.125;0.25;0.455;0.188;0.714;0.629;0.829;0.8;0.853;0.611;0.03;0.629;0.647
ENST00000529826_90_90;0.657;0.583;0.719;0.719;0.75;0.857;0.697;1.0;0.821;0.667;0.727;0.857;0.0;0.333;0.6;0.034;0.857;0.815;0.6;0.618;0.571;0.724;0.04;0.69;0.412
ENST00000530429_90_90;0.694;0.622;0.758;0.758;0.735;0.964;0.735;0.821;1.0;0.657;0.714;0.964;0.0;0.296;0.536;0.065;0.964;0.733;0.595;0.611;0.611;0.828;0.036;0.857;0.457
ENST00000530767_90_90;0.806;0.684;0.879;0.879;0.909;0.686;0.909;0.667;0.657;1.0;0.939;0.686;0.129;0.219;0.469;0.194;0.686;0.6;0.8;0.771;0.771;0.583;0.031;0.556;0.571
