;ENSCAFT00000031982_90_90;ENST00000373064_90_90;ENST00000373066_90_90;ENST00000373068_90_90;ENST00000373069_90_90;ENST00000432073_90_90;ENST00000466983_90_90;ENST00000472769_90_90;ENSMUST00000028160_90_90;ENSMUST00000052119_90_90;ENSMUST00000113307_90_90;ENSMUST00000113308_90_90;ENSMUST00000113310_90_90;ENSMUST00000127961_90_90;ENSMUST00000136361_90_90;ENSMUST00000153886_90_90
ENSCAFT00000031982_90_90;1.0;0.643;0.714;0.929;1.0;0.643;0.214;0.0;1.0;0.786;0.714;0.714;0.929;0.357;0.429;0.286
ENST00000373064_90_90;0.643;1.0;0.733;0.647;0.579;0.846;0.308;0.077;0.588;0.714;1.0;0.833;0.667;0.385;0.636;0.455
ENST00000373066_90_90;0.714;0.733;1.0;0.579;0.684;0.857;0.267;0.0;0.706;1.0;0.714;0.846;0.588;0.538;0.538;0.385
ENST00000373068_90_90;0.929;0.647;0.579;1.0;0.889;0.647;0.235;0.0;0.875;0.588;0.667;0.667;1.0;0.312;0.5;0.357
ENST00000373069_90_90;1.0;0.579;0.684;0.889;1.0;0.579;0.211;0.0;1.0;0.706;0.588;0.588;0.875;0.438;0.438;0.312
ENST00000432073_90_90;0.643;0.846;0.857;0.647;0.579;1.0;0.308;0.0;0.588;0.846;0.833;1.0;0.667;0.385;0.636;0.455
ENST00000466983_90_90;0.214;0.308;0.267;0.235;0.211;0.308;1.0;0.0;0.188;0.231;0.273;0.273;0.214;0.111;0.25;0.333
ENST00000472769_90_90;0.0;0.077;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.091;0.0;0.0;0.0;0.0;0.0
ENSMUST00000028160_90_90;1.0;0.588;0.706;0.875;1.0;0.588;0.188;0.0;1.0;0.722;0.611;0.611;0.882;0.389;0.368;0.294
ENSMUST00000052119_90_90;0.786;0.714;1.0;0.588;0.706;0.846;0.231;0.0;0.722;1.0;0.733;0.857;0.611;0.467;0.438;0.357
ENSMUST00000113307_90_90;0.714;1.0;0.714;0.667;0.588;0.833;0.273;0.091;0.611;0.733;1.0;0.846;0.688;0.333;0.5;0.417
ENSMUST00000113308_90_90;0.714;0.833;0.846;0.667;0.588;1.0;0.273;0.0;0.611;0.857;0.846;1.0;0.688;0.333;0.5;0.417
ENSMUST00000113310_90_90;0.929;0.667;0.588;1.0;0.875;0.667;0.214;0.0;0.882;0.611;0.688;0.688;1.0;0.278;0.412;0.333
ENSMUST00000127961_90_90;0.357;0.385;0.538;0.312;0.438;0.385;0.111;0.0;0.389;0.467;0.333;0.333;0.278;1.0;0.545;0.444
ENSMUST00000136361_90_90;0.429;0.636;0.538;0.5;0.438;0.636;0.25;0.0;0.368;0.438;0.5;0.5;0.412;0.545;1.0;0.556
ENSMUST00000153886_90_90;0.286;0.455;0.385;0.357;0.312;0.455;0.333;0.0;0.294;0.357;0.417;0.417;0.333;0.444;0.556;1.0
