;transcript1_ENSMLUG00000027828;transcript1_ENSSTOG00000019743;transcript1_ENSCCNG00000000226;transcript10_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript28_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript29_ENSCPOG00000024843;transcript30_ENSSTOG00000019743;transcript30_ENSCCNG00000000226;transcript31_ENSSTOG00000019743;transcript35_ENSCPOG00000024843;transcript36_ENSCPOG00000024843;transcript37_ENSCPOG00000024843
transcript1_ENSMLUG00000027828;1.0;0.912;0.922;0.863;0.863;0.855;0.786;0.873;0.917;0.873;0.884;0.857;0.957;0.939;0.957
transcript1_ENSSTOG00000019743;0.912;1.0;0.917;0.79;0.79;0.787;0.861;0.954;0.91;0.954;0.877;0.939;0.952;0.938;0.952
transcript1_ENSCCNG00000000226;0.922;0.917;1.0;0.789;0.789;0.781;0.785;0.875;0.917;0.875;0.956;0.861;0.96;0.944;0.96
transcript10_ENSMLUG00000027828;0.863;0.79;0.789;1.0;1.0;0.992;0.906;0.827;0.864;0.827;0.825;0.809;0.826;0.807;0.826
transcript16_ENSMLUG00000027828;0.863;0.79;0.789;1.0;1.0;0.992;0.906;0.827;0.864;0.827;0.825;0.809;0.826;0.807;0.826
transcript28_ENSMLUG00000027828;0.855;0.787;0.781;0.992;0.992;1.0;0.902;0.823;0.856;0.823;0.817;0.814;0.818;0.813;0.818
transcript9_ENSSTOG00000019743;0.786;0.861;0.785;0.906;0.906;0.902;1.0;0.903;0.86;0.903;0.824;0.887;0.819;0.805;0.819
transcript29_ENSSTOG00000019743;0.873;0.954;0.875;0.827;0.827;0.823;0.903;1.0;0.952;1.0;0.917;0.984;0.908;0.895;0.908
transcript29_ENSCPOG00000024843;0.917;0.91;0.917;0.864;0.864;0.856;0.86;0.952;1.0;0.952;0.959;0.937;0.956;0.939;0.956
transcript30_ENSSTOG00000019743;0.873;0.954;0.875;0.827;0.827;0.823;0.903;1.0;0.952;1.0;0.917;0.984;0.908;0.895;0.908
transcript30_ENSCCNG00000000226;0.884;0.877;0.956;0.825;0.825;0.817;0.824;0.917;0.959;0.917;1.0;0.902;0.917;0.901;0.917
transcript31_ENSSTOG00000019743;0.857;0.939;0.861;0.809;0.809;0.814;0.887;0.984;0.937;0.984;0.902;1.0;0.893;0.907;0.893
transcript35_ENSCPOG00000024843;0.957;0.952;0.96;0.826;0.826;0.818;0.819;0.908;0.956;0.908;0.917;0.893;1.0;0.984;1.0
transcript36_ENSCPOG00000024843;0.939;0.938;0.944;0.807;0.807;0.813;0.805;0.895;0.939;0.895;0.901;0.907;0.984;1.0;0.984
transcript37_ENSCPOG00000024843;0.957;0.952;0.96;0.826;0.826;0.818;0.819;0.908;0.956;0.908;0.917;0.893;1.0;0.984;1.0
