;ENSCAFT00000026849_90_90;ENST00000259021_90_90;ENST00000424009_90_90;ENST00000435742_90_90;ENST00000454930_90_90;ENST00000506533_90_90;ENST00000509773_90_90;ENST00000510819_90_90;ENSMUST00000072621_90_90;ENSMUST00000092766_90_90;ENSMUST00000103159_90_90;ENSMUST00000107733_90_90;ENSMUST00000107734_90_90;ENSMUST00000138671_90_90
ENSCAFT00000026849_90_90;1.0;0.999;0.95;0.696;0.771;0.026;0.819;0.722;0.943;0.992;0.853;0.95;0.999;0.245
ENST00000259021_90_90;0.999;1.0;0.951;0.696;0.773;0.026;0.82;0.723;0.932;0.981;0.854;0.951;1.0;0.245
ENST00000424009_90_90;0.95;0.951;1.0;0.731;0.723;0.028;0.862;0.761;0.98;0.932;0.898;1.0;0.951;0.258
ENST00000435742_90_90;0.696;0.696;0.731;1.0;0.761;0.038;0.72;0.809;0.729;0.693;0.814;0.731;0.696;0.352
ENST00000454930_90_90;0.771;0.773;0.723;0.761;1.0;0.0;0.832;0.936;0.707;0.756;0.801;0.723;0.773;0.317
ENST00000506533_90_90;0.026;0.026;0.028;0.038;0.0;1.0;0.0;0.0;0.027;0.026;0.031;0.028;0.026;0.0
ENST00000509773_90_90;0.819;0.82;0.862;0.72;0.832;0.0;1.0;0.882;0.844;0.803;0.761;0.862;0.82;0.299
ENST00000510819_90_90;0.722;0.723;0.761;0.809;0.936;0.0;0.882;1.0;0.743;0.707;0.847;0.761;0.723;0.339
ENSMUST00000072621_90_90;0.943;0.932;0.98;0.729;0.707;0.027;0.844;0.743;1.0;0.951;0.879;0.98;0.932;0.257
ENSMUST00000092766_90_90;0.992;0.981;0.932;0.693;0.756;0.026;0.803;0.707;0.951;1.0;0.837;0.932;0.981;0.244
ENSMUST00000103159_90_90;0.853;0.854;0.898;0.814;0.801;0.031;0.761;0.847;0.879;0.837;1.0;0.898;0.854;0.287
ENSMUST00000107733_90_90;0.95;0.951;1.0;0.731;0.723;0.028;0.862;0.761;0.98;0.932;0.898;1.0;0.951;0.258
ENSMUST00000107734_90_90;0.999;1.0;0.951;0.696;0.773;0.026;0.82;0.723;0.932;0.981;0.854;0.951;1.0;0.245
ENSMUST00000138671_90_90;0.245;0.245;0.258;0.352;0.317;0.0;0.299;0.339;0.257;0.244;0.287;0.258;0.245;1.0
