;transcript38_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript57_ENSMUGG00000013649;transcript58_ENSMUGG00000013649;transcript59_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00015005362;transcript9_ENSCGRG00015005362;transcript38_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript8_ENSCGRG00000018457;transcript38_ENSCGRG00000018457;transcript52_ENSCGRG00000018457;transcript56_ENSCGRG00000018457;transcript65_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript52_ENSCGRG00001010245;transcript8_ENSPEMG00000024651;transcript9_ENSPEMG00000024651;transcript33_ENSPEMG00000024651;transcript37_ENSPEMG00000024651;transcript39_ENSPEMG00000024651;transcript56_ENSPEMG00000024651;transcript57_ENSPEMG00000024651;transcript58_ENSPEMG00000024651;transcript59_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript33_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript37_ENSSTOG00000019743;transcript38_ENSSTOG00000019743;transcript39_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript38_ENSRNOG00000031503;1.0;0.778;0.724;0.773;0.774;0.747;0.655;0.866;0.868;0.886;0.778;0.867;0.886;0.801;0.823;0.788;0.778;0.801;0.69;0.77;0.77;0.691;0.692;0.762;0.674;0.716;0.69;0.443;0.571;0.865;0.865;0.865;0.849;0.851;0.764;0.865
transcript37_ENSMUGG00000013649;0.778;1.0;0.913;0.991;0.989;0.959;0.828;0.881;0.882;0.862;1.0;0.835;0.862;0.816;0.8;0.8;1.0;0.816;0.698;0.791;0.791;0.883;0.696;0.78;0.668;0.736;0.695;0.419;0.636;0.885;0.885;0.885;0.863;0.86;0.972;0.885
transcript57_ENSMUGG00000013649;0.724;0.913;1.0;0.904;0.902;0.882;0.75;0.803;0.805;0.785;0.913;0.758;0.785;0.739;0.723;0.723;0.913;0.739;0.619;0.712;0.712;0.796;0.618;0.701;0.589;0.658;0.617;0.38;0.603;0.808;0.808;0.808;0.786;0.783;0.885;0.808
transcript58_ENSMUGG00000013649;0.773;0.991;0.904;1.0;0.998;0.95;0.819;0.873;0.874;0.854;0.991;0.827;0.854;0.808;0.792;0.792;0.991;0.808;0.692;0.786;0.786;0.877;0.691;0.774;0.662;0.731;0.69;0.423;0.628;0.877;0.877;0.877;0.855;0.852;0.963;0.877
transcript59_ENSMUGG00000013649;0.774;0.989;0.902;0.998;1.0;0.948;0.817;0.874;0.876;0.855;0.989;0.828;0.855;0.809;0.794;0.794;0.989;0.809;0.693;0.787;0.787;0.875;0.692;0.776;0.663;0.732;0.691;0.423;0.629;0.876;0.876;0.876;0.854;0.854;0.961;0.876
transcript37_ENSMUGG00000013592;0.747;0.959;0.882;0.95;0.948;1.0;0.863;0.844;0.846;0.828;0.959;0.804;0.828;0.783;0.77;0.767;0.959;0.783;0.663;0.757;0.757;0.845;0.662;0.757;0.641;0.705;0.661;0.405;0.609;0.849;0.849;0.849;0.833;0.83;0.938;0.849
transcript51_ENSMUGG00000013592;0.655;0.828;0.75;0.819;0.817;0.863;1.0;0.728;0.73;0.712;0.828;0.731;0.712;0.666;0.653;0.65;0.828;0.666;0.545;0.638;0.638;0.714;0.544;0.638;0.728;0.587;0.542;0.349;0.565;0.733;0.733;0.733;0.716;0.713;0.806;0.733
transcript8_ENSCGRG00015005362;0.866;0.881;0.803;0.873;0.874;0.844;0.728;1.0;0.998;0.978;0.881;0.951;0.978;0.932;0.916;0.916;0.881;0.932;0.784;0.879;0.879;0.777;0.785;0.868;0.757;0.825;0.784;0.483;0.692;0.995;0.995;0.995;0.973;0.976;0.862;0.995
transcript9_ENSCGRG00015005362;0.868;0.882;0.805;0.874;0.876;0.846;0.73;0.998;1.0;0.979;0.882;0.953;0.979;0.934;0.918;0.918;0.882;0.934;0.785;0.88;0.88;0.778;0.787;0.869;0.759;0.826;0.785;0.484;0.694;0.997;0.997;0.997;0.975;0.978;0.863;0.997
transcript38_ENSCGRG00015005362;0.886;0.862;0.785;0.854;0.855;0.828;0.712;0.978;0.979;1.0;0.862;0.973;1.0;0.913;0.937;0.897;0.862;0.913;0.779;0.874;0.874;0.772;0.781;0.863;0.752;0.82;0.779;0.494;0.674;0.976;0.976;0.976;0.954;0.957;0.843;0.976
