;transcript12_ppan;transcript19_ppan;transcript20_ppan;transcript12_ptro;transcript12_hsap;transcript18_hsap;transcript19_hsap;transcript20_hsap;transcript21_hsap;transcript11_ggor;transcript12_ggor;transcript16_ggor;transcript17_ggor;transcript18_ggor;transcript19_ggor;transcript8_pabe
transcript12_ppan;1.0;0.923;0.923;1.0;1.0;0.615;0.923;0.846;1.0;0.636;0.909;0.818;0.818;0.636;0.909;1.0
transcript19_ppan;0.923;1.0;0.846;0.917;0.923;0.538;1.0;0.769;0.923;0.545;0.818;0.727;0.727;0.545;1.0;0.923
transcript20_ppan;0.923;0.846;1.0;0.917;0.923;0.538;0.846;0.917;0.923;0.545;0.818;0.9;0.9;0.545;0.818;0.923
transcript12_ptro;1.0;0.917;0.917;1.0;1.0;0.667;0.917;0.833;1.0;0.7;0.9;0.8;0.8;0.7;0.9;1.0
transcript12_hsap;1.0;0.923;0.923;1.0;1.0;0.381;0.923;0.846;0.481;0.438;0.909;0.45;0.45;0.438;0.909;0.481
transcript18_hsap;0.615;0.538;0.538;0.667;0.381;1.0;0.333;0.35;0.593;0.917;0.4;0.526;0.526;0.917;0.312;0.593
transcript19_hsap;0.923;1.0;0.846;0.917;0.923;0.333;1.0;0.769;0.444;0.375;0.818;0.4;0.4;0.375;1.0;0.444
transcript20_hsap;0.846;0.769;0.917;0.833;0.846;0.35;0.769;1.0;0.407;0.312;0.727;0.421;0.421;0.312;0.727;0.407
transcript21_hsap;1.0;0.923;0.923;1.0;0.481;0.593;0.444;0.407;1.0;0.6;0.5;0.9;0.9;0.6;0.5;1.0
transcript11_ggor;0.636;0.545;0.545;0.7;0.438;0.917;0.375;0.312;0.6;1.0;0.412;0.545;0.545;0.929;0.333;0.609
transcript12_ggor;0.909;0.818;0.818;0.9;0.909;0.4;0.818;0.727;0.5;0.412;1.0;0.429;0.429;0.438;0.818;0.435
transcript16_ggor;0.818;0.727;0.9;0.8;0.45;0.526;0.4;0.421;0.9;0.545;0.429;1.0;1.0;0.571;0.364;0.87
transcript17_ggor;0.818;0.727;0.9;0.8;0.45;0.526;0.4;0.421;0.9;0.545;0.429;1.0;1.0;0.571;0.364;0.87
transcript18_ggor;0.636;0.545;0.545;0.7;0.438;0.917;0.375;0.312;0.6;0.929;0.438;0.571;0.571;1.0;0.353;0.565
transcript19_ggor;0.909;1.0;0.818;0.9;0.909;0.312;1.0;0.727;0.5;0.333;0.818;0.364;0.364;0.353;1.0;0.435
transcript8_pabe;1.0;0.923;0.923;1.0;0.481;0.593;0.444;0.407;1.0;0.609;0.435;0.87;0.87;0.565;0.435;1.0
