;transcript6_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript16_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript16_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript2_ENSHGLG00100006079;transcript8_ENSHGLG00100006079;transcript2_ENSXMAG00000026005;transcript7_ENSXMAG00000026005;transcript9_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript8_ENSXMAG00000026005
transcript6_ENSPCIG00000036398;1.0;0.084;0.158;0.971;0.971;0.971;0.893;0.887;0.368;0.887;0.055;0.887;0.893;0.49
transcript7_ENSPCIG00000036398;0.084;1.0;0.0;0.0;0.0;0.0;0.07;0.069;0.067;0.069;0.611;0.069;0.07;0.066
transcript7_ENSMUNG00000007775;0.158;0.0;1.0;0.333;0.333;0.333;0.171;0.341;0.6;0.341;0.0;0.341;0.153;0.75
transcript16_ENSMUNG00000007775;0.971;0.0;0.333;1.0;1.0;1.0;1.0;0.992;0.073;0.995;0.0;0.995;0.958;0.136
transcript23_ENSMUNG00000007775;0.971;0.0;0.333;1.0;1.0;1.0;1.0;0.992;0.073;0.995;0.0;0.995;0.958;0.136
transcript16_ENSMUNG00000002377;0.971;0.0;0.333;1.0;1.0;1.0;1.0;0.992;0.073;0.995;0.0;0.995;0.958;0.136
transcript10_ENSMUNG00000002391;0.893;0.07;0.171;1.0;1.0;1.0;1.0;1.0;0.551;1.0;0.052;1.0;1.0;0.703
transcript2_ENSHGLG00100006079;0.887;0.069;0.341;0.992;0.992;0.992;1.0;1.0;0.559;1.0;0.051;1.0;0.992;0.71
transcript8_ENSHGLG00100006079;0.368;0.067;0.6;0.073;0.073;0.073;0.551;0.559;1.0;0.559;0.045;0.559;0.546;1.0
transcript2_ENSXMAG00000026005;0.887;0.069;0.341;0.995;0.995;0.995;1.0;1.0;0.559;1.0;0.051;1.0;0.992;0.71
transcript7_ENSXMAG00000026005;0.055;0.611;0.0;0.0;0.0;0.0;0.052;0.051;0.045;0.051;1.0;0.051;0.052;0.045
transcript9_ENSXMAG00000026005;0.887;0.069;0.341;0.995;0.995;0.995;1.0;1.0;0.559;1.0;0.051;1.0;0.992;0.71
transcript10_ENSXMAG00000026005;0.893;0.07;0.153;0.958;0.958;0.958;1.0;0.992;0.546;0.992;0.052;0.992;1.0;0.696
transcript8_ENSXMAG00000026005;0.49;0.066;0.75;0.136;0.136;0.136;0.703;0.71;1.0;0.71;0.045;0.71;0.696;1.0
