;ENSCAFT00000005545_90_90;ENST00000369254_90_90;ENST00000369261_90_90;ENST00000447886_90_90;ENST00000536676_90_90;ENST00000539200_90_90;ENST00000544166_90_90;ENST00000620278_90_90;ENSMUST00000084781_90_90;ENSMUST00000108214_90_90;ENSMUST00000108218_90_90;ENSMUST00000140652_90_90;ENSMUST00000150920_90_90
ENSCAFT00000005545_90_90;1.0;0.34;1.0;0.302;0.925;0.808;0.369;0.217;0.882;0.561;1.0;0.34;0.074
ENST00000369254_90_90;0.34;1.0;0.34;0.183;0.265;0.147;0.141;0.0;0.222;0.476;0.34;1.0;0.217
ENST00000369261_90_90;1.0;0.34;1.0;0.283;0.925;0.808;0.369;0.217;0.882;0.561;1.0;0.34;0.074
ENST00000447886_90_90;0.302;0.183;0.283;1.0;0.304;0.186;0.066;0.0;0.185;0.345;0.302;0.207;0.0
ENST00000536676_90_90;0.925;0.265;0.925;0.304;1.0;0.871;0.4;0.234;0.808;0.487;0.925;0.265;0.0
ENST00000539200_90_90;0.808;0.147;0.808;0.186;0.871;1.0;0.373;0.266;0.914;0.37;0.808;0.147;0.0
ENST00000544166_90_90;0.369;0.141;0.369;0.066;0.4;0.373;1.0;0.643;0.342;0.318;0.369;0.141;0.0
ENST00000620278_90_90;0.217;0.0;0.217;0.0;0.234;0.266;0.643;1.0;0.244;0.275;0.217;0.0;0.0
ENSMUST00000084781_90_90;0.882;0.222;0.882;0.185;0.808;0.914;0.342;0.244;1.0;0.444;0.882;0.222;0.08
ENSMUST00000108214_90_90;0.561;0.476;0.561;0.345;0.487;0.37;0.318;0.275;0.444;1.0;0.561;0.476;0.12
ENSMUST00000108218_90_90;1.0;0.34;1.0;0.302;0.925;0.808;0.369;0.217;0.882;0.561;1.0;0.34;0.07
ENSMUST00000140652_90_90;0.34;1.0;0.34;0.207;0.265;0.147;0.141;0.0;0.222;0.476;0.34;1.0;0.201
ENSMUST00000150920_90_90;0.074;0.217;0.074;0.0;0.0;0.0;0.0;0.0;0.08;0.12;0.07;0.201;1.0
