;ENSCAFT00000032063_90_90;ENSCAFT00000047065_90_90;ENSCAFT00000050191_90_90;ENST00000260506_90_90;ENST00000271234_90_90;ENST00000370253_90_90;ENST00000424449_90_90;ENST00000604705_90_90;ENSMUST00000162409_90_90;ENSMUST00000162947_90_90;ENSMUST00000197259_90_90
ENSCAFT00000032063_90_90;1.0;0.963;0.906;0.9;0.981;0.901;0.729;0.98;0.9;0.98;0.729
ENSCAFT00000047065_90_90;0.963;1.0;0.872;0.87;0.965;0.871;0.737;0.964;0.87;0.964;0.737
ENSCAFT00000050191_90_90;0.906;0.872;1.0;0.987;0.894;0.988;0.642;0.893;0.987;0.893;0.642
ENST00000260506_90_90;0.9;0.87;0.987;1.0;0.893;0.987;0.64;0.905;1.0;0.905;0.64
ENST00000271234_90_90;0.981;0.965;0.894;0.893;1.0;0.904;0.745;0.988;0.893;0.988;0.74
ENST00000370253_90_90;0.901;0.871;0.988;0.987;0.904;1.0;0.649;0.893;0.987;0.893;0.645
ENST00000424449_90_90;0.729;0.737;0.642;0.64;0.745;0.649;1.0;0.735;0.64;0.735;0.993
ENST00000604705_90_90;0.98;0.964;0.893;0.905;0.988;0.893;0.735;1.0;0.905;1.0;0.735
ENSMUST00000162409_90_90;0.9;0.87;0.987;1.0;0.893;0.987;0.64;0.905;1.0;0.905;0.64
ENSMUST00000162947_90_90;0.98;0.964;0.893;0.905;0.988;0.893;0.735;1.0;0.905;1.0;0.735
ENSMUST00000197259_90_90;0.729;0.737;0.642;0.64;0.74;0.645;0.993;0.735;0.64;0.735;1.0
