transcript;gene
transcript7_ENSAPOG00000016134;ENSAPOG00000016134
transcript27_ENSAPOG00000016134;ENSAPOG00000016134
transcript32_ENSAPOG00000016134;ENSAPOG00000016134
transcript33_ENSAPOG00000016134;ENSAPOG00000016134
transcript35_ENSAPOG00000016134;ENSAPOG00000016134
transcript36_ENSAPOG00000016134;ENSAPOG00000016134
transcript37_ENSAPOG00000016134;ENSAPOG00000016134
transcript38_ENSAPOG00000016134;ENSAPOG00000016134
transcript7_ENSAPOG00000023408;ENSAPOG00000023408
transcript8_ENSAPOG00000023408;ENSAPOG00000023408
transcript27_ENSAPOG00000023408;ENSAPOG00000023408
transcript30_ENSAPOG00000023408;ENSAPOG00000023408
transcript32_ENSAPOG00000023408;ENSAPOG00000023408
transcript40_ENSAPOG00000023408;ENSAPOG00000023408
transcript41_ENSAPOG00000023408;ENSAPOG00000023408
transcript42_ENSAPOG00000023408;ENSAPOG00000023408
transcript43_ENSAPOG00000023408;ENSAPOG00000023408
transcript1_ENSAOCG00000015695;ENSAOCG00000015695
transcript8_ENSAOCG00000015695;ENSAOCG00000015695
transcript25_ENSAOCG00000015695;ENSAOCG00000015695
transcript26_ENSAOCG00000015695;ENSAOCG00000015695
transcript36_ENSAOCG00000015695;ENSAOCG00000015695
transcript37_ENSAOCG00000015695;ENSAOCG00000015695
transcript38_ENSAOCG00000015695;ENSAOCG00000015695
transcript22_ENSPNYG00000024266;ENSPNYG00000024266
