;ENSCAFT00000039734_90_90;ENST00000360057_90_90;ENST00000378098_90_90;ENST00000378099_90_90;ENST00000482940_90_90;ENST00000489798_90_90;ENST00000538212_90_90;ENST00000552881_90_90;ENST00000639328_90_90;ENSMUST00000067888_90_90;ENSMUST00000114644_90_90
ENSCAFT00000039734_90_90;1.0;0.309;0.337;0.324;0.266;0.189;0.33;0.325;0.036;0.871;0.605
ENST00000360057_90_90;0.309;1.0;0.625;0.84;0.088;0.283;0.54;0.784;0.304;0.293;0.305
ENST00000378098_90_90;0.337;0.625;1.0;0.735;0.117;0.407;0.415;0.783;0.083;0.398;0.441
ENST00000378099_90_90;0.324;0.84;0.735;1.0;0.099;0.33;0.622;0.652;0.159;0.326;0.346
ENST00000482940_90_90;0.266;0.088;0.117;0.099;1.0;0.183;0.336;0.104;0.0;0.26;0.071
ENST00000489798_90_90;0.189;0.283;0.407;0.33;0.183;1.0;0.296;0.347;0.0;0.182;0.174
ENST00000538212_90_90;0.33;0.54;0.415;0.622;0.336;0.296;1.0;0.379;0.151;0.331;0.199
ENST00000552881_90_90;0.325;0.784;0.783;0.652;0.104;0.347;0.379;1.0;0.232;0.34;0.363
ENST00000639328_90_90;0.036;0.304;0.083;0.159;0.0;0.0;0.151;0.232;1.0;0.051;0.069
ENSMUST00000067888_90_90;0.871;0.293;0.398;0.326;0.26;0.182;0.331;0.34;0.051;1.0;0.719
ENSMUST00000114644_90_90;0.605;0.305;0.441;0.346;0.071;0.174;0.199;0.363;0.069;0.719;1.0
