;ENSCAFT00000000309_90_90;ENSCAFT00000019817_90_90;ENSCAFT00000022132_90_90;ENST00000257414_90_90;ENST00000343348_90_90;ENST00000503865_90_90;ENST00000509665_90_90;ENST00000510263_90_90;ENST00000513137_90_90;ENST00000515009_90_90;ENST00000515129_90_90;ENST00000316364_90_90;ENST00000354744_90_90;ENST00000355997_90_90;ENST00000358066_90_90;ENST00000389425_90_90;ENST00000389428_90_90;ENST00000536845_90_90;ENST00000558014_90_90;ENST00000558816_90_90;ENST00000559064_90_90;ENST00000559184_90_90;ENST00000559196_90_90;ENST00000560006_90_90;ENST00000560636_90_90;ENST00000561133_90_90;ENST00000341697_90_90;ENST00000368912_90_90;ENST00000368913_90_90;ENST00000368914_90_90;ENST00000613223_90_90;ENST00000621728_90_90;ENSMUST00000019791_90_90;ENSMUST00000076043_90_90;ENSMUST00000115449_90_90;ENSMUST00000123228_90_90;ENSMUST00000126684_90_90;ENSMUST00000135790_90_90;ENSMUST00000156422_90_90;ENSMUST00000051419_90_90;ENSMUST00000076335_90_90;ENSMUST00000077847_90_90;ENSMUST00000078621_90_90;ENSMUST00000103238_90_90;ENSMUST00000103239_90_90;ENSMUST00000103240_90_90;ENSMUST00000103241_90_90;ENSMUST00000090821_90_90;ENSMUST00000090823_90_90;ENSMUST00000107217_90_90;ENSMUST00000131620_90_90;ENSMUST00000131742_90_90;ENSMUST00000142449_90_90;ENSMUST00000168321_90_90;ENSMUST00000202315_90_90;ENSMUST00000204709_90_90
ENSCAFT00000000309_90_90;1.0;1.0;1.0;0.995;0.995;0.468;0.023;0.995;0.595;0.027;0.636;0.935;0.806;0.604;0.842;0.439;0.784;0.935;0.842;0.604;0.108;0.058;0.367;0.338;0.0;0.273;1.0;0.865;1.0;1.0;0.766;0.775;1.0;0.864;0.941;0.209;0.032;1.0;1.0;0.85;0.821;0.931;0.89;0.931;0.971;0.965;0.821;0.965;0.965;0.835;0.148;0.061;0.235;0.965;0.965;0.235
ENSCAFT00000019817_90_90;1.0;1.0;1.0;1.0;1.0;0.55;0.0;1.0;0.712;0.0;0.712;0.934;0.821;0.406;0.868;0.274;0.811;0.934;0.868;0.406;0.104;0.0;0.217;0.283;0.0;0.16;0.973;0.899;1.0;0.973;0.615;0.615;1.0;0.838;0.946;0.234;0.0;1.0;1.0;0.868;0.845;0.946;0.899;0.946;0.977;0.969;0.845;0.966;0.993;0.891;0.109;0.041;0.156;0.993;0.966;0.156
ENSCAFT00000022132_90_90;1.0;1.0;1.0;0.985;0.971;0.19;0.022;0.971;0.372;0.029;0.438;0.936;0.936;0.88;0.928;0.648;0.88;0.936;0.928;0.88;0.168;0.064;0.4;0.144;0.0;0.296;1.0;0.781;1.0;1.0;1.0;1.0;0.971;0.783;0.899;0.29;0.036;0.986;0.971;1.0;0.983;0.983;1.0;0.983;0.983;0.983;0.983;0.941;0.941;0.735;0.25;0.103;0.397;0.941;0.941;0.397
ENST00000257414_90_90;0.995;1.0;0.985;1.0;0.991;0.453;0.023;0.991;0.592;0.027;0.631;0.916;0.79;0.61;0.844;0.45;0.787;0.916;0.844;0.61;0.099;0.057;0.364;0.324;0.0;0.271;1.0;0.865;1.0;1.0;0.766;0.775;0.986;0.86;0.924;0.203;0.032;0.995;0.986;0.841;0.812;0.92;0.881;0.92;0.96;0.955;0.812;0.965;0.965;0.835;0.148;0.061;0.235;0.965;0.965;0.235
ENST00000343348_90_90;0.995;1.0;0.971;0.991;1.0;0.457;0.023;1.0;0.597;0.027;0.636;0.902;0.776;0.596;0.83;0.436;0.773;0.902;0.83;0.596;0.1;0.058;0.37;0.329;0.0;0.275;1.0;0.865;1.0;1.0;0.766;0.775;0.995;0.868;0.932;0.205;0.032;0.986;0.995;0.83;0.801;0.909;0.869;0.909;0.949;0.943;0.801;0.965;0.965;0.835;0.148;0.061;0.235;0.965;0.965;0.235
ENST00000503865_90_90;0.468;0.55;0.19;0.453;0.457;1.0;0.0;0.457;0.75;0.0;0.713;0.4;0.267;0.052;0.224;0.0;0.237;0.4;0.224;0.052;0.076;0.0;0.0;0.609;0.0;0.0;0.55;0.635;0.55;0.55;0.315;0.324;0.468;0.534;0.495;0.007;0.0;0.464;0.468;0.369;0.341;0.449;0.409;0.449;0.489;0.483;0.341;0.55;0.55;0.635;0.0;0.0;0.0;0.55;0.55;0.0
ENST00000509665_90_90;0.023;0.0;0.022;0.023;0.023;0.0;1.0;0.023;0.0;0.833;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023;0.026;0.024;0.0;0.714;0.023;0.023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000510263_90_90;0.995;1.0;0.971;0.991;1.0;0.457;0.023;1.0;0.597;0.027;0.636;0.902;0.776;0.596;0.83;0.436;0.773;0.902;0.83;0.596;0.1;0.058;0.37;0.329;0.0;0.275;1.0;0.865;1.0;1.0;0.766;0.775;0.995;0.868;0.932;0.205;0.032;0.986;0.995;0.83;0.801;0.909;0.869;0.909;0.949;0.943;0.801;0.965;0.965;0.835;0.148;0.061;0.235;0.965;0.965;0.235
ENST00000513137_90_90;0.595;0.712;0.372;0.592;0.597;0.75;0.0;0.597;1.0;0.0;0.596;0.483;0.357;0.17;0.404;0.0;0.348;0.483;0.404;0.17;0.175;0.0;0.0;0.575;0.0;0.0;0.712;0.577;0.712;0.712;0.477;0.486;0.593;0.464;0.635;0.195;0.0;0.587;0.593;0.494;0.466;0.574;0.534;0.574;0.614;0.608;0.466;0.712;0.712;0.577;0.0;0.0;0.0;0.712;0.712;0.0
ENST00000515009_90_90;0.027;0.0;0.029;0.027;0.027;0.0;0.833;0.027;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.027;0.032;0.029;0.0;0.857;0.027;0.027;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000515129_90_90;0.636;0.712;0.438;0.631;0.636;0.713;0.0;0.636;0.596;0.0;1.0;0.63;0.496;0.301;0.461;0.284;0.489;0.63;0.461;0.301;0.03;0.0;0.202;0.381;0.0;0.088;0.712;0.823;0.712;0.712;0.477;0.486;0.636;0.737;0.575;0.094;0.0;0.631;0.636;0.551;0.523;0.631;0.591;0.631;0.67;0.665;0.523;0.678;0.678;0.78;0.021;0.0;0.124;0.678;0.678;0.124
ENST00000316364_90_90;0.935;0.934;0.936;0.916;0.902;0.4;0.0;0.902;0.483;0.0;0.63;1.0;0.916;0.574;0.852;0.386;0.878;1.0;0.852;0.574;0.074;0.042;0.221;0.23;0.0;0.16;0.897;0.921;0.935;0.897;0.439;0.449;0.909;0.837;0.832;0.211;0.0;0.923;0.909;0.884;0.884;0.972;0.884;0.972;0.972;0.968;0.884;0.873;0.909;0.894;0.136;0.058;0.223;0.909;0.873;0.223
ENST00000354744_90_90;0.806;0.821;0.936;0.79;0.776;0.267;0.0;0.776;0.357;0.0;0.496;0.916;1.0;0.593;0.928;0.421;0.959;0.916;0.928;0.593;0.08;0.046;0.241;0.149;0.0;0.174;0.785;0.802;0.822;0.785;0.406;0.388;0.783;0.704;0.706;0.242;0.0;0.797;0.783;0.97;0.97;0.884;0.97;0.884;0.884;0.888;0.97;0.764;0.8;0.779;0.154;0.066;0.253;0.8;0.764;0.253
ENST00000355997_90_90;0.604;0.406;0.88;0.61;0.596;0.052;0.0;0.596;0.17;0.0;0.301;0.574;0.593;1.0;0.598;0.671;0.619;0.574;0.598;1.0;0.059;0.073;0.384;0.095;0.0;0.278;0.417;0.356;0.402;0.417;0.732;0.719;0.587;0.507;0.51;0.299;0.0;0.601;0.587;0.51;0.51;0.486;0.51;0.486;0.486;0.488;0.51;0.406;0.391;0.346;0.304;0.13;0.5;0.391;0.406;0.5
