;transcript16_ENSXMAG00000026005;transcript19_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript22_ENSAPOG00000016134;transcript22_ENSAPOG00000023408;transcript27_ENSAPOG00000016134;transcript28_ENSAPOG00000016134;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript19_ENSAOCG00000015695;transcript12_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript28_ENSAOCG00000015695;transcript22_ENSPNYG00000024266;transcript12_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript14_ENSPNYG00000024266;transcript17_ENSXMAG00000026005;transcript3_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript12_ENSXMAG00000026005;transcript10_ENSXMAG00000026005
transcript16_ENSXMAG00000026005;1.0;0.657;0.657;0.642;0.639;0.413;0.281;0.553;0.54;0.587;0.587;0.416;0.338;0.401;0.248;0.682;0.712;0.598;0.599;0.979;0.979;0.574;0.574;0.52
transcript19_ENSAPOG00000016134;0.657;1.0;1.0;0.979;0.969;0.71;0.502;0.843;0.823;1.0;1.0;0.711;0.634;0.699;0.528;0.949;1.0;0.859;0.843;0.661;0.661;1.0;1.0;0.848
transcript19_ENSAPOG00000023408;0.657;1.0;1.0;0.979;0.969;0.71;0.502;0.843;0.823;1.0;1.0;0.711;0.634;0.699;0.528;0.949;1.0;0.859;0.843;0.661;0.661;1.0;1.0;0.848
transcript22_ENSAPOG00000016134;0.642;0.979;0.979;1.0;1.0;0.731;0.518;0.818;0.796;0.979;0.979;0.682;0.634;0.668;0.528;1.0;0.979;0.832;0.818;0.64;0.64;0.979;0.979;0.823
transcript22_ENSAPOG00000023408;0.639;0.969;0.969;1.0;1.0;0.731;0.518;0.809;0.788;0.969;0.969;0.675;0.634;0.661;0.528;1.0;0.969;0.823;0.809;0.636;0.636;0.969;0.969;0.814
transcript27_ENSAPOG00000016134;0.413;0.71;0.71;0.731;0.731;1.0;0.736;0.833;0.459;0.71;0.71;0.799;1.0;0.835;1.0;0.731;0.71;0.474;0.833;0.411;0.411;0.71;0.71;0.801
transcript28_ENSAPOG00000016134;0.281;0.502;0.502;0.518;0.518;0.736;1.0;0.599;0.613;0.502;0.502;0.572;0.736;0.601;1.0;0.518;0.502;0.218;0.599;0.28;0.28;0.502;0.502;0.574
transcript32_ENSAPOG00000023408;0.553;0.843;0.843;0.818;0.809;0.833;0.599;1.0;0.666;0.843;0.843;0.554;0.634;0.578;0.528;0.793;0.843;0.691;1.0;0.557;0.557;0.843;0.843;0.691
transcript33_ENSAPOG00000023408;0.54;0.823;0.823;0.796;0.788;0.459;0.613;0.666;1.0;0.823;0.823;0.533;0.41;0.513;0.528;0.772;0.823;0.669;0.666;0.543;0.543;0.823;0.823;0.671
transcript19_ENSAOCG00000015695;0.587;1.0;1.0;0.979;0.969;0.71;0.502;0.843;0.823;1.0;1.0;0.711;0.634;0.699;0.528;0.949;1.0;0.859;0.843;0.59;0.59;1.0;1.0;0.814
transcript12_ENSAOCG00000015695;0.587;1.0;1.0;0.979;0.969;0.71;0.502;0.843;0.823;1.0;1.0;0.711;0.634;0.699;0.528;0.949;1.0;0.859;0.843;0.59;0.59;1.0;1.0;0.814
transcript26_ENSAOCG00000015695;0.416;0.711;0.711;0.682;0.675;0.799;0.572;0.554;0.533;0.711;0.711;1.0;0.995;1.0;0.993;0.663;0.711;0.549;0.554;0.42;0.42;0.711;0.711;0.795
transcript27_ENSAOCG00000015695;0.338;0.634;0.634;0.634;0.634;1.0;0.736;0.634;0.41;0.634;0.634;0.995;1.0;0.995;1.0;0.634;0.634;0.419;0.634;0.338;0.338;0.634;0.634;0.736
transcript29_ENSAOCG00000015695;0.401;0.699;0.699;0.668;0.661;0.835;0.601;0.578;0.513;0.699;0.699;1.0;0.995;1.0;0.993;0.648;0.699;0.528;0.578;0.405;0.405;0.699;0.699;0.785
transcript28_ENSAOCG00000015695;0.248;0.528;0.528;0.528;0.528;1.0;1.0;0.528;0.528;0.528;0.528;0.993;1.0;0.993;1.0;0.528;0.528;0.231;0.528;0.248;0.248;0.528;0.528;0.644
transcript22_ENSPNYG00000024266;0.682;0.949;0.949;1.0;1.0;0.731;0.518;0.793;0.772;0.949;0.949;0.663;0.634;0.648;0.528;1.0;0.949;0.804;0.793;0.658;0.658;0.949;0.949;0.705
transcript12_ENSPNYG00000024266;0.712;1.0;1.0;0.979;0.969;0.71;0.502;0.843;0.823;1.0;1.0;0.711;0.634;0.699;0.528;0.949;1.0;0.859;0.843;0.694;0.694;1.0;1.0;0.749
transcript21_ENSPNYG00000024266;0.598;0.859;0.859;0.832;0.823;0.474;0.218;0.691;0.669;0.859;0.859;0.549;0.419;0.528;0.231;0.804;0.859;1.0;0.691;0.583;0.583;0.859;0.859;0.61
transcript14_ENSPNYG00000024266;0.599;0.843;0.843;0.818;0.809;0.833;0.599;1.0;0.666;0.843;0.843;0.554;0.634;0.578;0.528;0.793;0.843;0.691;1.0;0.585;0.585;0.843;0.843;0.611
transcript17_ENSXMAG00000026005;0.979;0.661;0.661;0.64;0.636;0.411;0.28;0.557;0.543;0.59;0.59;0.42;0.338;0.405;0.248;0.658;0.694;0.583;0.585;1.0;1.0;0.566;0.566;0.545
transcript3_ENSXMAG00000026005;0.979;0.661;0.661;0.64;0.636;0.411;0.28;0.557;0.543;0.59;0.59;0.42;0.338;0.405;0.248;0.658;0.694;0.583;0.585;1.0;1.0;0.566;0.566;0.545
transcript11_ENSXMAG00000026005;0.574;1.0;1.0;0.979;0.969;0.71;0.502;0.843;0.823;1.0;1.0;0.711;0.634;0.699;0.528;0.949;1.0;0.859;0.843;0.566;0.566;1.0;1.0;0.761
transcript12_ENSXMAG00000026005;0.574;1.0;1.0;0.979;0.969;0.71;0.502;0.843;0.823;1.0;1.0;0.711;0.634;0.699;0.528;0.949;1.0;0.859;0.843;0.566;0.566;1.0;1.0;0.761
transcript10_ENSXMAG00000026005;0.52;0.848;0.848;0.823;0.814;0.801;0.574;0.691;0.671;0.814;0.814;0.795;0.736;0.785;0.644;0.705;0.749;0.61;0.611;0.545;0.545;0.761;0.761;1.0
