;ENSCAFT00000020369_90_90;ENST00000281171_90_90;ENST00000348962_90_90;ENST00000442921_90_90;ENST00000445537_90_90;ENST00000535311_90_90;ENST00000535322_90_90;ENST00000542557_90_90;ENST00000543886_90_90;ENST00000544244_90_90;ENSMUST00000077115_90_90;ENSMUST00000167002_90_90;ENSMUST00000167679_90_90;ENSMUST00000203914_90_90
ENSCAFT00000020369_90_90;1.0;0.778;0.722;0.471;0.471;0.125;0.056;0.412;0.235;0.412;0.789;0.562;0.737;0.5
ENST00000281171_90_90;0.778;1.0;0.938;0.562;0.562;0.125;0.118;0.5;0.235;0.5;0.7;0.471;0.65;0.412
ENST00000348962_90_90;0.722;0.938;1.0;0.5;0.5;0.133;0.125;0.533;0.25;0.533;0.65;0.412;0.684;0.438
ENST00000442921_90_90;0.471;0.562;0.5;1.0;1.0;0.1;0.2;0.889;0.077;0.889;0.421;0.8;0.368;0.7
ENST00000445537_90_90;0.471;0.562;0.5;1.0;1.0;0.1;0.2;0.889;0.077;0.889;0.421;0.8;0.368;0.7
ENST00000535311_90_90;0.125;0.125;0.133;0.1;0.1;1.0;0.0;0.111;0.0;0.111;0.111;0.1;0.118;0.111
ENST00000535322_90_90;0.056;0.118;0.125;0.2;0.2;0.0;1.0;0.222;0.0;0.222;0.05;0.091;0.053;0.1
ENST00000542557_90_90;0.412;0.5;0.533;0.889;0.889;0.111;0.222;1.0;0.083;1.0;0.368;0.7;0.389;0.778
ENST00000543886_90_90;0.235;0.235;0.25;0.077;0.077;0.0;0.0;0.083;1.0;0.083;0.211;0.077;0.222;0.083
ENST00000544244_90_90;0.412;0.5;0.533;0.889;0.889;0.111;0.222;1.0;0.083;1.0;0.368;0.7;0.389;0.778
ENSMUST00000077115_90_90;0.789;0.7;0.65;0.421;0.421;0.111;0.05;0.368;0.211;0.368;1.0;0.5;0.944;0.444
ENSMUST00000167002_90_90;0.562;0.471;0.412;0.8;0.8;0.1;0.091;0.7;0.077;0.7;0.5;1.0;0.444;0.889
ENSMUST00000167679_90_90;0.737;0.65;0.684;0.368;0.368;0.118;0.053;0.389;0.222;0.389;0.944;0.444;1.0;0.471
ENSMUST00000203914_90_90;0.5;0.412;0.438;0.7;0.7;0.111;0.1;0.778;0.083;0.778;0.444;0.889;0.471;1.0
