;transcript6_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript16_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript16_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript2_ENSHGLG00100006079;transcript8_ENSHGLG00100006079;transcript2_ENSXMAG00000026005;transcript7_ENSXMAG00000026005;transcript9_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript8_ENSXMAG00000026005
transcript6_ENSPCIG00000036398;1.0;0.036;0.015;0.282;0.282;0.282;0.77;0.756;0.311;0.756;0.03;0.756;0.77;0.311
transcript7_ENSPCIG00000036398;0.036;1.0;0.0;0.0;0.0;0.0;0.03;0.029;0.027;0.029;0.579;0.029;0.03;0.027
transcript7_ENSMUNG00000007775;0.015;0.0;1.0;0.122;0.122;0.122;0.012;0.029;0.031;0.029;0.0;0.029;0.012;0.031
transcript16_ENSMUNG00000007775;0.282;0.0;0.122;1.0;1.0;1.0;0.218;0.236;0.022;0.236;0.0;0.236;0.218;0.022
transcript23_ENSMUNG00000007775;0.282;0.0;0.122;1.0;1.0;1.0;0.218;0.236;0.022;0.236;0.0;0.236;0.218;0.022
transcript16_ENSMUNG00000002377;0.282;0.0;0.122;1.0;1.0;1.0;0.218;0.236;0.022;0.236;0.0;0.236;0.218;0.022
transcript10_ENSMUNG00000002391;0.77;0.03;0.012;0.218;0.218;0.218;1.0;0.983;0.538;0.983;0.03;0.983;1.0;0.538
transcript2_ENSHGLG00100006079;0.756;0.029;0.029;0.236;0.236;0.236;0.983;1.0;0.555;1.0;0.029;1.0;0.983;0.555
transcript8_ENSHGLG00100006079;0.311;0.027;0.031;0.022;0.022;0.022;0.538;0.555;1.0;0.555;0.027;0.555;0.538;1.0
transcript2_ENSXMAG00000026005;0.756;0.029;0.029;0.236;0.236;0.236;0.983;1.0;0.555;1.0;0.029;1.0;0.983;0.555
transcript7_ENSXMAG00000026005;0.03;0.579;0.0;0.0;0.0;0.0;0.03;0.029;0.027;0.029;1.0;0.029;0.03;0.027
transcript9_ENSXMAG00000026005;0.756;0.029;0.029;0.236;0.236;0.236;0.983;1.0;0.555;1.0;0.029;1.0;0.983;0.555
transcript10_ENSXMAG00000026005;0.77;0.03;0.012;0.218;0.218;0.218;1.0;0.983;0.538;0.983;0.03;0.983;1.0;0.538
transcript8_ENSXMAG00000026005;0.311;0.027;0.031;0.022;0.022;0.022;0.538;0.555;1.0;0.555;0.027;0.555;0.538;1.0
