;ENSCAFT00000007160_90_90;ENST00000353609_90_90;ENST00000417353_90_90;ENST00000443841_90_90;ENST00000585836_90_90;ENST00000586615_90_90;ENST00000589593_90_90;ENST00000590335_90_90;ENST00000591858_90_90;ENST00000592436_90_90;ENST00000592811_90_90;ENST00000615753_90_90;ENSMUST00000003640_90_90;ENSMUST00000207334_90_90;ENSMUST00000207716_90_90;ENSMUST00000208326_90_90;ENSMUST00000208446_90_90;ENSMUST00000208505_90_90
ENSCAFT00000007160_90_90;1.0;1.0;0.893;0.577;0.778;0.855;0.401;0.407;0.885;0.701;0.556;0.861;1.0;0.893;0.778;0.885;0.701;0.595
ENST00000353609_90_90;1.0;1.0;0.893;0.577;0.778;0.855;0.401;0.407;0.885;0.701;0.556;0.861;1.0;0.893;0.778;0.885;0.701;0.595
ENST00000417353_90_90;0.893;0.893;1.0;0.646;0.871;0.749;0.295;0.452;0.778;0.595;0.45;0.754;0.893;1.0;0.871;0.778;0.595;0.666
ENST00000443841_90_90;0.577;0.577;0.646;1.0;0.741;0.462;0.0;0.127;0.652;0.278;0.157;0.438;0.577;0.646;0.741;0.652;0.278;0.311
ENST00000585836_90_90;0.778;0.778;0.871;0.741;1.0;0.668;0.205;0.333;0.88;0.479;0.363;0.639;0.778;0.871;1.0;0.88;0.479;0.536
ENST00000586615_90_90;0.855;0.855;0.749;0.462;0.668;1.0;0.469;0.273;0.776;0.556;0.651;0.716;0.855;0.749;0.668;0.776;0.556;0.45
ENST00000589593_90_90;0.401;0.401;0.295;0.0;0.205;0.469;1.0;0.467;0.313;0.571;0.72;0.466;0.401;0.295;0.205;0.313;0.571;0.42
ENST00000590335_90_90;0.407;0.407;0.452;0.127;0.333;0.273;0.467;1.0;0.301;0.562;0.377;0.467;0.407;0.452;0.333;0.301;0.562;0.651
ENST00000591858_90_90;0.885;0.885;0.778;0.652;0.88;0.776;0.313;0.301;1.0;0.586;0.471;0.746;0.885;0.778;0.88;1.0;0.586;0.479
ENST00000592436_90_90;0.701;0.701;0.595;0.278;0.479;0.556;0.571;0.562;0.586;1.0;0.793;0.814;0.701;0.595;0.479;0.586;1.0;0.848
ENST00000592811_90_90;0.556;0.556;0.45;0.157;0.363;0.651;0.72;0.377;0.471;0.793;1.0;0.646;0.556;0.45;0.363;0.471;0.793;0.641
ENST00000615753_90_90;0.861;0.861;0.754;0.438;0.639;0.716;0.466;0.467;0.746;0.814;0.646;1.0;0.861;0.754;0.639;0.746;0.814;0.691
ENSMUST00000003640_90_90;1.0;1.0;0.893;0.577;0.778;0.855;0.401;0.407;0.885;0.701;0.556;0.861;1.0;0.893;0.778;0.885;0.701;0.595
ENSMUST00000207334_90_90;0.893;0.893;1.0;0.646;0.871;0.749;0.295;0.452;0.778;0.595;0.45;0.754;0.893;1.0;0.871;0.778;0.595;0.666
ENSMUST00000207716_90_90;0.778;0.778;0.871;0.741;1.0;0.668;0.205;0.333;0.88;0.479;0.363;0.639;0.778;0.871;1.0;0.88;0.479;0.536
ENSMUST00000208326_90_90;0.885;0.885;0.778;0.652;0.88;0.776;0.313;0.301;1.0;0.586;0.471;0.746;0.885;0.778;0.88;1.0;0.586;0.479
ENSMUST00000208446_90_90;0.701;0.701;0.595;0.278;0.479;0.556;0.571;0.562;0.586;1.0;0.793;0.814;0.701;0.595;0.479;0.586;1.0;0.848
ENSMUST00000208505_90_90;0.595;0.595;0.666;0.311;0.536;0.45;0.42;0.651;0.479;0.848;0.641;0.691;0.595;0.666;0.536;0.479;0.848;1.0
