;ENSCAFT00000028257_90_90;ENST00000422393_90_90;ENST00000433491_90_90;ENST00000434483_90_90;ENST00000443502_90_90;ENST00000455268_90_90;ENST00000494475_90_90;ENST00000612423_90_90;ENST00000619236_90_90;ENST00000621218_90_90;ENSMUST00000033800_90_90;ENSMUST00000113085_90_90
ENSCAFT00000028257_90_90;1.0;0.448;0.408;0.457;0.453;0.433;0.433;0.865;0.986;0.865;0.865;0.986
ENST00000422393_90_90;0.448;1.0;0.791;0.963;0.877;0.934;0.932;0.46;0.458;0.46;0.453;0.45
ENST00000433491_90_90;0.408;0.791;1.0;0.821;0.901;0.738;0.737;0.363;0.416;0.363;0.357;0.408
ENST00000434483_90_90;0.457;0.963;0.821;1.0;0.91;0.9;0.898;0.443;0.466;0.443;0.436;0.459
ENST00000443502_90_90;0.453;0.877;0.901;0.91;1.0;0.819;0.817;0.403;0.461;0.403;0.396;0.453
ENST00000455268_90_90;0.433;0.934;0.738;0.9;0.819;1.0;0.998;0.492;0.442;0.492;0.485;0.435
ENST00000494475_90_90;0.433;0.932;0.737;0.898;0.817;0.998;1.0;0.493;0.442;0.493;0.486;0.434
ENST00000612423_90_90;0.865;0.46;0.363;0.443;0.403;0.492;0.493;1.0;0.874;1.0;0.99;0.865
ENST00000619236_90_90;0.986;0.458;0.416;0.466;0.461;0.442;0.442;0.874;1.0;0.874;0.865;0.989
ENST00000621218_90_90;0.865;0.46;0.363;0.443;0.403;0.492;0.493;1.0;0.874;1.0;0.99;0.865
ENSMUST00000033800_90_90;0.865;0.453;0.357;0.436;0.396;0.485;0.486;0.99;0.865;0.99;1.0;0.874
ENSMUST00000113085_90_90;0.986;0.45;0.408;0.459;0.453;0.435;0.434;0.865;0.989;0.865;0.874;1.0
