;transcript7_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript7_ENSPEMG00000024651;transcript57_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript42_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript52_ENSCGRG00015005362;transcript53_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript55_ENSCGRG00015005362
transcript7_MGP-CAROLIEiJ-G0020234;1.0;1.0;1.0;1.0;1.0;1.0;0.857;0.929;0.857;0.929;0.929;0.909;0.5;0.462;1.0;1.0;1.0
transcript7_ENSMUGG00000013649;1.0;1.0;1.0;1.0;1.0;1.0;0.857;0.929;0.857;0.267;0.276;0.342;0.162;0.123;0.308;0.271;0.276
transcript7_ENSMUGG00000013592;1.0;1.0;1.0;1.0;1.0;1.0;0.818;0.909;0.818;0.342;0.342;0.342;0.162;0.162;0.394;0.351;0.361
transcript7_ENSCGRG00015005362;1.0;1.0;1.0;1.0;1.0;1.0;0.923;1.0;0.923;0.271;0.281;0.351;0.162;0.123;0.308;0.271;0.276
transcript7_ENSCGRG00000018457;1.0;1.0;1.0;1.0;1.0;1.0;0.923;1.0;0.923;1.0;1.0;1.0;0.462;0.438;1.0;1.0;1.0
transcript7_ENSPEMG00000024651;1.0;1.0;1.0;1.0;1.0;1.0;0.923;1.0;0.923;1.0;1.0;1.0;0.462;0.438;1.0;1.0;1.0
transcript57_MGP-CAROLIEiJ-G0020234;0.857;0.857;0.818;0.923;0.923;0.923;1.0;0.929;1.0;0.929;0.929;0.909;0.364;0.385;0.923;0.923;0.923
transcript58_MGP-CAROLIEiJ-G0020234;0.929;0.929;0.909;1.0;1.0;1.0;0.929;1.0;0.929;1.0;1.0;1.0;0.455;0.462;1.0;1.0;1.0
transcript59_MGP-CAROLIEiJ-G0020234;0.857;0.857;0.818;0.923;0.923;0.923;1.0;0.929;1.0;0.929;0.929;0.909;0.364;0.385;0.923;0.923;0.923
transcript28_ENSMUGG00000013649;0.929;0.267;0.342;0.271;1.0;1.0;0.929;1.0;0.929;1.0;0.967;1.0;0.789;0.814;0.881;1.0;0.983
transcript42_ENSMUGG00000013649;0.929;0.276;0.342;0.281;1.0;1.0;0.929;1.0;0.929;0.967;1.0;1.0;0.789;0.842;0.847;0.966;0.949
transcript42_ENSMUGG00000013592;0.909;0.342;0.342;0.351;1.0;1.0;0.909;1.0;0.909;1.0;1.0;1.0;0.789;0.811;0.892;1.0;0.973
transcript52_ENSMUGG00000013592;0.5;0.162;0.162;0.162;0.462;0.462;0.364;0.455;0.364;0.789;0.789;0.789;1.0;1.0;0.703;0.811;0.784
transcript52_ENSCGRG00015005362;0.462;0.123;0.162;0.123;0.438;0.438;0.385;0.462;0.385;0.814;0.842;0.811;1.0;1.0;0.695;0.814;0.797
transcript53_ENSCGRG00015005362;1.0;0.308;0.394;0.308;1.0;1.0;0.923;1.0;0.923;0.881;0.847;0.892;0.703;0.695;1.0;0.881;0.864
transcript54_ENSCGRG00015005362;1.0;0.271;0.351;0.271;1.0;1.0;0.923;1.0;0.923;1.0;0.966;1.0;0.811;0.814;0.881;1.0;0.983
transcript55_ENSCGRG00015005362;1.0;0.276;0.361;0.276;1.0;1.0;0.923;1.0;0.923;0.983;0.949;0.973;0.784;0.797;0.864;0.983;1.0
