;ENSCAFT00000029482_90_90;ENST00000237247_90_90;ENST00000371037_90_90;ENST00000371039_90_90;ENST00000424320_90_90;ENST00000435165_90_90;ENSMUST00000066824_90_90;ENSMUST00000072481_90_90;ENSMUST00000080728_90_90;ENSMUST00000106882_90_90;ENSMUST00000149547_90_90;ENSMUST00000156596_90_90;ENSMUST00000183855_90_90
ENSCAFT00000029482_90_90;1.0;0.806;0.773;0.616;0.278;0.225;0.559;0.533;0.939;0.964;0.474;0.036;0.177
ENST00000237247_90_90;0.806;1.0;0.824;0.535;0.195;0.188;0.522;0.496;0.736;0.76;0.364;0.119;0.213
ENST00000371037_90_90;0.773;0.824;1.0;0.583;0.268;0.196;0.489;0.462;0.664;0.688;0.383;0.04;0.211
ENST00000371039_90_90;0.616;0.535;0.583;1.0;0.3;0.224;0.485;0.5;0.574;0.559;0.436;0.052;0.181
ENST00000424320_90_90;0.278;0.195;0.268;0.3;1.0;0.0;0.37;0.388;0.255;0.248;0.236;0.104;0.538
ENST00000435165_90_90;0.225;0.188;0.196;0.224;0.0;1.0;0.276;0.236;0.181;0.203;0.575;0.0;0.0
ENSMUST00000066824_90_90;0.559;0.522;0.489;0.485;0.37;0.276;1.0;0.962;0.611;0.633;0.585;0.258;0.412
ENSMUST00000072481_90_90;0.533;0.496;0.462;0.5;0.388;0.236;0.962;1.0;0.625;0.611;0.551;0.27;0.428
ENSMUST00000080728_90_90;0.939;0.736;0.664;0.574;0.255;0.181;0.611;0.625;1.0;0.978;0.399;0.142;0.28
ENSMUST00000106882_90_90;0.964;0.76;0.688;0.559;0.248;0.203;0.633;0.611;0.978;1.0;0.42;0.138;0.274
ENSMUST00000149547_90_90;0.474;0.364;0.383;0.436;0.236;0.575;0.585;0.551;0.399;0.42;1.0;0.0;0.101
ENSMUST00000156596_90_90;0.036;0.119;0.04;0.052;0.104;0.0;0.258;0.27;0.142;0.138;0.0;1.0;0.487
ENSMUST00000183855_90_90;0.177;0.213;0.211;0.181;0.538;0.0;0.412;0.428;0.28;0.274;0.101;0.487;1.0
