;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript49_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript47_MGP-CAROLIEiJ-G0020234;transcript38_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript38_MGP-PahariEiJ-G0020237;transcript66_MGP-SPRETEiJ-G0021131;transcript40_MGP-SPRETEiJ-G0021131
transcript8_ENSMSIG00000000513;1.0;0.115;0.128;0.141;0.157;0.153;0.186;0.184;0.163;0.167;0.163;0.157;0.141;0.128
transcript49_ENSMSIG00000000513;0.115;1.0;0.989;0.894;0.859;0.882;0.897;0.908;0.829;0.811;0.829;0.889;0.894;0.989
transcript49_MGP-SPRETEiJ-G0021131;0.128;0.989;1.0;0.707;0.739;0.761;0.721;0.731;0.926;0.904;0.926;0.752;0.725;0.762
transcript65_MGP-SPRETEiJ-G0021131;0.141;0.894;0.707;1.0;0.88;0.902;0.885;0.894;0.83;0.809;0.83;0.901;0.8;0.905
transcript47_MGP-CAROLIEiJ-G0020234;0.157;0.859;0.739;0.88;1.0;0.973;0.978;0.989;0.929;0.917;0.976;0.982;0.859;0.978
transcript38_MGP-CAROLIEiJ-G0020234;0.153;0.882;0.761;0.902;0.973;1.0;0.989;1.0;0.929;0.918;0.953;1.0;0.88;1.0
transcript7_ENSMUSG00000054036;0.186;0.897;0.721;0.885;0.978;0.989;1.0;0.992;0.92;0.897;0.954;0.992;0.856;0.99
transcript46_ENSMUSG00000054036;0.184;0.908;0.731;0.894;0.989;1.0;0.992;1.0;0.931;0.908;0.966;1.0;0.865;1.0
transcript61_ENSMSIG00000000513;0.163;0.829;0.926;0.83;0.929;0.929;0.92;0.931;1.0;0.981;0.944;0.954;0.83;0.926
transcript62_ENSMSIG00000000513;0.167;0.811;0.904;0.809;0.917;0.918;0.897;0.908;0.981;1.0;0.925;0.935;0.848;0.904
transcript60_ENSMSIG00000000513;0.163;0.829;0.926;0.83;0.976;0.953;0.954;0.966;0.944;0.925;1.0;0.963;0.83;0.926
transcript38_MGP-PahariEiJ-G0020237;0.157;0.889;0.752;0.901;0.982;1.0;0.992;1.0;0.954;0.935;0.963;1.0;0.876;1.0
transcript66_MGP-SPRETEiJ-G0021131;0.141;0.894;0.725;0.8;0.859;0.88;0.856;0.865;0.83;0.848;0.83;0.876;1.0;0.881
transcript40_MGP-SPRETEiJ-G0021131;0.128;0.989;0.762;0.905;0.978;1.0;0.99;1.0;0.926;0.904;0.926;1.0;0.881;1.0
