;ENSCAFT00000031843_90_90;ENST00000372554_90_90;ENST00000372559_90_90;ENST00000372564_90_90;ENST00000416230_90_90;ENST00000416629_90_90;ENST00000417224_90_90;ENST00000425236_90_90;ENST00000455407_90_90;ENSMUST00000028214_90_90;ENSMUST00000100215_90_90;ENSMUST00000113620_90_90;ENSMUST00000113621_90_90;ENSMUST00000163668_90_90
ENSCAFT00000031843_90_90;1.0;0.799;0.819;0.819;0.242;0.756;0.825;0.084;0.121;0.883;0.885;0.817;0.854;0.823
ENST00000372554_90_90;0.799;1.0;0.889;0.889;0.25;0.83;0.962;0.106;0.096;0.832;0.9;0.774;0.936;0.844
ENST00000372559_90_90;0.819;0.889;1.0;1.0;0.278;0.932;0.922;0.12;0.114;0.922;0.859;0.857;0.832;0.8
ENST00000372564_90_90;0.819;0.889;1.0;1.0;0.278;0.932;0.922;0.12;0.114;0.922;0.859;0.857;0.832;0.8
ENST00000416230_90_90;0.242;0.25;0.278;0.278;1.0;0.297;0.259;0.422;0.152;0.235;0.222;0.249;0.216;0.235
ENST00000416629_90_90;0.756;0.83;0.932;0.932;0.297;1.0;0.861;0.129;0.123;0.857;0.8;0.915;0.774;0.849
ENST00000417224_90_90;0.825;0.962;0.922;0.922;0.259;0.861;1.0;0.111;0.101;0.859;0.932;0.8;0.9;0.873
ENST00000425236_90_90;0.084;0.106;0.12;0.12;0.422;0.129;0.111;1.0;0.0;0.082;0.077;0.086;0.075;0.082
ENST00000455407_90_90;0.121;0.096;0.114;0.114;0.152;0.123;0.101;0.0;1.0;0.114;0.101;0.123;0.096;0.108
ENSMUST00000028214_90_90;0.883;0.832;0.922;0.922;0.235;0.857;0.859;0.082;0.114;1.0;0.922;0.932;0.889;0.861
ENSMUST00000100215_90_90;0.885;0.9;0.859;0.859;0.222;0.8;0.932;0.077;0.101;0.922;1.0;0.861;0.962;0.939
ENSMUST00000113620_90_90;0.817;0.774;0.857;0.857;0.249;0.915;0.8;0.086;0.123;0.932;0.861;1.0;0.83;0.916
ENSMUST00000113621_90_90;0.854;0.936;0.832;0.832;0.216;0.774;0.9;0.075;0.096;0.889;0.962;0.83;1.0;0.902
ENSMUST00000163668_90_90;0.823;0.844;0.8;0.8;0.235;0.849;0.873;0.082;0.108;0.861;0.939;0.916;0.902;1.0
