;ENSCAFT00000004367_90_90;ENSCAFT00000004373_90_90;ENST00000333896_90_90;ENST00000356805_90_90;ENST00000389980_90_90;ENST00000615901_90_90;ENSMUST00000006629_90_90;ENSMUST00000011877_90_90;ENSMUST00000102838_90_90;ENSMUST00000124231_90_90
ENSCAFT00000004367_90_90;1.0;0.964;0.874;0.827;0.292;0.825;0.826;0.826;0.873;0.885
ENSCAFT00000004373_90_90;0.964;1.0;0.907;0.797;0.267;0.795;0.796;0.796;0.907;0.851
ENST00000333896_90_90;0.874;0.907;1.0;0.861;0.291;0.859;0.861;0.861;1.0;0.927
ENST00000356805_90_90;0.827;0.797;0.861;1.0;0.292;0.997;1.0;1.0;0.861;0.885
ENST00000389980_90_90;0.292;0.267;0.291;0.292;1.0;0.292;0.292;0.292;0.291;0.33
ENST00000615901_90_90;0.825;0.795;0.859;0.997;0.292;1.0;0.997;0.997;0.858;0.883
ENSMUST00000006629_90_90;0.826;0.796;0.861;1.0;0.292;0.997;1.0;1.0;0.861;0.885
ENSMUST00000011877_90_90;0.826;0.796;0.861;1.0;0.292;0.997;1.0;1.0;0.861;0.885
ENSMUST00000102838_90_90;0.873;0.907;1.0;0.861;0.291;0.858;0.861;0.861;1.0;0.927
ENSMUST00000124231_90_90;0.885;0.851;0.927;0.885;0.33;0.883;0.885;0.885;0.927;1.0
