;transcript19_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript19_ENSAOCG00000015695;transcript22_ENSAPOG00000016134;transcript22_ENSAPOG00000023408;transcript22_ENSPNYG00000024266;transcript27_ENSAPOG00000016134;transcript27_ENSAOCG00000015695;transcript28_ENSAPOG00000016134;transcript28_ENSAOCG00000015695;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript12_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript12_ENSXMAG00000026005;transcript26_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript14_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript3_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript16_ENSXMAG00000026005;transcript17_ENSXMAG00000026005
transcript19_ENSAPOG00000016134;1.0;1.0;1.0;0.984;0.976;0.976;0.715;0.634;0.505;0.528;0.843;0.823;1.0;1.0;1.0;0.71;0.697;0.843;0.843;0.661;0.71;1.0;0.649;0.661
transcript19_ENSAPOG00000023408;1.0;1.0;1.0;0.984;0.976;0.976;0.715;0.634;0.505;0.528;0.843;0.823;1.0;1.0;1.0;0.71;0.697;0.843;0.843;0.661;0.71;1.0;0.649;0.661
transcript19_ENSAOCG00000015695;1.0;1.0;1.0;0.984;0.976;0.976;0.715;0.634;0.505;0.528;0.843;0.823;1.0;1.0;1.0;0.71;0.697;0.843;0.843;0.588;0.598;1.0;0.575;0.588
transcript22_ENSAPOG00000016134;0.984;0.984;0.984;1.0;1.0;1.0;0.731;0.634;0.517;0.528;0.822;0.8;0.984;0.984;0.984;0.683;0.669;0.822;0.82;0.642;0.683;0.984;0.649;0.642
transcript22_ENSAPOG00000023408;0.976;0.976;0.976;1.0;1.0;1.0;0.731;0.634;0.517;0.528;0.815;0.794;0.976;0.976;0.976;0.678;0.663;0.815;0.814;0.639;0.678;0.976;0.649;0.639
transcript22_ENSPNYG00000024266;0.976;0.976;0.976;1.0;1.0;1.0;0.731;0.634;0.517;0.528;0.815;0.794;0.976;0.976;0.976;0.678;0.663;0.815;0.814;0.699;0.678;0.976;0.711;0.699
transcript27_ENSAPOG00000016134;0.715;0.715;0.715;0.731;0.731;0.731;1.0;1.0;0.733;1.0;0.84;0.462;0.715;0.715;0.715;0.807;0.845;0.84;0.465;0.413;0.807;0.715;0.418;0.413
transcript27_ENSAOCG00000015695;0.634;0.634;0.634;0.634;0.634;0.634;1.0;1.0;0.733;1.0;0.634;0.41;0.634;0.634;0.634;1.0;1.0;0.634;0.409;0.336;0.729;0.634;0.336;0.336
transcript28_ENSAPOG00000016134;0.505;0.505;0.505;0.517;0.517;0.517;0.733;0.733;1.0;1.0;0.603;0.618;0.505;0.505;0.505;0.577;0.607;0.603;0.213;0.281;0.577;0.505;0.284;0.281
transcript28_ENSAOCG00000015695;0.528;0.528;0.528;0.528;0.528;0.528;1.0;1.0;1.0;1.0;0.528;0.528;0.528;0.528;0.528;1.0;1.0;0.528;0.224;0.247;0.635;0.528;0.247;0.247
transcript32_ENSAPOG00000023408;0.843;0.843;0.843;0.822;0.815;0.815;0.84;0.634;0.603;0.528;1.0;0.666;0.843;0.843;0.843;0.553;0.577;1.0;0.679;0.557;0.553;0.843;0.542;0.557
transcript33_ENSAPOG00000023408;0.823;0.823;0.823;0.8;0.794;0.794;0.462;0.41;0.618;0.528;0.666;1.0;0.823;0.823;0.823;0.532;0.512;0.666;0.657;0.543;0.532;0.823;0.528;0.543
transcript12_ENSAOCG00000015695;1.0;1.0;1.0;0.984;0.976;0.976;0.715;0.634;0.505;0.528;0.843;0.823;1.0;1.0;1.0;0.71;0.697;0.843;0.843;0.588;0.598;1.0;0.575;0.588
