;ENSCAFT00000002168_90_90;ENSCAFT00000045695_90_90;ENSCAFT00000013241_90_90;ENSCAFT00000019370_90_90;ENST00000253363_90_90;ENST00000338163_90_90;ENST00000361162_90_90;ENST00000374038_90_90;ENST00000397370_90_90;ENST00000403542_90_90;ENST00000412738_90_90;ENST00000416108_90_90;ENST00000416529_90_90;ENST00000425184_90_90;ENST00000426951_90_90;ENST00000429968_90_90;ENST00000433027_90_90;ENST00000434927_90_90;ENST00000444878_90_90;ENST00000448303_90_90;ENST00000449489_90_90;ENST00000453310_90_90;ENST00000455343_90_90;ENST00000476806_90_90;ENST00000490484_90_90;ENST00000528062_90_90;ENST00000615771_90_90;ENST00000369086_90_90;ENST00000369093_90_90;ENST00000412524_90_90;ENST00000436547_90_90;ENST00000479729_90_90;ENST00000497671_90_90;ENST00000313352_90_90;ENST00000349157_90_90;ENST00000453551_90_90;ENST00000456095_90_90;ENST00000526459_90_90;ENST00000526683_90_90;ENST00000527197_90_90;ENST00000527744_90_90;ENST00000529999_90_90;ENST00000531897_90_90;ENST00000532884_90_90;ENST00000533162_90_90;ENSMUST00000002599_90_90;ENSMUST00000100527_90_90;ENSMUST00000029149_90_90;ENSMUST00000109584_90_90;ENSMUST00000109587_90_90;ENSMUST00000126992_90_90;ENSMUST00000137566_90_90;ENSMUST00000142071_90_90;ENSMUST00000146288_90_90;ENSMUST00000146297_90_90;ENSMUST00000146549_90_90;ENSMUST00000147098_90_90;ENSMUST00000148794_90_90;ENSMUST00000152919_90_90;ENSMUST00000153514_90_90;ENSMUST00000154677_90_90;ENSMUST00000155837_90_90;ENSMUST00000033135_90_90;ENSMUST00000106226_90_90;ENSMUST00000106228_90_90;ENSMUST00000123666_90_90;ENSMUST00000133089_90_90;ENSMUST00000133444_90_90;ENSMUST00000141126_90_90;ENSMUST00000165023_90_90;ENSMUST00000205278_90_90;ENSMUST00000205835_90_90
ENSCAFT00000002168_90_90;1.0;0.905;0.304;0.484;0.234;0.162;0.228;0.071;0.115;0.022;0.022;0.022;0.0;0.023;0.044;0.027;0.014;0.061;0.022;0.163;0.022;0.022;0.022;0.041;0.096;0.229;0.093;0.047;0.238;0.098;0.244;0.004;0.074;0.885;0.967;0.852;0.88;0.573;0.931;0.914;0.553;0.401;0.357;0.402;0.275;0.953;0.919;0.392;0.028;0.397;0.215;0.022;0.33;0.132;0.392;0.022;0.042;0.25;0.022;0.041;0.0;0.022;0.239;0.234;0.24;0.074;0.032;0.074;0.224;0.239;0.071;0.058
ENSCAFT00000045695_90_90;0.905;1.0;0.34;0.491;0.231;0.161;0.226;0.072;0.115;0.004;0.004;0.004;0.013;0.004;0.047;0.03;0.018;0.063;0.004;0.157;0.004;0.004;0.004;0.04;0.093;0.227;0.09;0.071;0.247;0.126;0.252;0.0;0.083;0.848;0.883;0.885;0.87;0.516;0.919;0.834;0.559;0.422;0.378;0.386;0.342;0.923;0.959;0.381;0.027;0.385;0.208;0.004;0.319;0.128;0.381;0.004;0.04;0.242;0.004;0.04;0.013;0.004;0.248;0.243;0.262;0.083;0.036;0.071;0.216;0.248;0.085;0.043
ENSCAFT00000013241_90_90;0.304;0.34;1.0;0.201;0.09;0.102;0.091;0.133;0.211;0.077;0.077;0.077;0.082;0.057;0.136;0.072;0.062;0.141;0.077;0.0;0.077;0.077;0.077;0.0;0.0;0.091;0.0;0.158;0.498;0.245;0.487;0.038;0.254;0.235;0.297;0.263;0.286;0.394;0.324;0.259;0.431;0.513;0.5;0.143;0.448;0.318;0.346;0.141;0.062;0.139;0.195;0.077;0.159;0.179;0.141;0.077;0.08;0.0;0.077;0.073;0.082;0.077;0.481;0.492;0.441;0.254;0.074;0.172;0.312;0.481;0.259;0.072
ENSCAFT00000019370_90_90;0.484;0.491;0.201;1.0;0.148;0.095;0.146;0.047;0.054;0.015;0.015;0.015;0.0;0.016;0.022;0.015;0.0;0.037;0.015;0.121;0.015;0.015;0.015;0.032;0.053;0.142;0.059;0.007;0.148;0.042;0.153;0.0;0.017;0.503;0.472;0.52;0.507;0.341;0.488;0.49;0.369;0.227;0.205;0.256;0.169;0.475;0.491;0.273;0.024;0.274;0.181;0.015;0.228;0.119;0.273;0.015;0.016;0.211;0.015;0.023;0.0;0.015;0.148;0.144;0.152;0.017;0.016;0.071;0.176;0.148;0.017;0.066
ENST00000253363_90_90;0.234;0.231;0.09;0.148;1.0;0.71;0.976;0.396;0.075;0.049;0.049;0.049;0.048;0.0;0.178;0.085;0.088;0.331;0.049;0.556;0.049;0.049;0.049;0.092;0.309;0.97;0.277;0.029;0.103;0.027;0.105;0.05;0.048;0.237;0.226;0.231;0.224;0.081;0.22;0.231;0.075;0.049;0.05;0.216;0.04;0.235;0.229;0.508;0.051;0.5;0.223;0.049;0.369;0.129;0.508;0.049;0.05;0.298;0.049;0.05;0.048;0.049;0.105;0.103;0.094;0.048;0.0;0.118;0.085;0.105;0.026;0.023
ENST00000338163_90_90;0.162;0.161;0.102;0.095;0.71;1.0;0.727;0.508;0.091;0.061;0.061;0.061;0.06;0.0;0.227;0.108;0.112;0.424;0.061;0.439;0.061;0.061;0.061;0.118;0.389;0.682;0.353;0.036;0.117;0.032;0.12;0.063;0.057;0.161;0.154;0.156;0.152;0.093;0.15;0.156;0.087;0.056;0.059;0.259;0.047;0.163;0.159;0.358;0.065;0.352;0.267;0.061;0.414;0.158;0.358;0.061;0.063;0.268;0.061;0.062;0.06;0.061;0.12;0.117;0.108;0.057;0.0;0.147;0.1;0.12;0.031;0.028
ENST00000361162_90_90;0.228;0.226;0.091;0.146;0.976;0.727;1.0;0.406;0.076;0.05;0.05;0.05;0.049;0.0;0.182;0.087;0.09;0.339;0.05;0.533;0.05;0.05;0.05;0.095;0.316;0.947;0.284;0.03;0.104;0.027;0.107;0.051;0.049;0.232;0.221;0.225;0.219;0.082;0.215;0.225;0.076;0.049;0.051;0.22;0.041;0.23;0.224;0.517;0.052;0.508;0.227;0.05;0.358;0.131;0.517;0.05;0.051;0.304;0.05;0.051;0.049;0.05;0.107;0.104;0.096;0.049;0.0;0.12;0.087;0.107;0.027;0.024
ENST00000374038_90_90;0.071;0.072;0.133;0.047;0.396;0.508;0.406;1.0;0.152;0.11;0.11;0.11;0.105;0.0;0.448;0.203;0.217;0.809;0.11;0.158;0.11;0.11;0.11;0.0;0.134;0.367;0.0;0.059;0.151;0.048;0.156;0.117;0.087;0.063;0.062;0.061;0.059;0.084;0.061;0.061;0.082;0.078;0.083;0.183;0.068;0.074;0.071;0.196;0.122;0.192;0.344;0.11;0.234;0.26;0.196;0.11;0.117;0.11;0.11;0.114;0.105;0.11;0.156;0.151;0.144;0.087;0.0;0.259;0.141;0.156;0.047;0.044
ENST00000397370_90_90;0.115;0.115;0.211;0.054;0.075;0.091;0.076;0.152;1.0;0.145;0.145;0.145;0.136;0.0;0.116;0.278;0.306;0.17;0.145;0.0;0.145;0.145;0.145;0.0;0.0;0.077;0.0;0.205;0.095;0.158;0.098;0.158;0.297;0.069;0.11;0.066;0.073;0.161;0.106;0.076;0.156;0.233;0.252;0.0;0.278;0.108;0.104;0.06;0.34;0.059;0.101;0.145;0.071;0.152;0.06;0.145;0.404;0.0;0.145;0.259;0.136;0.145;0.098;0.095;0.08;0.297;0.161;0.0;0.0;0.098;0.239;0.054
ENST00000403542_90_90;0.022;0.004;0.077;0.015;0.049;0.061;0.05;0.11;0.145;1.0;1.0;1.0;0.209;0.625;0.038;0.243;0.281;0.127;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.05;0.0;0.0;0.067;0.0;0.069;0.433;0.159;0.0;0.027;0.0;0.027;0.042;0.026;0.028;0.026;0.0;0.0;0.0;0.0;0.031;0.03;0.041;0.29;0.041;0.075;1.0;0.05;0.122;0.041;1.0;0.265;0.0;1.0;0.25;0.209;1.0;0.069;0.067;0.0;0.159;0.0;0.0;0.0;0.069;0.071;0.21
