;ENSCAFT00000024529_90_90;ENST00000326194_90_90;ENST00000355961_90_90;ENST00000359882_90_90;ENST00000361988_90_90;ENST00000367574_90_90;ENST00000470275_90_90;ENST00000472520_90_90;ENST00000485288_90_90;ENST00000489940_90_90;ENST00000528612_90_90;ENST00000537758_90_90;ENSMUST00000077595_90_90;ENSMUST00000082320_90_90;ENSMUST00000089402_90_90;ENSMUST00000089403_90_90;ENSMUST00000122943_90_90;ENSMUST00000154695_90_90
ENSCAFT00000024529_90_90;1.0;1.0;0.989;0.987;0.976;0.987;0.187;0.108;0.181;0.212;0.187;0.989;0.51;0.501;0.497;0.505;0.0;0.0
ENST00000326194_90_90;1.0;1.0;0.989;0.987;0.976;0.987;0.187;0.108;0.164;0.212;0.187;0.989;0.439;0.432;0.428;0.435;0.0;0.0
ENST00000355961_90_90;0.989;0.989;1.0;0.976;0.987;0.976;0.189;0.11;0.165;0.214;0.189;1.0;0.443;0.436;0.432;0.439;0.0;0.0
ENST00000359882_90_90;0.987;0.987;0.976;1.0;0.989;1.0;0.189;0.11;0.166;0.215;0.189;0.976;0.444;0.436;0.432;0.44;0.0;0.0
ENST00000361988_90_90;0.976;0.976;0.987;0.989;1.0;0.989;0.191;0.111;0.167;0.217;0.191;0.987;0.448;0.44;0.436;0.443;0.0;0.0
ENST00000367574_90_90;0.987;0.987;0.976;1.0;0.989;1.0;0.189;0.11;0.166;0.215;0.189;0.976;0.444;0.436;0.432;0.44;0.0;0.0
ENST00000470275_90_90;0.187;0.187;0.189;0.189;0.191;0.189;1.0;0.5;0.573;0.675;1.0;0.189;0.221;0.224;0.225;0.223;0.0;0.0
ENST00000472520_90_90;0.108;0.108;0.11;0.11;0.111;0.11;0.5;1.0;0.293;0.443;0.5;0.11;0.128;0.13;0.131;0.129;0.0;0.0
ENST00000485288_90_90;0.181;0.164;0.165;0.166;0.167;0.166;0.573;0.293;1.0;0.426;0.573;0.165;0.387;0.391;0.394;0.389;0.138;0.038
ENST00000489940_90_90;0.212;0.212;0.214;0.215;0.217;0.215;0.675;0.443;0.426;1.0;0.675;0.214;0.252;0.24;0.234;0.245;0.0;0.0
ENST00000528612_90_90;0.187;0.187;0.189;0.189;0.191;0.189;1.0;0.5;0.573;0.675;1.0;0.189;0.221;0.224;0.225;0.223;0.0;0.0
ENST00000537758_90_90;0.989;0.989;1.0;0.976;0.987;0.976;0.189;0.11;0.165;0.214;0.189;1.0;0.443;0.436;0.432;0.439;0.0;0.0
ENSMUST00000077595_90_90;0.51;0.439;0.443;0.444;0.448;0.444;0.221;0.128;0.387;0.252;0.221;0.443;1.0;0.989;0.976;0.987;0.187;0.115
ENSMUST00000082320_90_90;0.501;0.432;0.436;0.436;0.44;0.436;0.224;0.13;0.391;0.24;0.224;0.436;0.989;1.0;0.987;0.976;0.189;0.116
ENSMUST00000089402_90_90;0.497;0.428;0.432;0.432;0.436;0.432;0.225;0.131;0.394;0.234;0.225;0.432;0.976;0.987;1.0;0.989;0.191;0.118
ENSMUST00000089403_90_90;0.505;0.435;0.439;0.44;0.443;0.44;0.223;0.129;0.389;0.245;0.223;0.439;0.987;0.976;0.989;1.0;0.189;0.116
ENSMUST00000122943_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.138;0.0;0.0;0.0;0.187;0.189;0.191;0.189;1.0;0.484
ENSMUST00000154695_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.038;0.0;0.0;0.0;0.115;0.116;0.118;0.116;0.484;1.0
