;ENSCAFT00000017682_90_90;ENST00000329008_90_90;ENST00000395275_90_90;ENST00000395276_90_90;ENST00000405452_90_90;ENST00000431984_90_90;ENST00000446128_90_90;ENSMUST00000086029_90_90;ENSMUST00000111287_90_90;ENSMUST00000111288_90_90;ENSMUST00000141131_90_90;ENSMUST00000202728_90_90
ENSCAFT00000017682_90_90;1.0;0.667;1.0;0.667;0.167;0.667;0.5;1.0;0.8;0.8;0.4;0.4
ENST00000329008_90_90;0.667;1.0;0.571;1.0;0.2;1.0;0.75;0.667;1.0;1.0;0.5;0.167
ENST00000395275_90_90;1.0;0.571;1.0;0.571;0.125;0.571;0.429;1.0;0.667;0.667;0.333;0.5
ENST00000395276_90_90;0.667;1.0;0.571;1.0;0.2;1.0;0.75;0.667;1.0;1.0;0.5;0.167
ENST00000405452_90_90;0.167;0.2;0.125;0.2;1.0;0.2;0.0;0.167;0.25;0.25;0.0;0.0
ENST00000431984_90_90;0.667;1.0;0.571;1.0;0.2;1.0;0.75;0.667;1.0;1.0;0.5;0.167
ENST00000446128_90_90;0.5;0.75;0.429;0.75;0.0;0.75;1.0;0.5;0.75;0.75;0.667;0.2
ENSMUST00000086029_90_90;1.0;0.667;1.0;0.667;0.167;0.667;0.5;1.0;0.571;0.571;0.286;0.571
ENSMUST00000111287_90_90;0.8;1.0;0.667;1.0;0.25;1.0;0.75;0.571;1.0;1.0;0.5;0.143
ENSMUST00000111288_90_90;0.8;1.0;0.667;1.0;0.25;1.0;0.75;0.571;1.0;1.0;0.5;0.143
ENSMUST00000141131_90_90;0.4;0.5;0.333;0.5;0.0;0.5;0.667;0.286;0.5;0.5;1.0;0.2
ENSMUST00000202728_90_90;0.4;0.167;0.5;0.167;0.0;0.167;0.2;0.571;0.143;0.143;0.2;1.0
