;ENSCAFT00000028452_90_90;ENST00000331224_90_90;ENST00000341267_90_90;ENST00000392848_90_90;ENST00000556051_90_90;ENSMUST00000056110_90_90;ENSMUST00000109841_90_90;ENSMUST00000109842_90_90;ENSMUST00000109843_90_90;ENSMUST00000109844_90_90;ENSMUST00000109846_90_90;ENSMUST00000124293_90_90;ENSMUST00000173539_90_90;ENSMUST00000173812_90_90
ENSCAFT00000028452_90_90;1.0;0.742;0.93;0.244;0.238;0.919;0.631;0.724;0.595;0.919;0.786;0.332;0.688;0.326
ENST00000331224_90_90;0.742;1.0;0.81;0.388;0.186;0.609;0.64;0.737;0.604;0.609;0.692;0.279;0.701;0.264
ENST00000341267_90_90;0.93;0.81;1.0;0.314;0.159;0.783;0.528;0.609;0.498;0.783;0.664;0.235;0.579;0.338
ENST00000392848_90_90;0.244;0.388;0.314;1.0;0.394;0.15;0.205;0.182;0.218;0.15;0.17;0.138;0.192;0.0
ENST00000556051_90_90;0.238;0.186;0.159;0.394;1.0;0.16;0.207;0.188;0.218;0.16;0.177;0.331;0.196;0.0
ENSMUST00000056110_90_90;0.919;0.609;0.783;0.15;0.16;1.0;0.779;0.845;0.756;1.0;0.894;0.46;0.823;0.258
ENSMUST00000109841_90_90;0.631;0.64;0.528;0.205;0.207;0.779;1.0;0.923;0.972;0.779;0.872;0.57;0.897;0.167
ENSMUST00000109842_90_90;0.724;0.737;0.609;0.182;0.188;0.845;0.923;1.0;0.897;0.845;0.946;0.532;0.974;0.21
ENSMUST00000109843_90_90;0.595;0.604;0.498;0.218;0.218;0.756;0.972;0.897;1.0;0.756;0.847;0.584;0.92;0.142
ENSMUST00000109844_90_90;0.919;0.609;0.783;0.15;0.16;1.0;0.779;0.845;0.756;1.0;0.894;0.46;0.823;0.258
ENSMUST00000109846_90_90;0.786;0.692;0.664;0.17;0.177;0.894;0.872;0.946;0.847;0.894;1.0;0.507;0.921;0.264
ENSMUST00000124293_90_90;0.332;0.279;0.235;0.138;0.331;0.46;0.57;0.532;0.584;0.46;0.507;1.0;0.544;0.0
ENSMUST00000173539_90_90;0.688;0.701;0.579;0.192;0.196;0.823;0.897;0.974;0.92;0.823;0.921;0.544;1.0;0.186
ENSMUST00000173812_90_90;0.326;0.264;0.338;0.0;0.0;0.258;0.167;0.21;0.142;0.258;0.264;0.0;0.186;1.0
