;ENSCAFT00000028719_90_90;ENST00000347662_90_90;ENST00000351691_90_90;ENST00000392745_90_90;ENST00000539721_90_90;ENST00000558700_90_90;ENST00000559734_90_90;ENST00000560371_90_90;ENST00000560463_90_90;ENSMUST00000021706_90_90;ENSMUST00000060274_90_90;ENSMUST00000117269_90_90;ENSMUST00000139162_90_90
ENSCAFT00000028719_90_90;1.0;0.917;0.917;1.0;0.75;0.538;0.25;1.0;0.333;0.917;0.833;0.833;0.333
ENST00000347662_90_90;0.917;1.0;1.0;0.917;0.818;0.462;0.273;0.917;0.364;0.833;0.909;0.909;0.364
ENST00000351691_90_90;0.917;1.0;1.0;0.917;0.818;0.462;0.273;0.917;0.364;0.833;0.909;0.909;0.364
ENST00000392745_90_90;1.0;0.917;0.917;1.0;0.75;0.538;0.25;1.0;0.333;0.917;0.833;0.833;0.333
ENST00000539721_90_90;0.75;0.818;0.818;0.75;1.0;0.308;0.2;0.75;0.444;0.667;0.727;0.727;0.444
ENST00000558700_90_90;0.538;0.462;0.462;0.538;0.308;1.0;0.222;0.538;0.091;0.583;0.5;0.5;0.2
ENST00000559734_90_90;0.25;0.273;0.273;0.25;0.2;0.222;1.0;0.25;0.0;0.273;0.3;0.3;0.0
ENST00000560371_90_90;1.0;0.917;0.917;1.0;0.75;0.538;0.25;1.0;0.333;0.917;0.833;0.833;0.333
ENST00000560463_90_90;0.333;0.364;0.364;0.333;0.444;0.091;0.0;0.333;1.0;0.25;0.273;0.273;0.6
ENSMUST00000021706_90_90;0.917;0.833;0.833;0.917;0.667;0.583;0.273;0.917;0.25;1.0;0.909;0.909;0.364
ENSMUST00000060274_90_90;0.833;0.909;0.909;0.833;0.727;0.5;0.3;0.833;0.273;0.909;1.0;1.0;0.4
ENSMUST00000117269_90_90;0.833;0.909;0.909;0.833;0.727;0.5;0.3;0.833;0.273;0.909;1.0;1.0;0.4
ENSMUST00000139162_90_90;0.333;0.364;0.364;0.333;0.444;0.2;0.0;0.333;0.6;0.364;0.4;0.4;1.0
