;ENSCAFT00000011480_90_90;ENST00000265651_90_90;ENST00000448981_90_90;ENST00000526785_90_90;ENST00000529137_90_90;ENST00000530401_90_90;ENST00000531080_90_90;ENST00000532057_90_90;ENST00000532927_90_90;ENST00000534136_90_90;ENSMUST00000028603_90_90;ENSMUST00000102565_90_90;ENSMUST00000111135_90_90;ENSMUST00000111136_90_90
ENSCAFT00000011480_90_90;1.0;0.534;0.571;0.456;0.169;0.553;0.142;0.142;0.243;0.559;0.941;0.793;0.741;0.758
ENST00000265651_90_90;0.534;1.0;0.874;0.746;0.271;0.806;0.268;0.268;0.449;0.861;0.528;0.609;0.591;0.529
ENST00000448981_90_90;0.571;0.874;1.0;0.629;0.287;0.927;0.168;0.168;0.474;0.915;0.564;0.695;0.678;0.568
ENST00000526785_90_90;0.456;0.746;0.629;1.0;0.036;0.677;0.357;0.357;0.196;0.62;0.452;0.526;0.554;0.44
ENST00000529137_90_90;0.169;0.271;0.287;0.036;1.0;0.223;0.0;0.0;0.579;0.282;0.167;0.198;0.17;0.215
ENST00000530401_90_90;0.553;0.806;0.927;0.677;0.223;1.0;0.178;0.178;0.401;0.847;0.547;0.678;0.714;0.548
ENST00000531080_90_90;0.142;0.268;0.168;0.357;0.0;0.178;1.0;1.0;0.0;0.165;0.141;0.164;0.173;0.076
ENST00000532057_90_90;0.142;0.268;0.168;0.357;0.0;0.178;1.0;1.0;0.0;0.165;0.141;0.164;0.173;0.076
ENST00000532927_90_90;0.243;0.449;0.474;0.196;0.579;0.401;0.0;0.0;1.0;0.467;0.24;0.283;0.257;0.311
ENST00000534136_90_90;0.559;0.861;0.915;0.62;0.282;0.847;0.165;0.165;0.467;1.0;0.553;0.641;0.623;0.556
ENSMUST00000028603_90_90;0.941;0.528;0.564;0.452;0.167;0.547;0.141;0.141;0.24;0.553;1.0;0.785;0.732;0.751
ENSMUST00000102565_90_90;0.793;0.609;0.695;0.526;0.198;0.678;0.164;0.164;0.283;0.641;0.785;1.0;0.931;0.839
ENSMUST00000111135_90_90;0.741;0.591;0.678;0.554;0.17;0.714;0.173;0.173;0.257;0.623;0.732;0.931;1.0;0.774
ENSMUST00000111136_90_90;0.758;0.529;0.568;0.44;0.215;0.548;0.076;0.076;0.311;0.556;0.751;0.839;0.774;1.0
