;transcript52_MGP-CAROLIEiJ-G0020234;transcript63_MGP-CAROLIEiJ-G0020234;transcript64_ENSMUSG00000054036;transcript48_MGP-PahariEiJ-G0020237;transcript57_ENSMUSG00000054036;transcript7_MGP-PahariEiJ-G0020237;transcript62_MGP-CAROLIEiJ-G0020234;transcript52_ENSMUSG00000054036;transcript67_ENSMUSG00000054036;transcript9_MGP-CAROLIEiJ-G0020234;transcript9_MGP-PahariEiJ-G0020237;transcript40_ENSRNOG00000031503;transcript49_ENSRNOG00000031503;transcript8_ENSRNOG00000031503;transcript55_ENSRNOG00000031503;transcript54_ENSRNOG00000031503;transcript41_ENSMUGG00000013649;transcript53_ENSRNOG00000031503
transcript52_MGP-CAROLIEiJ-G0020234;1.0;0.732;0.736;0.716;0.714;0.657;0.764;0.882;0.714;0.708;0.708;0.651;0.673;0.663;0.692;0.692;0.67;0.672
transcript63_MGP-CAROLIEiJ-G0020234;0.732;1.0;0.944;0.982;0.98;0.923;0.582;0.732;0.98;0.961;0.961;0.929;0.885;0.944;0.974;0.974;0.932;0.895
transcript64_ENSMUSG00000054036;0.736;0.944;1.0;0.855;0.848;0.807;0.58;0.678;0.921;0.938;0.886;0.822;0.947;0.837;0.87;0.87;0.797;0.738
transcript48_MGP-PahariEiJ-G0020237;0.716;0.982;0.855;1.0;0.994;0.956;0.568;0.621;0.927;0.945;0.748;0.962;0.815;0.971;0.986;0.986;0.967;0.824
transcript57_ENSMUSG00000054036;0.714;0.98;0.848;0.994;1.0;0.95;0.566;0.603;0.913;0.974;0.756;0.953;0.784;0.966;0.994;0.994;0.957;0.784
transcript7_MGP-PahariEiJ-G0020237;0.657;0.923;0.807;0.956;0.95;1.0;0.601;0.574;0.883;0.889;0.705;0.915;0.766;0.923;0.939;0.939;0.924;0.775
transcript62_MGP-CAROLIEiJ-G0020234;0.764;0.582;0.58;0.568;0.566;0.601;1.0;0.764;0.566;0.566;0.566;0.498;0.51;0.509;0.535;0.535;0.526;0.502
transcript52_ENSMUSG00000054036;0.882;0.732;0.678;0.621;0.603;0.574;0.764;1.0;0.639;0.727;0.727;0.557;0.616;0.57;0.598;0.598;0.559;0.637
transcript67_ENSMUSG00000054036;0.714;0.98;0.921;0.927;0.913;0.883;0.566;0.639;1.0;0.974;0.823;0.877;0.857;0.891;0.919;0.919;0.869;0.798
transcript9_MGP-CAROLIEiJ-G0020234;0.708;0.961;0.938;0.945;0.974;0.889;0.566;0.727;0.974;1.0;1.0;0.927;0.883;0.941;0.972;0.972;0.932;0.892
transcript9_MGP-PahariEiJ-G0020237;0.708;0.961;0.886;0.748;0.756;0.705;0.566;0.727;0.823;1.0;1.0;0.762;0.844;0.771;0.785;0.785;0.738;0.786
transcript40_ENSRNOG00000031503;0.651;0.929;0.822;0.962;0.953;0.915;0.498;0.557;0.877;0.927;0.762;1.0;0.852;0.964;0.902;0.902;0.992;0.716
transcript49_ENSRNOG00000031503;0.673;0.885;0.947;0.815;0.784;0.766;0.51;0.616;0.857;0.883;0.844;0.852;1.0;0.814;0.749;0.749;0.843;0.632
transcript8_ENSRNOG00000031503;0.663;0.944;0.837;0.971;0.966;0.923;0.509;0.57;0.891;0.941;0.771;0.964;0.814;1.0;0.935;0.935;0.956;0.742
transcript55_ENSRNOG00000031503;0.692;0.974;0.87;0.986;0.994;0.939;0.535;0.598;0.919;0.972;0.785;0.902;0.749;0.935;1.0;1.0;0.894;0.79
transcript54_ENSRNOG00000031503;0.692;0.974;0.87;0.986;0.994;0.939;0.535;0.598;0.919;0.972;0.785;0.902;0.749;0.935;1.0;1.0;0.894;0.79
transcript41_ENSMUGG00000013649;0.67;0.932;0.797;0.967;0.957;0.924;0.526;0.559;0.869;0.932;0.738;0.992;0.843;0.956;0.894;0.894;1.0;0.708
transcript53_ENSRNOG00000031503;0.672;0.895;0.738;0.824;0.784;0.775;0.502;0.637;0.798;0.892;0.786;0.716;0.632;0.742;0.79;0.79;0.708;1.0
