;ENSCAFT00000023220_90_90;ENST00000248450_90_90;ENST00000420660_90_90;ENST00000422731_90_90;ENST00000444053_90_90;ENST00000447885_90_90;ENSMUST00000006462_90_90;ENSMUST00000178235_90_90;ENSMUST00000187046_90_90;ENSMUST00000190008_90_90
ENSCAFT00000023220_90_90;1.0;0.996;0.904;0.428;0.996;0.462;0.999;0.999;0.402;0.133
ENST00000248450_90_90;0.996;1.0;0.865;0.425;0.998;0.462;0.997;0.995;0.404;0.124
ENST00000420660_90_90;0.904;0.865;1.0;0.444;0.867;0.484;0.862;0.864;0.422;0.185
ENST00000422731_90_90;0.428;0.425;0.444;1.0;0.424;0.0;0.428;0.427;0.227;0.0
ENST00000444053_90_90;0.996;0.998;0.867;0.424;1.0;0.461;0.995;0.997;0.403;0.124
ENST00000447885_90_90;0.462;0.462;0.484;0.0;0.461;1.0;0.462;0.461;0.404;0.222
ENSMUST00000006462_90_90;0.999;0.997;0.862;0.428;0.995;0.462;1.0;0.998;0.402;0.124
ENSMUST00000178235_90_90;0.999;0.995;0.864;0.427;0.997;0.461;0.998;1.0;0.401;0.123
ENSMUST00000187046_90_90;0.402;0.404;0.422;0.227;0.403;0.404;0.402;0.401;1.0;0.163
ENSMUST00000190008_90_90;0.133;0.124;0.185;0.0;0.124;0.222;0.124;0.123;0.163;1.0
