;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript11_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript3_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript18_ENSPCIG00000036398;transcript3_ENSMUNG00000007775;transcript8_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript3_ENSMUNG00000002391;transcript10_ENSMUNG00000002391
transcript8_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.917;1.0;0.841;0.917;0.989;0.999;0.999;0.503;0.9;0.9;0.522;0.9;0.497;0.934;0.509;0.5;0.501;0.509;0.497;0.907
transcript10_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.917;1.0;0.841;0.917;0.989;0.999;0.999;0.503;0.9;0.9;0.522;0.9;0.497;0.934;0.509;0.5;0.501;0.509;0.497;0.907
transcript20_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.917;1.0;0.841;0.917;0.989;0.999;0.999;0.503;0.9;0.9;0.522;0.9;0.497;0.934;0.509;0.5;0.501;0.509;0.497;0.907
transcript8_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.917;1.0;0.841;0.917;0.989;0.999;0.999;0.441;0.9;0.9;0.45;0.9;0.442;0.926;0.437;0.438;0.439;0.437;0.442;0.899
transcript10_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.917;1.0;0.841;0.917;0.989;0.999;0.999;0.441;0.9;0.9;0.45;0.9;0.442;0.926;0.437;0.438;0.439;0.437;0.442;0.899
transcript11_ENSHGLG00000019563;0.917;0.917;0.917;0.917;0.917;1.0;0.917;0.932;1.0;0.932;0.924;0.924;0.323;0.99;0.99;0.331;0.99;0.323;0.95;0.324;0.323;0.323;0.324;0.323;0.949
transcript13_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.917;1.0;0.841;0.917;0.989;0.999;0.999;0.441;0.9;0.9;0.45;0.9;0.442;0.926;0.437;0.438;0.439;0.437;0.442;0.899
transcript26_ENSHGLG00000019563;0.841;0.841;0.841;0.841;0.841;0.932;0.841;1.0;0.932;0.858;0.849;0.849;0.265;0.921;0.921;0.273;0.921;0.266;0.877;0.266;0.266;0.266;0.266;0.266;0.876
transcript27_ENSHGLG00000019563;0.917;0.917;0.917;0.917;0.917;1.0;0.917;0.932;1.0;0.932;0.924;0.924;0.323;0.99;0.99;0.331;0.99;0.323;0.95;0.324;0.323;0.323;0.324;0.323;0.949
transcript28_ENSHGLG00000019563;0.989;0.989;0.989;0.989;0.989;0.932;0.989;0.858;0.932;1.0;0.987;0.987;0.436;0.9;0.9;0.445;0.9;0.437;0.927;0.432;0.433;0.434;0.432;0.437;0.896
transcript7_ENSHGLG00100006079;0.999;0.999;0.999;0.999;0.999;0.924;0.999;0.849;0.924;0.987;1.0;1.0;0.56;0.906;0.906;0.591;0.906;0.561;0.907;0.571;0.565;0.566;0.571;0.561;0.882
transcript10_ENSHGLG00100006079;0.999;0.999;0.999;0.999;0.999;0.924;0.999;0.849;0.924;0.987;1.0;1.0;0.56;0.906;0.906;0.591;0.906;0.561;0.907;0.571;0.565;0.566;0.571;0.561;0.882
transcript3_ENSPCIG00000036398;0.503;0.503;0.503;0.441;0.441;0.323;0.441;0.265;0.323;0.436;0.56;0.56;1.0;0.35;0.35;0.95;0.35;0.969;0.456;1.0;0.995;1.0;1.0;0.961;0.454
transcript7_ENSPCIG00000036398;0.9;0.9;0.9;0.9;0.9;0.99;0.9;0.921;0.99;0.9;0.906;0.906;0.35;1.0;1.0;0.374;1.0;0.339;0.919;0.358;0.348;0.35;0.358;0.339;0.917
transcript8_ENSPCIG00000036398;0.9;0.9;0.9;0.9;0.9;0.99;0.9;0.921;0.99;0.9;0.906;0.906;0.35;1.0;1.0;0.374;1.0;0.339;0.919;0.358;0.348;0.35;0.358;0.339;0.917
transcript15_ENSPCIG00000036398;0.522;0.522;0.522;0.45;0.45;0.331;0.45;0.273;0.331;0.445;0.591;0.591;0.95;0.374;0.374;1.0;0.374;0.926;0.407;0.967;0.952;0.957;0.967;0.925;0.421
