;ENSCAFT00000002127_90_90;ENSCAFT00000010587_90_90;ENST00000360332_90_90;ENST00000374174_90_90;ENST00000374176_90_90;ENST00000374179_90_90;ENST00000374182_90_90;ENST00000374189_90_90;ENST00000395611_90_90;ENST00000426557_90_90;ENST00000429041_90_90;ENST00000432379_90_90;ENST00000229794_90_90;ENST00000229795_90_90;ENST00000310795_90_90;ENST00000468133_90_90;ENST00000472333_90_90;ENST00000474429_90_90;ENST00000491957_90_90;ENST00000622903_90_90;ENSMUST00000022504_90_90;ENSMUST00000111942_90_90;ENSMUST00000111943_90_90;ENSMUST00000111944_90_90;ENSMUST00000111945_90_90;ENSMUST00000004990_90_90;ENSMUST00000062694_90_90;ENSMUST00000114752_90_90;ENSMUST00000114754_90_90;ENSMUST00000114758_90_90;ENSMUST00000124886_90_90
ENSCAFT00000002127_90_90;1.0;0.347;0.343;0.316;0.441;0.347;0.347;0.441;0.441;0.316;0.119;0.316;0.297;0.292;0.297;0.137;0.133;0.198;0.292;0.292;0.441;0.342;0.347;0.441;0.347;0.604;0.678;0.678;0.678;0.382;0.231
ENSCAFT00000010587_90_90;0.347;1.0;0.802;0.535;0.892;1.0;0.938;0.836;0.892;0.37;0.252;0.372;0.418;0.348;0.464;0.308;0.271;0.223;0.381;0.381;0.892;0.802;1.0;0.836;0.938;0.264;0.264;0.115;0.115;0.328;0.378
ENST00000360332_90_90;0.343;0.802;1.0;0.64;0.715;0.802;0.802;0.715;0.715;0.461;0.313;0.463;0.316;0.318;0.351;0.203;0.288;0.277;0.47;0.47;0.715;1.0;0.802;0.715;0.802;0.265;0.265;0.132;0.132;0.339;0.399
ENST00000374174_90_90;0.316;0.535;0.64;1.0;0.467;0.518;0.518;0.467;0.467;0.651;0.441;0.654;0.398;0.4;0.455;0.257;0.413;0.412;0.684;0.684;0.481;0.667;0.535;0.481;0.535;0.068;0.068;0.0;0.0;0.087;0.102
ENST00000374176_90_90;0.441;0.892;0.715;0.467;1.0;0.892;0.792;0.894;1.0;0.333;0.226;0.334;0.369;0.308;0.404;0.271;0.231;0.201;0.344;0.344;1.0;0.715;0.892;0.894;0.792;0.329;0.329;0.18;0.18;0.409;0.471
ENST00000374179_90_90;0.347;1.0;0.802;0.518;0.892;1.0;0.882;0.792;0.892;0.37;0.251;0.372;0.399;0.332;0.441;0.293;0.255;0.223;0.381;0.381;0.892;0.802;1.0;0.792;0.882;0.264;0.264;0.114;0.114;0.328;0.378
ENST00000374182_90_90;0.347;0.938;0.802;0.518;0.792;0.882;1.0;0.892;0.792;0.37;0.251;0.372;0.398;0.331;0.44;0.293;0.311;0.223;0.381;0.381;0.792;0.802;0.882;0.892;1.0;0.256;0.256;0.119;0.119;0.321;0.372
ENST00000374189_90_90;0.441;0.836;0.715;0.467;0.894;0.792;0.892;1.0;0.894;0.333;0.226;0.334;0.368;0.308;0.404;0.27;0.281;0.201;0.345;0.345;0.894;0.715;0.792;1.0;0.892;0.323;0.323;0.187;0.187;0.405;0.469
ENST00000395611_90_90;0.441;0.892;0.715;0.467;1.0;0.892;0.792;0.894;1.0;0.333;0.226;0.334;0.369;0.308;0.404;0.271;0.231;0.201;0.344;0.344;1.0;0.715;0.892;0.894;0.792;0.329;0.329;0.18;0.18;0.409;0.471
ENST00000426557_90_90;0.316;0.37;0.461;0.651;0.333;0.37;0.37;0.333;0.333;1.0;0.319;0.995;0.328;0.33;0.379;0.173;0.292;0.592;0.634;0.634;0.333;0.461;0.37;0.333;0.37;0.0;0.0;0.0;0.0;0.0;0.0
