;ENSCAFT00000031843_90_90;ENST00000372554_90_90;ENST00000372559_90_90;ENST00000372564_90_90;ENST00000416230_90_90;ENST00000416629_90_90;ENST00000417224_90_90;ENST00000425236_90_90;ENST00000455407_90_90;ENSMUST00000028214_90_90;ENSMUST00000100215_90_90;ENSMUST00000113620_90_90;ENSMUST00000113621_90_90;ENSMUST00000163668_90_90
ENSCAFT00000031843_90_90;1.0;0.508;0.508;0.508;0.0;0.508;0.508;0.0;0.0;0.511;0.511;0.512;0.511;0.511
ENST00000372554_90_90;0.508;1.0;0.926;0.926;0.204;0.869;0.964;0.072;0.092;0.812;0.849;0.754;0.885;0.792
ENST00000372559_90_90;0.508;0.926;1.0;1.0;0.215;0.938;0.961;0.075;0.102;0.871;0.839;0.809;0.812;0.78
ENST00000372564_90_90;0.508;0.926;1.0;1.0;0.215;0.938;0.961;0.075;0.102;0.871;0.839;0.809;0.812;0.78
ENST00000416230_90_90;0.0;0.204;0.215;0.215;1.0;0.226;0.209;0.486;0.137;0.364;0.348;0.389;0.334;0.37
ENST00000416629_90_90;0.508;0.869;0.938;0.938;0.226;1.0;0.901;0.08;0.109;0.809;0.78;0.862;0.754;0.828
ENST00000417224_90_90;0.508;0.964;0.961;0.961;0.209;0.901;1.0;0.073;0.097;0.839;0.879;0.78;0.849;0.819
ENST00000425236_90_90;0.0;0.072;0.075;0.075;0.486;0.08;0.073;1.0;0.0;0.165;0.158;0.177;0.151;0.167
ENST00000455407_90_90;0.0;0.092;0.102;0.102;0.137;0.109;0.097;0.0;1.0;0.062;0.059;0.067;0.057;0.063
ENSMUST00000028214_90_90;0.511;0.812;0.871;0.871;0.364;0.809;0.839;0.165;0.062;1.0;0.964;0.942;0.933;0.909
ENSMUST00000100215_90_90;0.511;0.849;0.839;0.839;0.348;0.78;0.879;0.158;0.059;0.964;1.0;0.909;0.967;0.944
ENSMUST00000113620_90_90;0.512;0.754;0.809;0.809;0.389;0.862;0.78;0.177;0.067;0.942;0.909;1.0;0.879;0.962
ENSMUST00000113621_90_90;0.511;0.885;0.812;0.812;0.334;0.754;0.849;0.151;0.057;0.933;0.967;0.879;1.0;0.913
ENSMUST00000163668_90_90;0.511;0.792;0.78;0.78;0.37;0.828;0.819;0.167;0.063;0.909;0.944;0.962;0.913;1.0
