;ENSCAFT00000000383_90_90;ENSCAFT00000035671_90_90;ENST00000353331_90_90;ENST00000392348_90_90;ENST00000527536_90_90;ENST00000527613_90_90;ENST00000527759_90_90;ENST00000529826_90_90;ENST00000530429_90_90;ENST00000530767_90_90;ENST00000531224_90_90;ENST00000532384_90_90;ENST00000533422_90_90;ENST00000533621_90_90;ENST00000534269_90_90;ENST00000534762_90_90;ENST00000628517_90_90;ENST00000640069_90_90;ENSMUST00000043881_90_90;ENSMUST00000092678_90_90;ENSMUST00000185800_90_90;ENSMUST00000186100_90_90;ENSMUST00000189158_90_90;ENSMUST00000190156_90_90;ENSMUST00000191438_90_90
ENSCAFT00000000383_90_90;1.0;0.92;0.926;0.926;0.942;0.796;0.968;0.742;0.78;0.86;0.984;0.796;0.129;0.185;0.468;0.193;0.796;0.705;0.984;0.942;0.967;0.777;0.026;0.76;0.676
ENSCAFT00000035671_90_90;0.92;1.0;0.87;0.87;0.887;0.768;0.911;0.713;0.752;0.804;0.928;0.768;0.117;0.174;0.434;0.182;0.768;0.674;0.926;0.884;0.909;0.748;0.027;0.731;0.653
ENST00000353331_90_90;0.926;0.87;1.0;1.0;0.984;0.774;0.958;0.764;0.786;0.82;0.943;0.774;0.135;0.193;0.49;0.151;0.774;0.706;0.941;0.983;0.958;0.766;0.043;0.778;0.736
ENST00000392348_90_90;0.926;0.87;1.0;1.0;0.984;0.774;0.958;0.764;0.786;0.82;0.943;0.774;0.135;0.193;0.49;0.151;0.774;0.706;0.941;0.983;0.958;0.766;0.043;0.778;0.736
ENST00000527536_90_90;0.942;0.887;0.984;0.984;1.0;0.79;0.943;0.78;0.774;0.836;0.959;0.79;0.133;0.189;0.482;0.148;0.79;0.721;0.958;1.0;0.941;0.782;0.042;0.766;0.722
ENST00000527613_90_90;0.796;0.768;0.774;0.774;0.79;1.0;0.742;0.911;0.98;0.637;0.758;1.0;0.0;0.221;0.561;0.046;1.0;0.839;0.75;0.782;0.734;1.0;0.049;0.98;0.513
ENST00000527759_90_90;0.968;0.911;0.958;0.958;0.943;0.742;1.0;0.732;0.754;0.861;0.984;0.742;0.129;0.185;0.47;0.193;0.742;0.676;0.984;0.941;1.0;0.734;0.041;0.744;0.705
ENST00000529826_90_90;0.742;0.713;0.764;0.764;0.78;0.911;0.732;1.0;0.891;0.624;0.748;0.911;0.0;0.248;0.615;0.026;0.911;0.879;0.738;0.771;0.721;0.905;0.055;0.885;0.493
ENST00000530429_90_90;0.78;0.752;0.786;0.786;0.774;0.98;0.754;0.891;1.0;0.623;0.742;0.98;0.0;0.226;0.571;0.048;0.98;0.82;0.734;0.766;0.744;0.98;0.051;1.0;0.522
ENST00000530767_90_90;0.86;0.804;0.82;0.82;0.836;0.637;0.861;0.624;0.623;1.0;0.877;0.637;0.147;0.174;0.529;0.218;0.637;0.571;0.875;0.832;0.858;0.627;0.044;0.611;0.567
ENST00000531224_90_90;0.984;0.928;0.943;0.943;0.959;0.758;0.984;0.748;0.742;0.877;1.0;0.758;0.128;0.181;0.463;0.19;0.758;0.692;1.0;0.958;0.984;0.75;0.04;0.734;0.692
ENST00000532384_90_90;0.796;0.768;0.774;0.774;0.79;1.0;0.742;0.911;0.98;0.637;0.758;1.0;0.0;0.221;0.561;0.046;1.0;0.839;0.75;0.782;0.734;1.0;0.049;0.98;0.513
ENST00000533422_90_90;0.129;0.117;0.135;0.135;0.133;0.0;0.129;0.0;0.0;0.147;0.128;0.0;1.0;0.0;0.0;0.484;0.0;0.0;0.131;0.137;0.133;0.0;0.0;0.0;0.192
ENST00000533621_90_90;0.185;0.174;0.193;0.193;0.189;0.221;0.185;0.248;0.226;0.174;0.181;0.221;0.0;1.0;0.303;0.0;0.221;0.251;0.173;0.18;0.177;0.213;0.0;0.218;0.192
ENST00000534269_90_90;0.468;0.434;0.49;0.49;0.482;0.561;0.47;0.615;0.571;0.529;0.463;0.561;0.0;0.303;1.0;0.0;0.561;0.624;0.446;0.466;0.453;0.543;0.146;0.554;0.216
ENST00000534762_90_90;0.193;0.182;0.151;0.151;0.148;0.046;0.193;0.026;0.048;0.218;0.19;0.046;0.484;0.0;0.0;1.0;0.046;0.0;0.196;0.153;0.199;0.049;0.0;0.05;0.209
ENST00000628517_90_90;0.796;0.768;0.774;0.774;0.79;1.0;0.742;0.911;0.98;0.637;0.758;1.0;0.0;0.221;0.561;0.046;1.0;0.839;0.75;0.782;0.734;1.0;0.049;0.98;0.513
ENST00000640069_90_90;0.705;0.674;0.706;0.706;0.721;0.839;0.676;0.879;0.82;0.571;0.692;0.839;0.0;0.251;0.624;0.0;0.839;1.0;0.699;0.73;0.682;0.858;0.058;0.837;0.453
ENSMUST00000043881_90_90;0.984;0.926;0.941;0.941;0.958;0.75;0.984;0.738;0.734;0.875;1.0;0.75;0.131;0.173;0.446;0.196;0.75;0.699;1.0;0.958;0.984;0.739;0.039;0.724;0.696
ENSMUST00000092678_90_90;0.942;0.884;0.983;0.983;1.0;0.782;0.941;0.771;0.766;0.832;0.958;0.782;0.137;0.18;0.466;0.153;0.782;0.73;0.958;1.0;0.942;0.771;0.041;0.755;0.726
ENSMUST00000185800_90_90;0.967;0.909;0.958;0.958;0.941;0.734;1.0;0.721;0.744;0.858;0.984;0.734;0.133;0.177;0.453;0.199;0.734;0.682;0.984;0.942;1.0;0.724;0.04;0.734;0.709
ENSMUST00000186100_90_90;0.777;0.748;0.766;0.766;0.782;1.0;0.734;0.905;0.98;0.627;0.75;1.0;0.0;0.213;0.543;0.049;1.0;0.858;0.739;0.771;0.724;1.0;0.049;0.98;0.506
ENSMUST00000189158_90_90;0.026;0.027;0.043;0.043;0.042;0.049;0.041;0.055;0.051;0.044;0.04;0.049;0.0;0.0;0.146;0.0;0.049;0.058;0.039;0.041;0.04;0.049;1.0;0.051;0.053
ENSMUST00000190156_90_90;0.76;0.731;0.778;0.778;0.766;0.98;0.744;0.885;1.0;0.611;0.734;0.98;0.0;0.218;0.554;0.05;0.98;0.837;0.724;0.755;0.734;0.98;0.051;1.0;0.514
ENSMUST00000191438_90_90;0.676;0.653;0.736;0.736;0.722;0.513;0.705;0.493;0.522;0.567;0.692;0.513;0.192;0.192;0.216;0.209;0.513;0.453;0.696;0.726;0.709;0.506;0.053;0.514;1.0
