;ENSCAFT00000047903_90_90;ENST00000341217_90_90;ENST00000452648_90_90;ENST00000577376_90_90;ENST00000577513_90_90;ENST00000577682_90_90;ENST00000579381_90_90;ENST00000581229_90_90;ENST00000581381_90_90;ENST00000581407_90_90;ENST00000582059_90_90;ENST00000582266_90_90;ENST00000583307_90_90;ENST00000583522_90_90;ENST00000583953_90_90;ENST00000584059_90_90;ENSMUST00000073705_90_90;ENSMUST00000100782_90_90;ENSMUST00000155571_90_90
ENSCAFT00000047903_90_90;1.0;0.095;0.762;0.762;0.762;0.238;0.429;0.762;0.238;0.762;0.238;0.238;0.762;0.238;0.238;0.286;1.0;0.125;1.0
ENST00000341217_90_90;0.095;1.0;0.273;0.182;0.136;0.0;0.0;0.136;0.0;0.273;0.0;0.0;0.227;0.0;0.0;0.0;0.273;1.0;0.273
ENST00000452648_90_90;0.762;0.273;1.0;0.909;0.864;0.174;0.143;0.864;0.174;1.0;0.174;0.174;0.955;0.174;0.174;0.273;1.0;0.273;1.0
ENST00000577376_90_90;0.762;0.182;0.909;1.0;0.95;0.19;0.154;0.95;0.19;0.909;0.19;0.19;0.952;0.19;0.19;0.3;0.909;0.182;0.909
ENST00000577513_90_90;0.762;0.136;0.864;0.95;1.0;0.2;0.16;1.0;0.2;0.864;0.2;0.2;0.905;0.2;0.2;0.316;0.864;0.136;0.864
ENST00000577682_90_90;0.238;0.0;0.174;0.19;0.2;1.0;0.5;0.2;1.0;0.174;1.0;1.0;0.182;1.0;1.0;0.571;0.182;0.0;0.182
ENST00000579381_90_90;0.429;0.0;0.143;0.154;0.16;0.5;1.0;0.16;0.5;0.143;0.5;0.5;0.148;0.5;0.5;0.333;0.182;0.0;0.182
ENST00000581229_90_90;0.762;0.136;0.864;0.95;1.0;0.2;0.16;1.0;0.2;0.864;0.2;0.2;0.905;0.2;0.2;0.316;0.864;0.136;0.864
ENST00000581381_90_90;0.238;0.0;0.174;0.19;0.2;1.0;0.5;0.2;1.0;0.174;1.0;1.0;0.182;1.0;1.0;0.571;0.182;0.0;0.182
ENST00000581407_90_90;0.762;0.273;1.0;0.909;0.864;0.174;0.143;0.864;0.174;1.0;0.174;0.174;0.955;0.174;0.174;0.273;1.0;0.273;1.0
ENST00000582059_90_90;0.238;0.0;0.174;0.19;0.2;1.0;0.5;0.2;1.0;0.174;1.0;1.0;0.182;1.0;1.0;0.571;0.182;0.0;0.182
ENST00000582266_90_90;0.238;0.0;0.174;0.19;0.2;1.0;0.5;0.2;1.0;0.174;1.0;1.0;0.182;1.0;1.0;0.571;0.182;0.0;0.182
ENST00000583307_90_90;0.762;0.227;0.955;0.952;0.905;0.182;0.148;0.905;0.182;0.955;0.182;0.182;1.0;0.182;0.182;0.286;0.955;0.227;0.955
ENST00000583522_90_90;0.238;0.0;0.174;0.19;0.2;1.0;0.5;0.2;1.0;0.174;1.0;1.0;0.182;1.0;1.0;0.571;0.182;0.0;0.182
ENST00000583953_90_90;0.238;0.0;0.174;0.19;0.2;1.0;0.5;0.2;1.0;0.174;1.0;1.0;0.182;1.0;1.0;0.571;0.182;0.0;0.182
ENST00000584059_90_90;0.286;0.0;0.273;0.3;0.316;0.571;0.333;0.316;0.571;0.273;0.571;0.571;0.286;0.571;0.571;1.0;0.273;0.0;0.273
ENSMUST00000073705_90_90;1.0;0.273;1.0;0.909;0.864;0.182;0.182;0.864;0.182;1.0;0.182;0.182;0.955;0.182;0.182;0.273;1.0;0.273;1.0
ENSMUST00000100782_90_90;0.125;1.0;0.273;0.182;0.136;0.0;0.0;0.136;0.0;0.273;0.0;0.0;0.227;0.0;0.0;0.0;0.273;1.0;0.273
ENSMUST00000155571_90_90;1.0;0.273;1.0;0.909;0.864;0.182;0.182;0.864;0.182;1.0;0.182;0.182;0.955;0.182;0.182;0.273;1.0;0.273;1.0
