;ENSCAFT00000013523_90_90;ENST00000339266_90_90;ENST00000340491_90_90;ENST00000373907_90_90;ENST00000373913_90_90;ENST00000401952_90_90;ENST00000475894_90_90;ENST00000482872_90_90;ENST00000489701_90_90;ENST00000495241_90_90;ENSMUST00000000094_90_90;ENSMUST00000070782_90_90;ENSMUST00000099145_90_90;ENSMUST00000109566_90_90;ENSMUST00000109567_90_90;ENSMUST00000109568_90_90;ENSMUST00000131157_90_90;ENSMUST00000137356_90_90;ENSMUST00000146412_90_90;ENSMUST00000169464_90_90;ENSMUST00000171030_90_90;ENSMUST00000177013_90_90
ENSCAFT00000013523_90_90;1.0;0.87;0.565;0.87;0.704;0.704;0.476;0.095;0.32;0.286;0.32;0.643;0.565;0.476;0.643;0.75;0.19;0.048;0.238;0.792;0.429;0.143
ENST00000339266_90_90;0.87;1.0;0.609;1.0;0.808;0.808;0.455;0.091;0.308;0.273;0.308;0.679;0.542;0.455;0.679;0.792;0.182;0.045;0.227;0.833;0.409;0.136
ENST00000340491_90_90;0.565;0.609;1.0;0.609;0.481;0.481;0.667;0.133;0.421;0.4;0.421;0.429;0.875;0.667;0.429;0.565;0.267;0.067;0.333;0.542;0.6;0.2
ENST00000373907_90_90;0.87;1.0;0.609;1.0;0.808;0.808;0.455;0.091;0.308;0.273;0.308;0.679;0.542;0.455;0.679;0.792;0.182;0.045;0.227;0.833;0.409;0.136
ENST00000373913_90_90;0.704;0.808;0.481;0.808;1.0;1.0;0.4;0.08;0.423;0.24;0.37;0.786;0.429;0.4;0.786;0.643;0.16;0.04;0.2;0.679;0.36;0.12
ENST00000401952_90_90;0.704;0.808;0.481;0.808;1.0;1.0;0.4;0.08;0.423;0.24;0.37;0.786;0.429;0.4;0.786;0.643;0.16;0.04;0.2;0.679;0.36;0.12
ENST00000475894_90_90;0.476;0.455;0.667;0.455;0.4;0.4;1.0;0.2;0.467;0.6;0.467;0.4;0.667;1.0;0.4;0.476;0.4;0.1;0.5;0.455;0.9;0.3
ENST00000482872_90_90;0.095;0.091;0.133;0.091;0.08;0.08;0.2;1.0;0.167;0.333;0.167;0.08;0.133;0.2;0.08;0.095;0.0;0.5;0.4;0.091;0.222;0.667
ENST00000489701_90_90;0.32;0.308;0.421;0.308;0.423;0.423;0.467;0.167;1.0;0.5;0.846;0.37;0.421;0.467;0.37;0.32;0.231;0.083;0.417;0.308;0.5;0.25
ENST00000495241_90_90;0.286;0.273;0.4;0.273;0.24;0.24;0.6;0.333;0.5;1.0;0.5;0.24;0.4;0.6;0.24;0.286;0.25;0.167;0.833;0.273;0.667;0.5
ENSMUST00000000094_90_90;0.32;0.308;0.421;0.308;0.37;0.37;0.467;0.167;0.846;0.5;1.0;0.423;0.421;0.467;0.423;0.32;0.231;0.083;0.417;0.308;0.5;0.25
ENSMUST00000070782_90_90;0.643;0.679;0.429;0.679;0.786;0.786;0.4;0.08;0.37;0.24;0.423;1.0;0.481;0.4;1.0;0.769;0.16;0.04;0.2;0.808;0.36;0.12
ENSMUST00000099145_90_90;0.565;0.542;0.875;0.542;0.429;0.429;0.667;0.133;0.421;0.4;0.421;0.481;1.0;0.667;0.481;0.636;0.267;0.067;0.333;0.609;0.6;0.2
ENSMUST00000109566_90_90;0.476;0.455;0.667;0.455;0.4;0.4;1.0;0.2;0.467;0.6;0.467;0.4;0.667;1.0;0.4;0.476;0.4;0.1;0.5;0.455;0.9;0.3
ENSMUST00000109567_90_90;0.643;0.679;0.429;0.679;0.786;0.786;0.4;0.08;0.37;0.24;0.423;1.0;0.481;0.4;1.0;0.769;0.16;0.04;0.2;0.808;0.36;0.12
ENSMUST00000109568_90_90;0.75;0.792;0.565;0.792;0.643;0.643;0.476;0.095;0.32;0.286;0.32;0.769;0.636;0.476;0.769;1.0;0.19;0.048;0.238;0.955;0.429;0.143
ENSMUST00000131157_90_90;0.19;0.182;0.267;0.182;0.16;0.16;0.4;0.0;0.231;0.25;0.231;0.16;0.267;0.4;0.16;0.19;1.0;0.0;0.125;0.182;0.444;0.0
ENSMUST00000137356_90_90;0.048;0.045;0.067;0.045;0.04;0.04;0.1;0.5;0.083;0.167;0.083;0.04;0.067;0.1;0.04;0.048;0.0;1.0;0.2;0.045;0.111;0.333
ENSMUST00000146412_90_90;0.238;0.227;0.333;0.227;0.2;0.2;0.5;0.4;0.417;0.833;0.417;0.2;0.333;0.5;0.2;0.238;0.125;0.2;1.0;0.227;0.556;0.6
ENSMUST00000169464_90_90;0.792;0.833;0.542;0.833;0.679;0.679;0.455;0.091;0.308;0.273;0.308;0.808;0.609;0.455;0.808;0.955;0.182;0.045;0.227;1.0;0.409;0.136
ENSMUST00000171030_90_90;0.429;0.409;0.6;0.409;0.36;0.36;0.9;0.222;0.5;0.667;0.5;0.36;0.6;0.9;0.36;0.429;0.444;0.111;0.556;0.409;1.0;0.333
ENSMUST00000177013_90_90;0.143;0.136;0.2;0.136;0.12;0.12;0.3;0.667;0.25;0.5;0.25;0.12;0.2;0.3;0.12;0.143;0.0;0.333;0.6;0.136;0.333;1.0
