;ENSCAFT00000029427_90_90;ENST00000361219_90_90;ENST00000370990_90_90;ENST00000370994_90_90;ENST00000370995_90_90;ENSMUST00000042990_90_90;ENSMUST00000203077_90_90;ENSMUST00000203233_90_90;ENSMUST00000203436_90_90;ENSMUST00000204034_90_90;ENSMUST00000204135_90_90;ENSMUST00000204293_90_90;ENSMUST00000204294_90_90;ENSMUST00000205091_90_90;ENSMUST00000205106_90_90
ENSCAFT00000029427_90_90;1.0;0.887;0.962;0.849;1.0;0.968;0.887;0.347;0.929;0.508;0.154;0.849;0.447;0.305;0.757
ENST00000361219_90_90;0.887;1.0;0.857;0.957;0.893;0.915;1.0;0.39;0.875;0.447;0.172;0.954;0.5;0.342;0.846
ENST00000370990_90_90;0.962;0.857;1.0;0.887;0.963;0.929;0.849;0.36;0.966;0.53;0.159;0.881;0.463;0.317;0.785
ENST00000370994_90_90;0.849;0.957;0.887;1.0;0.857;0.875;0.954;0.409;0.91;0.467;0.18;1.0;0.524;0.357;0.885
ENST00000370995_90_90;1.0;0.893;0.963;0.857;1.0;0.968;0.887;0.347;0.929;0.508;0.154;0.849;0.447;0.305;0.757
ENSMUST00000042990_90_90;0.968;0.915;0.929;0.875;0.968;1.0;0.887;0.347;0.962;0.476;0.154;0.849;0.447;0.305;0.757
ENSMUST00000203077_90_90;0.887;1.0;0.849;0.954;0.887;0.887;1.0;0.39;0.849;0.418;0.172;0.954;0.5;0.342;0.846
ENSMUST00000203233_90_90;0.347;0.39;0.36;0.409;0.347;0.347;0.39;1.0;0.36;0.308;0.44;0.409;0.626;0.714;0.464
ENSMUST00000203436_90_90;0.929;0.875;0.966;0.91;0.929;0.962;0.849;0.36;1.0;0.494;0.159;0.881;0.463;0.317;0.785
ENSMUST00000204034_90_90;0.508;0.447;0.53;0.467;0.508;0.476;0.418;0.308;0.494;1.0;0.217;0.434;0.351;0.321;0.342
ENSMUST00000204135_90_90;0.154;0.172;0.159;0.18;0.154;0.154;0.172;0.44;0.159;0.217;1.0;0.18;0.227;0.32;0.203
ENSMUST00000204293_90_90;0.849;0.954;0.881;1.0;0.849;0.849;0.954;0.409;0.881;0.434;0.18;1.0;0.524;0.357;0.885
ENSMUST00000204294_90_90;0.447;0.5;0.463;0.524;0.447;0.447;0.5;0.626;0.463;0.351;0.227;0.524;1.0;0.556;0.591
ENSMUST00000205091_90_90;0.305;0.342;0.317;0.357;0.305;0.305;0.342;0.714;0.317;0.321;0.32;0.357;0.556;1.0;0.337
ENSMUST00000205106_90_90;0.757;0.846;0.785;0.885;0.757;0.757;0.846;0.464;0.785;0.342;0.203;0.885;0.591;0.337;1.0
