;ENSCAFT00000022211_90_90;ENST00000324778_90_90;ENST00000367632_90_90;ENST00000367634_90_90;ENST00000367635_90_90;ENST00000415888_90_90;ENSMUST00000027886_90_90;ENSMUST00000063199_90_90;ENSMUST00000171292_90_90;ENSMUST00000172057_90_90;ENSMUST00000185198_90_90;ENSMUST00000188656_90_90;ENSMUST00000189316_90_90;ENSMUST00000189648_90_90;ENSMUST00000190648_90_90;ENSMUST00000190762_90_90;ENSMUST00000191605_90_90;ENSMUST00000192343_90_90
ENSCAFT00000022211_90_90;1.0;0.333;0.333;0.944;1.0;0.167;0.833;0.833;0.833;0.75;0.833;0.75;1.0;0.25;0.75;0.417;0.833;0.333
ENST00000324778_90_90;0.333;1.0;0.0;0.3;0.273;0.083;0.429;0.429;0.429;0.462;0.429;0.462;0.375;0.286;0.462;0.571;0.429;0.429
ENST00000367632_90_90;0.333;0.0;1.0;0.35;0.318;0.0;0.062;0.062;0.062;0.067;0.062;0.0;0.188;0.0;0.0;0.0;0.062;0.0
ENST00000367634_90_90;0.944;0.3;0.35;1.0;0.909;0.174;0.688;0.688;0.688;0.625;0.688;0.625;0.812;0.231;0.625;0.385;0.688;0.308
ENST00000367635_90_90;1.0;0.273;0.318;0.909;1.0;0.16;0.688;0.688;0.688;0.625;0.688;0.625;0.812;0.231;0.625;0.385;0.688;0.308
ENST00000415888_90_90;0.167;0.083;0.0;0.174;0.16;1.0;0.5;0.5;0.5;0.538;0.5;0.538;0.438;0.0;0.538;0.0;0.5;0.0
ENSMUST00000027886_90_90;0.833;0.429;0.062;0.688;0.688;0.5;1.0;0.955;0.955;0.909;0.87;0.783;0.731;0.143;0.818;0.238;0.955;0.182
ENSMUST00000063199_90_90;0.833;0.429;0.062;0.688;0.688;0.5;0.955;1.0;1.0;0.955;0.913;0.826;0.769;0.136;0.783;0.227;1.0;0.174
ENSMUST00000171292_90_90;0.833;0.429;0.062;0.688;0.688;0.5;0.955;1.0;1.0;0.955;0.913;0.826;0.769;0.136;0.783;0.227;1.0;0.174
ENSMUST00000172057_90_90;0.75;0.462;0.067;0.625;0.625;0.538;0.909;0.955;0.955;1.0;0.87;0.783;0.731;0.091;0.739;0.182;0.955;0.13
ENSMUST00000185198_90_90;0.833;0.429;0.062;0.688;0.688;0.5;0.87;0.913;0.913;0.87;1.0;0.826;0.769;0.136;0.783;0.227;0.913;0.174
ENSMUST00000188656_90_90;0.75;0.462;0.0;0.625;0.625;0.538;0.783;0.826;0.826;0.783;0.826;1.0;0.76;0.15;0.95;0.25;0.826;0.19
ENSMUST00000189316_90_90;1.0;0.375;0.188;0.812;0.812;0.438;0.731;0.769;0.769;0.731;0.769;0.76;1.0;0.125;0.72;0.208;0.769;0.16
ENSMUST00000189648_90_90;0.25;0.286;0.0;0.231;0.231;0.0;0.143;0.136;0.136;0.091;0.136;0.15;0.125;1.0;0.158;0.6;0.136;0.6
ENSMUST00000190648_90_90;0.75;0.462;0.0;0.625;0.625;0.538;0.818;0.783;0.783;0.739;0.783;0.95;0.72;0.158;1.0;0.263;0.783;0.2
ENSMUST00000190762_90_90;0.417;0.571;0.0;0.385;0.385;0.0;0.238;0.227;0.227;0.182;0.227;0.25;0.208;0.6;0.263;1.0;0.227;0.667
ENSMUST00000191605_90_90;0.833;0.429;0.062;0.688;0.688;0.5;0.955;1.0;1.0;0.955;0.913;0.826;0.769;0.136;0.783;0.227;1.0;0.174
ENSMUST00000192343_90_90;0.333;0.429;0.0;0.308;0.308;0.0;0.182;0.174;0.174;0.13;0.174;0.19;0.16;0.6;0.2;0.667;0.174;1.0
