;ENSCAFT00000012435_90_90;ENST00000278422_90_90;ENST00000378312_90_90;ENST00000524972_90_90;ENST00000525035_90_90;ENST00000528110_90_90;ENST00000529403_90_90;ENST00000530114_90_90;ENST00000533602_90_90;ENSMUST00000053664_90_90;ENSMUST00000111664_90_90;ENSMUST00000111665_90_90;ENSMUST00000152149_90_90
ENSCAFT00000012435_90_90;1.0;0.75;0.625;0.2;0.25;0.2;0.25;0.2;0.125;0.929;0.786;0.929;0.071
ENST00000278422_90_90;0.75;1.0;0.857;0.286;0.25;0.286;0.25;0.286;0.2;0.688;0.562;0.688;0.071
ENST00000378312_90_90;0.625;0.857;1.0;0.333;0.2;0.333;0.2;0.333;0.231;0.562;0.643;0.562;0.083
ENST00000524972_90_90;0.2;0.286;0.333;1.0;0.429;1.0;0.429;0.6;0.6;0.214;0.25;0.214;0.25
ENST00000525035_90_90;0.25;0.25;0.2;0.429;1.0;0.429;1.0;0.429;0.429;0.267;0.214;0.267;0.167
ENST00000528110_90_90;0.2;0.286;0.333;1.0;0.429;1.0;0.429;0.6;0.6;0.214;0.25;0.214;0.25
ENST00000529403_90_90;0.25;0.25;0.2;0.429;1.0;0.429;1.0;0.429;0.429;0.267;0.214;0.267;0.167
ENST00000530114_90_90;0.2;0.286;0.333;0.6;0.429;0.6;0.429;1.0;0.6;0.214;0.25;0.214;0.25
ENST00000533602_90_90;0.125;0.2;0.231;0.6;0.429;0.6;0.429;0.6;1.0;0.133;0.154;0.133;0.25
ENSMUST00000053664_90_90;0.929;0.688;0.562;0.214;0.267;0.214;0.267;0.214;0.133;1.0;0.846;1.0;0.077
ENSMUST00000111664_90_90;0.786;0.562;0.643;0.25;0.214;0.25;0.214;0.25;0.154;0.846;1.0;0.846;0.091
ENSMUST00000111665_90_90;0.929;0.688;0.562;0.214;0.267;0.214;0.267;0.214;0.133;1.0;0.846;1.0;0.077
ENSMUST00000152149_90_90;0.071;0.071;0.083;0.25;0.167;0.25;0.167;0.25;0.25;0.077;0.091;0.077;1.0
