;ENSCAFT00000020949_90_90;ENST00000258909_90_90;ENST00000322019_90_90;ENST00000379384_90_90;ENST00000379390_90_90;ENST00000561551_90_90;ENST00000565774_90_90;ENST00000565982_90_90;ENSMUST00000041890_90_90;ENSMUST00000119543_90_90;ENSMUST00000126334_90_90
ENSCAFT00000020949_90_90;1.0;0.026;0.243;0.0;0.053;0.068;0.192;0.072;0.248;0.278;0.0
ENST00000258909_90_90;0.026;1.0;0.392;0.913;0.771;0.0;0.428;0.155;0.29;0.146;0.517
ENST00000322019_90_90;0.243;0.392;1.0;0.358;0.508;0.066;0.916;0.45;0.861;0.754;0.331
ENST00000379384_90_90;0.0;0.913;0.358;1.0;0.704;0.0;0.391;0.162;0.259;0.113;0.551
ENST00000379390_90_90;0.053;0.771;0.508;0.704;1.0;0.06;0.555;0.243;0.399;0.262;0.424
ENST00000561551_90_90;0.068;0.0;0.066;0.0;0.06;1.0;0.072;0.0;0.067;0.087;0.0
ENST00000565774_90_90;0.192;0.428;0.916;0.391;0.555;0.072;1.0;0.402;0.783;0.67;0.359
ENST00000565982_90_90;0.072;0.155;0.45;0.162;0.243;0.0;0.402;1.0;0.458;0.596;0.279
ENSMUST00000041890_90_90;0.248;0.29;0.861;0.259;0.399;0.067;0.783;0.458;1.0;0.754;0.435
ENSMUST00000119543_90_90;0.278;0.146;0.754;0.113;0.262;0.087;0.67;0.596;0.754;1.0;0.189
ENSMUST00000126334_90_90;0.0;0.517;0.331;0.551;0.424;0.0;0.359;0.279;0.435;0.189;1.0
