;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript26_ENSMSIG00000000513;transcript26_MGP-PahariEiJ-G0020237;transcript41_ENSMSIG00000000513;transcript41_MGP-SPRETEiJ-G0021131;transcript43_ENSMSIG00000000513;transcript43_MGP-CAROLIEiJ-G0020234;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript22_MGP-CAROLIEiJ-G0020234;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013592;transcript33_MGP-CAROLIEiJ-G0020234;transcript33_ENSRNOG00000031503;transcript33_ENSMUGG00000013592;transcript42_MGP-CAROLIEiJ-G0020234;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript7_ENSMSIG00000000513;1.0;0.561;0.493;0.49;0.828;0.768;0.828;0.37;0.713;0.493;0.713;0.503;0.5;0.489;0.5;0.475;0.336;0.425;0.291;0.358;0.328;0.317;0.336;0.467;0.463;0.479;0.463;0.467;0.467;0.493;0.493
transcript7_ENSMUSG00000054036;0.561;1.0;0.389;0.383;0.571;0.589;0.571;0.297;0.5;0.389;0.5;0.397;0.329;0.325;0.335;0.322;0.263;0.253;0.255;0.216;0.227;0.207;0.263;0.318;0.326;0.319;0.326;0.326;0.326;0.329;0.329
transcript26_ENSMSIG00000000513;0.493;0.389;1.0;1.0;0.596;0.521;0.596;0.404;0.692;1.0;0.692;0.979;1.0;1.0;1.0;0.986;0.752;0.868;0.692;0.667;0.728;0.616;0.752;0.993;1.0;0.986;1.0;0.993;0.993;1.0;1.0
transcript26_MGP-PahariEiJ-G0020237;0.49;0.383;1.0;1.0;0.594;0.518;0.594;0.391;0.692;1.0;0.692;0.979;1.0;1.0;1.0;0.986;0.746;0.865;0.685;0.659;0.722;0.608;0.746;0.992;1.0;0.986;1.0;0.992;0.992;1.0;1.0
transcript41_ENSMSIG00000000513;0.828;0.571;0.596;0.594;1.0;0.86;1.0;0.33;0.861;0.596;0.861;0.608;0.606;0.596;0.604;0.582;0.348;0.474;0.297;0.338;0.331;0.292;0.348;0.578;0.574;0.582;0.574;0.578;0.578;0.596;0.596
transcript41_MGP-SPRETEiJ-G0021131;0.768;0.589;0.521;0.518;0.86;1.0;0.86;0.273;0.747;0.521;0.747;0.532;0.383;0.387;0.39;0.377;0.201;0.296;0.164;0.225;0.183;0.187;0.201;0.38;0.388;0.374;0.388;0.388;0.388;0.383;0.383
transcript43_ENSMSIG00000000513;0.828;0.571;0.596;0.594;1.0;0.86;1.0;0.33;0.861;0.596;0.861;0.608;0.606;0.596;0.604;0.582;0.348;0.474;0.297;0.338;0.331;0.292;0.348;0.578;0.574;0.582;0.574;0.578;0.578;0.596;0.596
transcript43_MGP-CAROLIEiJ-G0020234;0.37;0.297;0.404;0.391;0.33;0.273;0.33;1.0;0.328;0.404;0.328;0.413;0.368;0.37;0.374;0.376;0.456;0.392;0.454;0.542;0.438;0.54;0.456;0.337;0.348;0.362;0.348;0.348;0.348;0.372;0.372
transcript46_ENSMSIG00000000513;0.713;0.5;0.692;0.692;0.861;0.747;0.861;0.328;1.0;0.692;1.0;0.671;0.697;0.688;0.694;0.674;0.44;0.567;0.384;0.436;0.425;0.384;0.44;0.669;0.676;0.678;0.676;0.669;0.669;0.692;0.692
transcript47_ENSMSIG00000000513;0.493;0.389;1.0;1.0;0.596;0.521;0.596;0.404;0.692;1.0;0.692;0.979;1.0;1.0;1.0;0.986;0.752;0.868;0.692;0.667;0.728;0.616;0.752;0.993;1.0;0.986;1.0;0.993;0.993;1.0;1.0
transcript48_ENSMSIG00000000513;0.713;0.5;0.692;0.692;0.861;0.747;0.861;0.328;1.0;0.692;1.0;0.671;0.697;0.688;0.694;0.674;0.44;0.567;0.384;0.436;0.425;0.384;0.44;0.669;0.676;0.678;0.676;0.669;0.669;0.692;0.692
transcript49_ENSMSIG00000000513;0.503;0.397;0.979;0.979;0.608;0.532;0.608;0.413;0.671;0.979;0.671;1.0;0.979;0.979;0.979;0.965;0.73;0.846;0.671;0.645;0.706;0.596;0.73;0.971;0.978;0.966;0.978;0.971;0.971;0.979;0.979
transcript22_MGP-SPRETEiJ-G0021131;0.5;0.329;1.0;1.0;0.606;0.383;0.606;0.368;0.697;1.0;0.697;0.979;1.0;1.0;1.0;0.99;0.814;0.777;0.78;0.681;0.676;0.654;0.814;0.926;1.0;0.991;1.0;1.0;1.0;1.0;1.0
transcript22_MGP-CAROLIEiJ-G0020234;0.489;0.325;1.0;1.0;0.596;0.387;0.596;0.37;0.688;1.0;0.688;0.979;1.0;1.0;1.0;0.986;0.812;0.79;0.773;0.683;0.685;0.647;0.812;0.945;1.0;0.99;1.0;1.0;1.0;1.0;1.0
transcript36_ENSMUSG00000054036;0.5;0.335;1.0;1.0;0.604;0.39;0.604;0.374;0.694;1.0;0.694;0.979;1.0;1.0;1.0;0.99;0.816;0.786;0.779;0.684;0.684;0.657;0.816;0.936;1.0;0.991;1.0;1.0;1.0;1.0;1.0
transcript8_MGP-CAROLIEiJ-G0020234;0.475;0.322;0.986;0.986;0.582;0.377;0.582;0.376;0.674;0.986;0.674;0.965;0.99;0.986;0.99;1.0;0.824;0.779;0.78;0.693;0.693;0.654;0.824;0.934;0.989;0.981;0.989;0.989;0.989;0.99;0.99
transcript32_MGP-CAROLIEiJ-G0020234;0.336;0.263;0.752;0.746;0.348;0.201;0.348;0.456;0.44;0.752;0.44;0.73;0.814;0.812;0.816;0.824;1.0;0.723;0.947;0.84;0.78;0.793;1.0;0.735;0.79;0.807;0.79;0.79;0.79;0.816;0.816
transcript32_ENSRNOG00000031503;0.425;0.253;0.868;0.865;0.474;0.296;0.474;0.392;0.567;0.868;0.567;0.846;0.777;0.79;0.786;0.779;0.723;1.0;0.694;0.66;0.872;0.642;0.723;0.842;0.756;0.751;0.772;0.776;0.776;0.756;0.756
transcript32_ENSMUGG00000013592;0.291;0.255;0.692;0.685;0.297;0.164;0.297;0.454;0.384;0.692;0.384;0.671;0.78;0.773;0.779;0.78;0.947;0.694;1.0;0.798;0.779;0.841;0.947;0.681;0.731;0.74;0.746;0.75;0.75;0.749;0.749
transcript33_MGP-CAROLIEiJ-G0020234;0.358;0.216;0.667;0.659;0.338;0.225;0.338;0.542;0.436;0.667;0.436;0.645;0.681;0.683;0.684;0.693;0.84;0.66;0.798;1.0;0.727;0.944;0.84;0.586;0.641;0.676;0.641;0.641;0.641;0.686;0.686
transcript33_ENSRNOG00000031503;0.328;0.227;0.728;0.722;0.331;0.183;0.331;0.438;0.425;0.728;0.425;0.706;0.676;0.685;0.684;0.693;0.78;0.872;0.779;0.727;1.0;0.727;0.78;0.734;0.66;0.655;0.674;0.677;0.677;0.66;0.66
transcript33_ENSMUGG00000013592;0.317;0.207;0.616;0.608;0.292;0.187;0.292;0.54;0.384;0.616;0.384;0.596;0.654;0.647;0.657;0.654;0.793;0.642;0.841;0.944;0.727;1.0;0.793;0.547;0.594;0.621;0.606;0.609;0.609;0.63;0.63
