;ENSCAFT00000029482_90_90;ENST00000237247_90_90;ENST00000371037_90_90;ENST00000371039_90_90;ENST00000424320_90_90;ENST00000435165_90_90;ENSMUST00000066824_90_90;ENSMUST00000072481_90_90;ENSMUST00000080728_90_90;ENSMUST00000106882_90_90;ENSMUST00000149547_90_90;ENSMUST00000156596_90_90;ENSMUST00000183855_90_90
ENSCAFT00000029482_90_90;1.0;0.941;0.931;0.663;0.339;0.252;0.766;0.728;0.934;0.972;0.597;0.095;0.298
ENST00000237247_90_90;0.941;1.0;0.84;0.615;0.268;0.21;0.752;0.714;0.92;0.959;0.584;0.1;0.258
ENST00000371037_90_90;0.931;0.84;1.0;0.649;0.361;0.22;0.84;0.798;0.907;0.946;0.589;0.102;0.28
ENST00000371039_90_90;0.663;0.615;0.649;1.0;0.374;0.236;0.821;0.859;0.682;0.658;0.759;0.133;0.292
ENST00000424320_90_90;0.339;0.268;0.361;0.374;1.0;0.0;0.464;0.488;0.383;0.367;0.244;0.261;0.693
ENST00000435165_90_90;0.252;0.21;0.22;0.236;0.0;1.0;0.294;0.247;0.197;0.234;0.391;0.0;0.0
ENSMUST00000066824_90_90;0.766;0.752;0.84;0.821;0.464;0.294;1.0;0.954;0.762;0.799;0.712;0.116;0.318
ENSMUST00000072481_90_90;0.728;0.714;0.798;0.859;0.488;0.247;0.954;1.0;0.791;0.762;0.669;0.121;0.334
ENSMUST00000080728_90_90;0.934;0.92;0.907;0.682;0.383;0.197;0.762;0.791;1.0;0.963;0.541;0.096;0.3
ENSMUST00000106882_90_90;0.972;0.959;0.946;0.658;0.367;0.234;0.799;0.762;0.963;1.0;0.576;0.092;0.289
ENSMUST00000149547_90_90;0.597;0.584;0.589;0.759;0.244;0.391;0.712;0.669;0.541;0.576;1.0;0.0;0.121
ENSMUST00000156596_90_90;0.095;0.1;0.102;0.133;0.261;0.0;0.116;0.121;0.096;0.092;0.0;1.0;0.33
ENSMUST00000183855_90_90;0.298;0.258;0.28;0.292;0.693;0.0;0.318;0.334;0.3;0.289;0.121;0.33;1.0
