;ENSCAFT00000023019_90_90;ENST00000221222_90_90;ENST00000392351_90_90;ENST00000433218_90_90;ENST00000539827_90_90;ENST00000542541_90_90;ENST00000594439_90_90;ENST00000594794_90_90;ENST00000596482_90_90;ENST00000599097_90_90;ENST00000600077_90_90;ENSMUST00000003669_90_90;ENSMUST00000087467_90_90;ENSMUST00000110124_90_90;ENSMUST00000135368_90_90;ENSMUST00000140212_90_90
ENSCAFT00000023019_90_90;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.422;0.28;0.422;0.068;0.427
ENST00000221222_90_90;0.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0
ENST00000392351_90_90;0.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0
ENST00000433218_90_90;0.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0
ENST00000539827_90_90;0.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0
ENST00000542541_90_90;0.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0
ENST00000594439_90_90;0.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0
ENST00000594794_90_90;0.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0
ENST00000596482_90_90;0.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0
ENST00000599097_90_90;0.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0
ENST00000600077_90_90;0.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0
ENSMUST00000003669_90_90;0.422;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
ENSMUST00000087467_90_90;0.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
ENSMUST00000110124_90_90;0.422;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
ENSMUST00000135368_90_90;0.068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
ENSMUST00000140212_90_90;0.427;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
