;transcript9_ENSMUNG00000007775;transcript21_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript25_ENSMUNG00000007775;transcript26_ENSMUNG00000007775;transcript30_ENSMUNG00000007775;transcript31_ENSMUNG00000007775;transcript32_ENSMUNG00000007775;transcript33_ENSMUNG00000007775;transcript9_ENSMUNG00000002377;transcript13_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript35_ENSMUNG00000002377;transcript36_ENSMUNG00000002377;transcript37_ENSMUNG00000002377;transcript38_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript23_ENSMUNG00000002391;transcript30_ENSMUNG00000002391;transcript33_ENSMUNG00000002391
transcript9_ENSMUNG00000007775;1.0;0.948;0.931;0.88;0.917;0.578;1.0;0.95;1.0;0.966;0.921;0.925;0.877;0.859;0.681;0.895;0.869;0.946;0.93;0.578;0.999
transcript21_ENSMUNG00000007775;0.948;1.0;0.984;0.932;0.969;0.631;0.948;0.97;0.948;0.918;0.976;0.981;0.931;0.914;0.738;0.952;0.925;0.998;0.982;0.631;0.947
transcript23_ENSMUNG00000007775;0.931;0.984;1.0;0.916;0.985;0.639;0.931;0.954;0.931;0.921;0.979;0.984;0.934;0.916;0.74;0.955;0.928;0.982;0.986;0.639;0.93
transcript25_ENSMUNG00000007775;0.88;0.932;0.916;1.0;0.902;0.564;0.88;0.903;0.88;0.849;0.909;0.912;0.864;0.847;0.668;0.883;0.857;0.931;0.915;0.564;0.879
transcript26_ENSMUNG00000007775;0.917;0.969;0.985;0.902;1.0;0.646;0.917;0.94;0.917;0.903;0.961;0.966;0.916;0.899;0.723;0.937;0.91;0.968;0.984;0.646;0.915
transcript30_ENSMUNG00000007775;0.578;0.631;0.639;0.564;0.646;1.0;0.578;0.609;0.578;0.561;0.622;0.625;0.577;0.559;0.706;0.596;0.593;0.629;0.638;0.967;0.577
transcript31_ENSMUNG00000007775;1.0;0.948;0.931;0.88;0.917;0.578;1.0;0.95;1.0;0.966;0.921;0.925;0.877;0.859;0.681;0.895;0.869;0.946;0.93;0.578;0.999
transcript32_ENSMUNG00000007775;0.95;0.97;0.954;0.903;0.94;0.609;0.95;1.0;0.95;0.935;0.958;0.962;0.913;0.895;0.719;0.933;0.906;0.982;0.966;0.614;0.962
transcript33_ENSMUNG00000007775;1.0;0.948;0.931;0.88;0.917;0.578;1.0;0.95;1.0;0.966;0.921;0.925;0.877;0.859;0.681;0.895;0.869;0.946;0.93;0.578;0.999
transcript9_ENSMUNG00000002377;0.966;0.918;0.921;0.849;0.903;0.561;0.966;0.935;0.966;1.0;0.899;0.936;0.879;0.861;0.688;0.907;0.879;0.909;0.911;0.561;0.964
transcript13_ENSMUNG00000002377;0.921;0.976;0.979;0.909;0.961;0.622;0.921;0.958;0.921;0.899;1.0;0.96;0.955;0.938;0.724;0.931;0.906;0.975;0.962;0.619;0.912
transcript23_ENSMUNG00000002377;0.925;0.981;0.984;0.912;0.966;0.625;0.925;0.962;0.925;0.936;0.96;1.0;0.915;0.898;0.752;0.97;0.944;0.972;0.974;0.625;0.924
transcript27_ENSMUNG00000002377;0.877;0.931;0.934;0.864;0.916;0.577;0.877;0.913;0.877;0.879;0.955;0.915;1.0;0.982;0.678;0.887;0.861;0.931;0.917;0.574;0.868
transcript35_ENSMUNG00000002377;0.859;0.914;0.916;0.847;0.899;0.559;0.859;0.895;0.859;0.861;0.938;0.898;0.982;1.0;0.661;0.869;0.844;0.913;0.899;0.556;0.851
transcript36_ENSMUNG00000002377;0.681;0.738;0.74;0.668;0.723;0.706;0.681;0.719;0.681;0.688;0.724;0.752;0.678;0.661;1.0;0.772;0.792;0.732;0.73;0.706;0.681
transcript37_ENSMUNG00000002377;0.895;0.952;0.955;0.883;0.937;0.596;0.895;0.933;0.895;0.907;0.931;0.97;0.887;0.869;0.772;1.0;0.972;0.943;0.945;0.608;0.895
transcript38_ENSMUNG00000002377;0.869;0.925;0.928;0.857;0.91;0.593;0.869;0.906;0.869;0.879;0.906;0.944;0.861;0.844;0.792;0.972;1.0;0.917;0.918;0.593;0.869
transcript10_ENSMUNG00000002391;0.946;0.998;0.982;0.931;0.968;0.629;0.946;0.982;0.946;0.909;0.975;0.972;0.931;0.913;0.732;0.943;0.917;1.0;0.965;0.617;0.929
transcript23_ENSMUNG00000002391;0.93;0.982;0.986;0.915;0.984;0.638;0.93;0.966;0.93;0.911;0.962;0.974;0.917;0.899;0.73;0.945;0.918;0.965;1.0;0.633;0.931
transcript30_ENSMUNG00000002391;0.578;0.631;0.639;0.564;0.646;0.967;0.578;0.614;0.578;0.561;0.619;0.625;0.574;0.556;0.706;0.608;0.593;0.617;0.633;1.0;0.572
transcript33_ENSMUNG00000002391;0.999;0.947;0.93;0.879;0.915;0.577;0.999;0.962;0.999;0.964;0.912;0.924;0.868;0.851;0.681;0.895;0.869;0.929;0.931;0.572;1.0
