;transcript7_ENSMSIG00000000513;transcript50_ENSMSIG00000000513;transcript55_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript64_ENSMSIG00000000513;transcript67_ENSMSIG00000000513;transcript7_MGP-SPRETEiJ-G0021131;transcript59_MGP-SPRETEiJ-G0021131;transcript61_MGP-SPRETEiJ-G0021131;transcript62_MGP-SPRETEiJ-G0021131;transcript69_MGP-SPRETEiJ-G0021131;transcript70_MGP-SPRETEiJ-G0021131;transcript71_MGP-SPRETEiJ-G0021131;transcript72_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript50_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript60_MGP-CAROLIEiJ-G0020234;transcript61_MGP-CAROLIEiJ-G0020234;transcript50_MGP-PahariEiJ-G0020237;transcript57_MGP-PahariEiJ-G0020237
transcript7_ENSMSIG00000000513;1.0;0.976;0.988;0.929;0.905;0.965;0.642;0.651;0.651;0.651;0.632;0.642;0.632;0.632;0.627;0.636;0.647;0.618;0.598;0.608;0.748;0.748
transcript50_ENSMSIG00000000513;0.976;1.0;0.988;0.929;0.906;0.988;0.63;0.639;0.639;0.639;0.62;0.63;0.62;0.62;0.645;0.655;0.667;0.637;0.618;0.627;0.766;0.766
transcript55_ENSMSIG00000000513;0.988;0.988;1.0;0.94;0.917;0.976;0.636;0.645;0.645;0.645;0.626;0.636;0.626;0.626;0.636;0.645;0.657;0.627;0.608;0.618;0.757;0.757
transcript60_ENSMSIG00000000513;0.929;0.929;0.94;1.0;0.975;0.918;0.619;0.629;0.629;0.629;0.61;0.619;0.61;0.61;0.606;0.615;0.624;0.594;0.574;0.584;0.712;0.712
transcript64_ENSMSIG00000000513;0.905;0.906;0.917;0.975;1.0;0.894;0.6;0.61;0.61;0.61;0.59;0.6;0.59;0.59;0.602;0.596;0.604;0.574;0.586;0.564;0.694;0.694
transcript67_ENSMSIG00000000513;0.965;0.988;0.976;0.918;0.894;1.0;0.62;0.63;0.63;0.63;0.626;0.62;0.611;0.611;0.636;0.645;0.657;0.627;0.608;0.618;0.757;0.757
transcript7_MGP-SPRETEiJ-G0021131;0.642;0.63;0.636;0.619;0.6;0.62;1.0;0.989;0.989;0.989;0.967;0.978;0.967;0.989;0.764;0.774;0.63;0.602;0.583;0.593;0.82;0.82
transcript59_MGP-SPRETEiJ-G0021131;0.651;0.639;0.645;0.629;0.61;0.63;0.989;1.0;1.0;1.0;0.978;0.989;0.978;0.978;0.774;0.783;0.639;0.611;0.593;0.602;0.829;0.829
transcript61_MGP-SPRETEiJ-G0021131;0.651;0.639;0.645;0.629;0.61;0.63;0.989;1.0;1.0;1.0;0.978;0.989;0.978;0.978;0.774;0.783;0.639;0.611;0.593;0.602;0.829;0.829
transcript62_MGP-SPRETEiJ-G0021131;0.651;0.639;0.645;0.629;0.61;0.63;0.989;1.0;1.0;1.0;0.978;0.989;0.978;0.978;0.774;0.783;0.639;0.611;0.593;0.602;0.829;0.829
