;ENSCAFT00000000383_90_90;ENSCAFT00000035671_90_90;ENST00000353331_90_90;ENST00000392348_90_90;ENST00000527536_90_90;ENST00000527613_90_90;ENST00000527759_90_90;ENST00000529826_90_90;ENST00000530429_90_90;ENST00000530767_90_90;ENST00000531224_90_90;ENST00000532384_90_90;ENST00000533422_90_90;ENST00000533621_90_90;ENST00000534269_90_90;ENST00000534762_90_90;ENST00000628517_90_90;ENST00000640069_90_90;ENSMUST00000043881_90_90;ENSMUST00000092678_90_90;ENSMUST00000185800_90_90;ENSMUST00000186100_90_90;ENSMUST00000189158_90_90;ENSMUST00000190156_90_90;ENSMUST00000191438_90_90
ENSCAFT00000000383_90_90;1.0;0.918;0.87;0.87;0.885;0.758;0.91;0.721;0.743;0.804;0.925;0.758;0.127;0.181;0.449;0.189;0.758;0.682;0.911;0.871;0.897;0.754;0.024;0.74;0.619
ENSCAFT00000035671_90_90;0.918;1.0;0.798;0.798;0.812;0.712;0.837;0.674;0.697;0.732;0.851;0.712;0.113;0.164;0.405;0.175;0.712;0.637;0.839;0.798;0.824;0.707;0.025;0.692;0.581
ENST00000353331_90_90;0.87;0.798;1.0;1.0;0.984;0.785;0.958;0.775;0.797;0.818;0.942;0.785;0.137;0.197;0.482;0.153;0.785;0.706;0.869;0.907;0.882;0.73;0.026;0.74;0.667
ENST00000392348_90_90;0.87;0.798;1.0;1.0;0.984;0.785;0.958;0.775;0.797;0.818;0.942;0.785;0.137;0.197;0.482;0.153;0.785;0.706;0.869;0.907;0.882;0.73;0.026;0.74;0.667
ENST00000527536_90_90;0.885;0.812;0.984;0.984;1.0;0.801;0.942;0.791;0.785;0.834;0.958;0.801;0.135;0.193;0.475;0.15;0.801;0.721;0.885;0.923;0.869;0.744;0.025;0.73;0.656
ENST00000527613_90_90;0.758;0.712;0.785;0.785;0.801;1.0;0.752;0.911;0.98;0.647;0.768;1.0;0.0;0.221;0.543;0.046;1.0;0.826;0.705;0.735;0.691;0.928;0.029;0.909;0.476
ENST00000527759_90_90;0.91;0.837;0.958;0.958;0.942;0.752;1.0;0.742;0.764;0.86;0.984;0.752;0.131;0.19;0.462;0.196;0.752;0.676;0.91;0.869;0.923;0.699;0.025;0.709;0.639
ENST00000529826_90_90;0.721;0.674;0.775;0.775;0.791;0.911;0.742;1.0;0.891;0.634;0.758;0.911;0.0;0.248;0.595;0.026;0.911;0.864;0.692;0.722;0.676;0.841;0.032;0.823;0.455
ENST00000530429_90_90;0.743;0.697;0.797;0.797;0.785;0.98;0.764;0.891;1.0;0.631;0.752;0.98;0.0;0.226;0.553;0.048;0.98;0.807;0.691;0.72;0.699;0.909;0.03;0.925;0.483
ENST00000530767_90_90;0.804;0.732;0.818;0.818;0.834;0.647;0.86;0.634;0.631;1.0;0.875;0.647;0.149;0.178;0.521;0.222;0.647;0.571;0.803;0.762;0.788;0.593;0.028;0.579;0.506
