;ENSCAFT00000023220_90_90;ENST00000248450_90_90;ENST00000420660_90_90;ENST00000422731_90_90;ENST00000444053_90_90;ENST00000447885_90_90;ENSMUST00000006462_90_90;ENSMUST00000178235_90_90;ENSMUST00000187046_90_90;ENSMUST00000190008_90_90
ENSCAFT00000023220_90_90;1.0;0.923;0.846;0.385;0.923;0.385;1.0;1.0;0.214;0.357
ENST00000248450_90_90;0.923;1.0;0.632;0.312;0.933;0.357;0.929;0.867;0.231;0.235
ENST00000420660_90_90;0.846;0.632;1.0;0.263;0.684;0.294;0.579;0.632;0.188;0.5
ENST00000422731_90_90;0.385;0.312;0.263;1.0;0.294;0.0;0.357;0.333;0.143;0.0
ENST00000444053_90_90;0.923;0.933;0.684;0.294;1.0;0.333;0.867;0.933;0.214;0.222
ENST00000447885_90_90;0.385;0.357;0.294;0.0;0.333;1.0;0.357;0.333;0.333;0.3
ENSMUST00000006462_90_90;1.0;0.929;0.579;0.357;0.867;0.357;1.0;0.938;0.2;0.217
ENSMUST00000178235_90_90;1.0;0.867;0.632;0.333;0.933;0.333;0.938;1.0;0.188;0.208
ENSMUST00000187046_90_90;0.214;0.231;0.188;0.143;0.214;0.333;0.2;0.188;1.0;0.067
ENSMUST00000190008_90_90;0.357;0.235;0.5;0.0;0.222;0.3;0.217;0.208;0.067;1.0
