;ENSCAFT00000009605_90_90;ENST00000301244_90_90;ENST00000454580_90_90;ENST00000587090_90_90;ENST00000587334_90_90;ENST00000587516_90_90;ENST00000590510_90_90;ENST00000590738_90_90;ENST00000592007_90_90;ENSMUST00000098604_90_90;ENSMUST00000108236_90_90;ENSMUST00000207601_90_90
ENSCAFT00000009605_90_90;1.0;0.078;0.089;0.0;0.0;0.094;0.0;0.0;0.0;0.107;0.119;0.205
ENST00000301244_90_90;0.078;1.0;0.774;0.802;0.383;0.693;0.208;0.287;0.247;0.651;0.463;0.347
ENST00000454580_90_90;0.089;0.774;1.0;0.673;0.492;0.467;0.042;0.355;0.084;0.457;0.576;0.471
ENST00000587090_90_90;0.0;0.802;0.673;1.0;0.475;0.495;0.259;0.345;0.309;0.483;0.348;0.185
ENST00000587334_90_90;0.0;0.383;0.492;0.475;1.0;0.175;0.0;0.233;0.0;0.28;0.359;0.0
ENST00000587516_90_90;0.094;0.693;0.467;0.495;0.175;1.0;0.229;0.371;0.217;0.375;0.183;0.345
ENST00000590510_90_90;0.0;0.208;0.042;0.259;0.0;0.229;1.0;0.0;0.84;0.208;0.042;0.088
ENST00000590738_90_90;0.0;0.287;0.355;0.345;0.233;0.371;0.0;1.0;0.0;0.166;0.21;0.125
ENST00000592007_90_90;0.0;0.247;0.084;0.309;0.0;0.217;0.84;0.0;1.0;0.247;0.084;0.176
ENSMUST00000098604_90_90;0.107;0.651;0.457;0.483;0.28;0.375;0.208;0.166;0.247;1.0;0.774;0.207
ENSMUST00000108236_90_90;0.119;0.463;0.576;0.348;0.359;0.183;0.042;0.21;0.084;0.774;1.0;0.263
ENSMUST00000207601_90_90;0.205;0.347;0.471;0.185;0.0;0.345;0.088;0.125;0.176;0.207;0.263;1.0
