;transcript49_ENSCGRG00015005362;transcript44_ENSCGRG00000018457;transcript57_ENSCGRG00000018457;transcript58_ENSCGRG00000018457;transcript50_ENSCGRG00015005362;transcript50_ENSCGRG00000018457;transcript8_ENSCGRG00000018457;transcript45_ENSCGRG00000018457;transcript45_ENSCGRG00001010245;transcript22_ENSCGRG00001010245;transcript59_ENSCGRG00000018457;transcript60_ENSCGRG00000018457;transcript22_ENSSTOG00000019743;transcript22_ENSNGAG00000018584
transcript49_ENSCGRG00015005362;1.0;1.0;0.888;0.888;0.607;0.607;0.65;0.667;0.667;0.667;0.46;0.595;0.667;0.488
transcript44_ENSCGRG00000018457;1.0;1.0;0.888;0.888;0.607;0.607;0.65;0.667;0.667;0.667;0.46;0.595;0.667;0.488
transcript57_ENSCGRG00000018457;0.888;0.888;1.0;1.0;0.641;0.641;0.604;0.593;0.593;0.593;0.498;0.628;0.593;0.435
transcript58_ENSCGRG00000018457;0.888;0.888;1.0;1.0;0.641;0.641;0.604;0.593;0.593;0.593;0.498;0.628;0.593;0.435
transcript50_ENSCGRG00015005362;0.607;0.607;0.641;0.641;1.0;1.0;0.942;0.925;0.925;0.925;0.842;0.987;0.925;0.637
transcript50_ENSCGRG00000018457;0.607;0.607;0.641;0.641;1.0;1.0;0.942;0.925;0.925;0.925;0.842;0.987;0.925;0.637
transcript8_ENSCGRG00000018457;0.65;0.65;0.604;0.604;0.942;0.942;1.0;0.982;0.982;0.982;0.793;0.929;0.982;0.678
transcript45_ENSCGRG00000018457;0.667;0.667;0.593;0.593;0.925;0.925;0.982;1.0;1.0;1.0;0.78;0.913;1.0;0.682
transcript45_ENSCGRG00001010245;0.667;0.667;0.593;0.593;0.925;0.925;0.982;1.0;1.0;1.0;0.78;0.913;1.0;0.682
transcript22_ENSCGRG00001010245;0.667;0.667;0.593;0.593;0.925;0.925;0.982;1.0;1.0;1.0;0.78;0.913;1.0;0.682
transcript59_ENSCGRG00000018457;0.46;0.46;0.498;0.498;0.842;0.842;0.793;0.78;0.78;0.78;1.0;0.853;0.78;0.564
transcript60_ENSCGRG00000018457;0.595;0.595;0.628;0.628;0.987;0.987;0.929;0.913;0.913;0.913;0.853;1.0;0.913;0.625
transcript22_ENSSTOG00000019743;0.667;0.667;0.593;0.593;0.925;0.925;0.982;1.0;1.0;1.0;0.78;0.913;1.0;0.682
transcript22_ENSNGAG00000018584;0.488;0.488;0.435;0.435;0.637;0.637;0.678;0.682;0.682;0.682;0.564;0.625;0.682;1.0
