;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript17_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391;transcript22_ENSMUNG00000002391;transcript8_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript12_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript20_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript24_ENSAPOG00000023408;transcript0_ENSPNYG00000024266;transcript0_ENSXMAG00000026005
transcript10_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;1.0;0.546;0.949;0.875;0.994;0.994;0.994;0.994;0.886;0.953;0.69;0.844;0.846;0.653;0.788;0.664;0.672;0.653;0.714;0.519;0.649;0.877;0.877
transcript17_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;1.0;0.546;0.949;0.875;0.994;0.994;0.994;0.994;0.886;0.953;0.69;0.844;0.846;0.653;0.788;0.664;0.672;0.653;0.714;0.519;0.649;0.877;0.877
transcript20_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;1.0;0.546;0.949;0.875;0.994;0.994;0.994;0.994;0.886;0.953;0.69;0.844;0.846;0.653;0.788;0.664;0.672;0.653;0.714;0.519;0.649;0.877;0.877
transcript13_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;0.546;0.949;0.903;0.994;0.994;0.994;0.994;0.91;0.963;0.709;0.871;0.873;0.674;0.813;0.683;0.679;0.674;0.721;0.536;0.655;0.905;0.905
transcript17_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;0.546;0.949;0.903;0.994;0.994;0.994;0.994;0.91;0.963;0.709;0.871;0.873;0.674;0.813;0.683;0.679;0.674;0.721;0.536;0.655;0.905;0.905
transcript25_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;0.546;0.949;0.903;0.994;0.994;0.994;0.994;0.91;0.963;0.709;0.871;0.873;0.674;0.813;0.683;0.679;0.674;0.721;0.536;0.655;0.905;0.905
transcript26_ENSHGLG00000019563;0.546;0.546;0.546;0.546;0.546;0.546;1.0;0.479;0.483;0.54;0.54;0.54;0.54;0.488;0.52;0.26;0.449;0.45;0.225;0.383;0.228;0.195;0.225;0.243;0.068;0.199;0.487;0.487
transcript27_ENSHGLG00000019563;0.949;0.949;0.949;0.949;0.949;0.949;0.479;1.0;0.864;0.954;0.954;0.954;0.954;0.862;0.913;0.659;0.823;0.825;0.624;0.865;0.632;0.625;0.624;0.668;0.483;0.601;0.858;0.858
transcript0_ENSHGLG00100006079;0.875;0.875;0.875;0.903;0.903;0.903;0.483;0.864;1.0;0.774;0.774;0.774;0.774;0.978;0.923;0.826;0.967;0.969;0.817;0.931;0.804;0.721;0.817;0.751;0.711;0.704;0.993;0.993
transcript13_ENSHGLG00100006079;0.994;0.994;0.994;0.994;0.994;0.994;0.54;0.954;0.774;1.0;1.0;1.0;1.0;0.774;0.825;0.602;0.739;0.741;0.571;0.697;0.58;0.581;0.571;0.617;0.453;0.56;0.768;0.768
