;ENSCAFT00000038926_90_90;ENSCAFT00000038928_90_90;ENST00000347613_90_90;ENST00000360642_90_90;ENST00000504131_90_90;ENST00000507875_90_90;ENST00000511092_90_90;ENST00000512813_90_90;ENST00000513761_90_90;ENST00000515420_90_90;ENST00000613795_90_90;ENSMUST00000004430_90_90;ENSMUST00000056508_90_90;ENSMUST00000093490_90_90;ENSMUST00000110301_90_90;ENSMUST00000110302_90_90
ENSCAFT00000038926_90_90;1.0;0.667;0.812;0.846;0.857;0.714;0.308;0.231;1.0;0.231;0.857;0.812;0.8;0.846;1.0;0.667
ENSCAFT00000038928_90_90;0.667;1.0;0.833;0.556;0.765;0.647;0.167;0.111;0.667;0.176;0.765;0.833;0.824;0.647;0.667;1.0
ENST00000347613_90_90;0.812;0.833;1.0;0.647;0.632;0.526;0.235;0.176;0.765;0.176;0.632;1.0;0.632;0.647;0.765;0.842
ENST00000360642_90_90;0.846;0.556;0.647;1.0;0.667;0.533;0.364;0.273;0.846;0.167;0.667;0.647;0.667;0.692;0.846;0.526
ENST00000504131_90_90;0.857;0.765;0.632;0.667;1.0;0.625;0.2;0.133;0.8;0.214;0.75;0.667;0.929;0.846;0.857;0.722
ENST00000507875_90_90;0.714;0.647;0.526;0.533;0.625;1.0;0.231;0.154;0.667;0.25;0.857;0.556;0.786;0.692;0.714;0.611
ENST00000511092_90_90;0.308;0.167;0.235;0.364;0.2;0.231;1.0;0.75;0.308;0.0;0.2;0.235;0.2;0.154;0.308;0.158
ENST00000512813_90_90;0.231;0.111;0.176;0.273;0.133;0.154;0.75;1.0;0.231;0.0;0.133;0.176;0.133;0.077;0.231;0.105
ENST00000513761_90_90;1.0;0.667;0.765;0.846;0.8;0.667;0.308;0.231;1.0;0.231;0.8;0.765;0.8;0.846;1.0;0.632
ENST00000515420_90_90;0.231;0.176;0.176;0.167;0.214;0.25;0.0;0.0;0.231;1.0;0.214;0.176;0.214;0.273;0.231;0.167
ENST00000613795_90_90;0.857;0.765;0.632;0.667;0.75;0.857;0.2;0.133;0.8;0.214;1.0;0.667;0.929;0.846;0.857;0.722
ENSMUST00000004430_90_90;0.812;0.833;1.0;0.647;0.667;0.556;0.235;0.176;0.765;0.176;0.667;1.0;0.632;0.647;0.765;0.842
ENSMUST00000056508_90_90;0.8;0.824;0.632;0.667;0.929;0.786;0.2;0.133;0.8;0.214;0.929;0.632;1.0;0.786;0.8;0.778
ENSMUST00000093490_90_90;0.846;0.647;0.647;0.692;0.846;0.692;0.154;0.077;0.846;0.273;0.846;0.647;0.786;1.0;0.846;0.611
ENSMUST00000110301_90_90;1.0;0.667;0.765;0.846;0.857;0.714;0.308;0.231;1.0;0.231;0.857;0.765;0.8;0.846;1.0;0.632
ENSMUST00000110302_90_90;0.667;1.0;0.842;0.526;0.722;0.611;0.158;0.105;0.632;0.167;0.722;0.842;0.778;0.611;0.632;1.0
