;ENSCAFT00000025386_90_90;ENST00000389900_90_90;ENST00000389902_90_90;ENST00000411812_90_90;ENST00000416985_90_90;ENST00000425013_90_90;ENSMUST00000053498_90_90;ENSMUST00000197296_90_90;ENSMUST00000200430_90_90;ENSMUST00000200607_90_90
ENSCAFT00000025386_90_90;1.0;0.55;0.95;0.15;0.05;0.8;0.812;0.375;0.188;1.0
ENST00000389900_90_90;0.55;1.0;0.591;0.125;0.071;0.684;0.615;0.4;0.222;0.5
ENST00000389902_90_90;0.95;0.591;1.0;0.087;0.048;0.857;0.75;0.312;0.2;0.938
ENST00000411812_90_90;0.15;0.125;0.087;1.0;0.25;0.1;0.231;0.5;0.5;0.188
ENST00000416985_90_90;0.05;0.071;0.048;0.25;1.0;0.056;0.077;0.167;0.333;0.062
ENST00000425013_90_90;0.8;0.684;0.857;0.1;0.056;1.0;0.923;0.286;0.25;0.75
ENSMUST00000053498_90_90;0.812;0.615;0.75;0.231;0.077;0.923;1.0;0.357;0.231;0.812
ENSMUST00000197296_90_90;0.375;0.4;0.312;0.5;0.167;0.286;0.357;1.0;0.286;0.375
ENSMUST00000200430_90_90;0.188;0.222;0.2;0.5;0.333;0.25;0.231;0.286;1.0;0.188
ENSMUST00000200607_90_90;1.0;0.5;0.938;0.188;0.062;0.75;0.812;0.375;0.188;1.0
