;ENSCAFT00000008733_90_90;ENST00000323039_90_90;ENST00000348817_90_90;ENST00000430012_90_90;ENST00000593685_90_90;ENST00000597639_90_90;ENST00000600611_90_90;ENST00000601972_90_90;ENSMUST00000085901_90_90;ENSMUST00000172467_90_90;ENSMUST00000172761_90_90
ENSCAFT00000008733_90_90;1.0;0.455;0.5;0.444;0.455;0.5;0.25;0.25;0.6;0.7;0.625
ENST00000323039_90_90;0.455;1.0;0.889;0.667;1.0;0.889;0.333;0.091;0.8;0.727;0.5
ENST00000348817_90_90;0.5;0.889;1.0;0.75;0.889;1.0;0.375;0.1;0.7;0.636;0.556
ENST00000430012_90_90;0.444;0.667;0.75;1.0;0.667;0.75;0.5;0.125;0.5;0.455;0.714
ENST00000593685_90_90;0.455;1.0;0.889;0.667;1.0;0.889;0.333;0.091;0.8;0.727;0.5
ENST00000597639_90_90;0.5;0.889;1.0;0.75;0.889;1.0;0.375;0.1;0.7;0.636;0.556
ENST00000600611_90_90;0.25;0.333;0.375;0.5;0.333;0.375;1.0;0.2;0.2;0.182;0.286
ENST00000601972_90_90;0.25;0.091;0.1;0.125;0.091;0.1;0.2;1.0;0.2;0.182;0.286
ENSMUST00000085901_90_90;0.6;0.8;0.7;0.5;0.8;0.7;0.2;0.2;1.0;0.9;0.667
ENSMUST00000172467_90_90;0.7;0.727;0.636;0.455;0.727;0.636;0.182;0.182;0.9;1.0;0.6
ENSMUST00000172761_90_90;0.625;0.5;0.556;0.714;0.5;0.556;0.286;0.286;0.667;0.6;1.0
