;ENSCAFT00000048684_90_90;ENST00000335135_90_90;ENST00000526716_90_90;ENST00000526974_90_90;ENST00000528027_90_90;ENST00000528712_90_90;ENST00000532059_90_90;ENST00000532977_90_90;ENST00000622443_90_90;ENSMUST00000067417_90_90;ENSMUST00000118022_90_90;ENSMUST00000121312_90_90;ENSMUST00000132122_90_90;ENSMUST00000137244_90_90;ENSMUST00000156782_90_90
ENSCAFT00000048684_90_90;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.157;0.159;0.0;0.134;0.08;0.08
ENST00000335135_90_90;0.0;;;;;;;;;0.553;0.558;0.335;0.0;0.0;0.0
ENST00000526716_90_90;0.0;;;;;;;;;0.238;0.239;0.591;0.0;0.0;0.0
ENST00000526974_90_90;0.0;;;;;;;;;0.081;0.082;0.0;0.0;0.0;0.0
ENST00000528027_90_90;0.0;;;;;;;;;0.284;0.287;0.0;0.0;0.0;0.0
ENST00000528712_90_90;0.0;;;;;;;;;0.322;0.324;0.787;0.0;0.0;0.0
ENST00000532059_90_90;0.0;;;;;;;;;0.563;0.553;0.333;0.0;0.0;0.0
ENST00000532977_90_90;0.0;;;;;;;;;0.058;0.059;0.0;0.0;0.0;0.0
ENST00000622443_90_90;0.0;;;;;;;;;0.528;0.532;0.342;0.0;0.0;0.0
ENSMUST00000067417_90_90;0.157;0.553;0.238;0.081;0.284;0.322;0.563;0.058;0.528;;;;;;
ENSMUST00000118022_90_90;0.159;0.558;0.239;0.082;0.287;0.324;0.553;0.059;0.532;;;;;;
ENSMUST00000121312_90_90;0.0;0.335;0.591;0.0;0.0;0.787;0.333;0.0;0.342;;;;;;
ENSMUST00000132122_90_90;0.134;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;
ENSMUST00000137244_90_90;0.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;
ENSMUST00000156782_90_90;0.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;
