;ENSCAFT00000044457_90_90;ENST00000295894_90_90;ENST00000450542_90_90;ENST00000460711_90_90;ENST00000465156_90_90;ENST00000468110_90_90;ENST00000472899_90_90;ENST00000478300_90_90;ENST00000479198_90_90;ENST00000498449_90_90;ENSMUST00000070323_90_90;ENSMUST00000112656_90_90;ENSMUST00000153954_90_90;ENSMUST00000223583_90_90
ENSCAFT00000044457_90_90;1.0;0.773;0.045;0.909;0.682;0.545;0.455;0.773;0.727;0.545;0.76;0.76;0.84;1.0
ENST00000295894_90_90;0.773;1.0;0.045;0.818;0.889;0.545;0.45;0.773;0.895;0.722;0.435;0.478;0.565;0.64
ENST00000450542_90_90;0.045;0.045;1.0;0.038;0.05;0.235;0.0;0.238;0.045;0.0;0.056;0.053;0.048;0.125
ENST00000460711_90_90;0.909;0.818;0.038;1.0;0.727;0.462;0.375;0.654;0.739;0.591;0.609;0.652;0.739;0.8
ENST00000465156_90_90;0.682;0.889;0.05;0.727;1.0;0.524;0.5;0.682;0.789;0.706;0.348;0.391;0.619;0.56
ENST00000468110_90_90;0.545;0.545;0.235;0.462;0.524;1.0;0.421;0.762;0.545;0.706;0.208;0.2;0.455;0.542
ENST00000472899_90_90;0.455;0.45;0.0;0.375;0.5;0.421;1.0;0.333;0.45;0.6;0.3;0.35;0.526;0.36
ENST00000478300_90_90;0.773;0.773;0.238;0.654;0.682;0.762;0.333;1.0;0.696;0.545;0.417;0.4;0.48;0.75
ENST00000479198_90_90;0.727;0.895;0.045;0.739;0.789;0.545;0.45;0.696;1.0;0.722;0.391;0.435;0.591;0.6
ENST00000498449_90_90;0.545;0.722;0.0;0.591;0.706;0.706;0.6;0.545;0.722;1.0;0.217;0.261;0.55;0.44
ENSMUST00000070323_90_90;0.76;0.435;0.056;0.609;0.348;0.208;0.3;0.417;0.391;0.217;1.0;0.917;0.545;0.629
ENSMUST00000112656_90_90;0.76;0.478;0.053;0.652;0.391;0.2;0.35;0.4;0.435;0.261;0.917;1.0;0.594;0.629
ENSMUST00000153954_90_90;0.84;0.565;0.048;0.739;0.619;0.455;0.526;0.48;0.591;0.55;0.545;0.594;1.0;0.771
ENSMUST00000223583_90_90;1.0;0.64;0.125;0.8;0.56;0.542;0.36;0.75;0.6;0.44;0.629;0.629;0.771;1.0
