;ENSCAFT00000012435_90_90;ENST00000278422_90_90;ENST00000378312_90_90;ENST00000524972_90_90;ENST00000525035_90_90;ENST00000528110_90_90;ENST00000529403_90_90;ENST00000530114_90_90;ENST00000533602_90_90;ENSMUST00000053664_90_90;ENSMUST00000111664_90_90;ENSMUST00000111665_90_90;ENSMUST00000152149_90_90
ENSCAFT00000012435_90_90;1.0;0.961;0.819;0.289;0.305;0.289;0.305;0.26;0.217;1.0;0.859;1.0;0.175
ENST00000278422_90_90;0.961;1.0;0.865;0.317;0.264;0.317;0.264;0.288;0.241;0.958;0.809;0.958;0.182
ENST00000378312_90_90;0.819;0.865;1.0;0.366;0.244;0.366;0.244;0.333;0.277;0.809;0.949;0.809;0.212
ENST00000524972_90_90;0.289;0.317;0.366;1.0;0.524;1.0;0.524;0.695;0.702;0.299;0.35;0.299;0.557
ENST00000525035_90_90;0.305;0.264;0.244;0.524;1.0;0.524;1.0;0.569;0.575;0.318;0.295;0.318;0.575
ENST00000528110_90_90;0.289;0.317;0.366;1.0;0.524;1.0;0.524;0.695;0.702;0.299;0.35;0.299;0.557
ENST00000529403_90_90;0.305;0.264;0.244;0.524;1.0;0.524;1.0;0.569;0.575;0.318;0.295;0.318;0.575
ENST00000530114_90_90;0.26;0.288;0.333;0.695;0.569;0.695;0.569;1.0;0.781;0.27;0.317;0.27;0.635
ENST00000533602_90_90;0.217;0.241;0.277;0.702;0.575;0.702;0.575;0.781;1.0;0.224;0.262;0.224;0.734
ENSMUST00000053664_90_90;1.0;0.958;0.809;0.299;0.318;0.299;0.318;0.27;0.224;1.0;0.859;1.0;0.175
ENSMUST00000111664_90_90;0.859;0.809;0.949;0.35;0.295;0.35;0.295;0.317;0.262;0.859;1.0;0.859;0.202
ENSMUST00000111665_90_90;1.0;0.958;0.809;0.299;0.318;0.299;0.318;0.27;0.224;1.0;0.859;1.0;0.175
ENSMUST00000152149_90_90;0.175;0.182;0.212;0.557;0.575;0.557;0.575;0.635;0.734;0.175;0.202;0.175;1.0
