;ENSCAFT00000012325_90_90;ENSCAFT00000012333_90_90;ENST00000295951_90_90;ENST00000295952_90_90;ENST00000383718_90_90;ENST00000416658_90_90;ENST00000417128_90_90;ENST00000428312_90_90;ENST00000438794_90_90;ENST00000449503_90_90;ENST00000460223_90_90;ENST00000461354_90_90;ENST00000465203_90_90;ENST00000466255_90_90;ENST00000494088_90_90;ENST00000495364_90_90;ENSMUST00000038522_90_90;ENSMUST00000090359_90_90;ENSMUST00000102956_90_90;ENSMUST00000112330_90_90;ENSMUST00000112331_90_90;ENSMUST00000139075_90_90;ENSMUST00000142679_90_90;ENSMUST00000145738_90_90;ENSMUST00000146438_90_90
ENSCAFT00000012325_90_90;1.0;0.88;0.826;0.826;0.636;0.5;0.591;0.87;0.364;0.783;0.091;0.136;0.409;0.136;0.318;0.304;0.957;0.875;0.957;0.792;0.792;0.917;0.478;0.667;0.304
ENSCAFT00000012333_90_90;0.88;1.0;0.864;0.864;0.667;0.455;0.545;0.909;0.381;0.905;0.045;0.143;0.364;0.143;0.273;0.381;0.913;0.913;0.913;0.909;0.826;0.957;0.435;0.773;0.261
ENST00000295951_90_90;0.826;0.864;1.0;1.0;0.56;0.435;0.565;0.957;0.391;0.955;0.043;0.136;0.391;0.136;0.261;0.364;0.792;0.955;0.792;0.952;0.905;0.913;0.455;0.682;0.273
ENST00000295952_90_90;0.826;0.864;1.0;1.0;0.56;0.435;0.565;0.957;0.391;0.955;0.043;0.136;0.391;0.136;0.261;0.364;0.792;0.955;0.792;0.952;0.905;0.913;0.455;0.682;0.273
ENST00000383718_90_90;0.636;0.667;0.56;0.56;1.0;0.167;0.292;0.6;0.227;0.583;0.0;0.053;0.5;0.053;0.043;0.042;0.682;0.609;0.682;0.591;0.478;0.652;0.182;0.409;0.375
ENST00000416658_90_90;0.5;0.455;0.435;0.435;0.167;1.0;0.667;0.417;0.5;0.455;0.182;0.273;0.105;0.273;0.636;0.583;0.5;0.435;0.5;0.476;0.5;0.417;1.0;0.588;0.059
ENST00000417128_90_90;0.591;0.545;0.565;0.565;0.292;0.667;1.0;0.542;0.6;0.591;0.143;0.214;0.263;0.214;0.5;0.467;0.591;0.522;0.591;0.571;0.6;0.5;0.714;0.706;0.053
ENST00000428312_90_90;0.87;0.909;0.957;0.957;0.6;0.417;0.542;1.0;0.375;0.913;0.042;0.13;0.375;0.13;0.25;0.348;0.833;1.0;0.833;0.909;0.864;0.957;0.435;0.727;0.261
ENST00000438794_90_90;0.364;0.381;0.391;0.391;0.227;0.5;0.6;0.375;1.0;0.409;0.091;0.182;0.176;0.3;0.417;0.385;0.364;0.364;0.364;0.4;0.421;0.348;0.583;0.5;0.0
ENST00000449503_90_90;0.783;0.905;0.955;0.955;0.583;0.455;0.591;0.913;0.409;1.0;0.045;0.143;0.348;0.143;0.273;0.381;0.826;0.909;0.826;1.0;0.857;0.87;0.476;0.714;0.227
ENST00000460223_90_90;0.091;0.045;0.043;0.043;0.0;0.182;0.143;0.042;0.091;0.045;1.0;0.0;0.0;0.0;0.286;0.111;0.091;0.043;0.091;0.048;0.05;0.042;0.182;0.059;0.0
ENST00000461354_90_90;0.136;0.143;0.136;0.136;0.053;0.273;0.214;0.13;0.182;0.143;0.0;1.0;0.0;0.5;0.25;0.375;0.136;0.136;0.136;0.15;0.158;0.13;0.273;0.188;0.0
