;ENSCAFT00000031985_90_90;ENST00000370197_90_90;ENST00000370198_90_90;ENST00000426398_90_90;ENST00000609116_90_90;ENSMUST00000029780_90_90;ENSMUST00000195902_90_90;ENSMUST00000197387_90_90;ENSMUST00000197464_90_90;ENSMUST00000197833_90_90;ENSMUST00000198403_90_90;ENSMUST00000200097_90_90
ENSCAFT00000031985_90_90;1.0;0.0;0.0;0.0;0.0;0.994;0.279;0.062;0.439;0.664;0.071;0.992
ENST00000370197_90_90;0.0;1.0;0.998;0.989;0.991;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000370198_90_90;0.0;0.998;1.0;0.991;0.989;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000426398_90_90;0.0;0.989;0.991;1.0;0.998;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000609116_90_90;0.0;0.991;0.989;0.998;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000029780_90_90;0.994;0.0;0.0;0.0;0.0;1.0;0.279;0.062;0.439;0.669;0.071;0.998
ENSMUST00000195902_90_90;0.279;0.0;0.0;0.0;0.0;0.279;1.0;0.213;0.0;0.307;0.0;0.28
ENSMUST00000197387_90_90;0.062;0.0;0.0;0.0;0.0;0.062;0.213;1.0;0.0;0.093;0.0;0.062
ENSMUST00000197464_90_90;0.439;0.0;0.0;0.0;0.0;0.439;0.0;0.0;1.0;0.654;0.152;0.44
ENSMUST00000197833_90_90;0.664;0.0;0.0;0.0;0.0;0.669;0.307;0.093;0.654;1.0;0.105;0.67
ENSMUST00000198403_90_90;0.071;0.0;0.0;0.0;0.0;0.071;0.0;0.0;0.152;0.105;1.0;0.071
ENSMUST00000200097_90_90;0.992;0.0;0.0;0.0;0.0;0.998;0.28;0.062;0.44;0.67;0.071;1.0
