;transcript7_ENSMSIG00000000513;transcript26_ENSMSIG00000000513;transcript41_ENSMSIG00000000513;transcript43_ENSMSIG00000000513;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript41_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript22_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript33_MGP-CAROLIEiJ-G0020234;transcript42_MGP-CAROLIEiJ-G0020234;transcript43_MGP-CAROLIEiJ-G0020234;transcript26_MGP-PahariEiJ-G0020237;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript33_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript32_ENSMUGG00000013592;transcript33_ENSMUGG00000013592;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript7_ENSMSIG00000000513;1.0;0.993;0.513;0.513;0.742;0.993;0.742;0.987;0.431;0.373;0.382;0.463;0.395;0.421;0.421;0.357;0.302;0.357;0.665;0.417;0.642;0.486;0.418;0.418;0.425;0.297;0.651;0.547;0.547;0.651;0.651
transcript26_ENSMSIG00000000513;0.993;1.0;0.52;0.52;0.748;1.0;0.748;0.993;0.436;0.378;0.387;0.468;0.4;0.426;0.426;0.362;0.307;0.362;0.669;0.415;0.647;0.49;0.423;0.423;0.43;0.302;0.655;0.551;0.551;0.655;0.655
transcript41_ENSMSIG00000000513;0.513;0.52;1.0;1.0;0.71;0.52;0.71;0.524;0.445;0.493;0.293;0.456;0.414;0.446;0.446;0.484;0.299;0.484;0.34;0.432;0.332;0.398;0.442;0.442;0.451;0.292;0.334;0.226;0.226;0.334;0.334
transcript43_ENSMSIG00000000513;0.513;0.52;1.0;1.0;0.71;0.52;0.71;0.524;0.445;0.493;0.293;0.456;0.414;0.446;0.446;0.484;0.299;0.484;0.34;0.432;0.332;0.398;0.442;0.442;0.451;0.292;0.334;0.226;0.226;0.334;0.334
transcript46_ENSMSIG00000000513;0.742;0.748;0.71;0.71;1.0;0.748;1.0;0.742;0.522;0.455;0.293;0.534;0.492;0.524;0.524;0.446;0.378;0.446;0.501;0.516;0.495;0.589;0.521;0.521;0.532;0.372;0.49;0.387;0.387;0.49;0.49
transcript47_ENSMSIG00000000513;0.993;1.0;0.52;0.52;0.748;1.0;0.748;0.993;0.436;0.378;0.387;0.468;0.4;0.426;0.426;0.362;0.307;0.362;0.669;0.415;0.647;0.49;0.423;0.423;0.43;0.302;0.655;0.551;0.551;0.655;0.655
transcript48_ENSMSIG00000000513;0.742;0.748;0.71;0.71;1.0;0.748;1.0;0.742;0.522;0.455;0.293;0.534;0.492;0.524;0.524;0.446;0.378;0.446;0.501;0.516;0.495;0.589;0.521;0.521;0.532;0.372;0.49;0.387;0.387;0.49;0.49
transcript49_ENSMSIG00000000513;0.987;0.993;0.524;0.524;0.742;0.993;0.742;1.0;0.431;0.38;0.387;0.463;0.395;0.421;0.421;0.364;0.302;0.364;0.665;0.409;0.642;0.486;0.418;0.418;0.425;0.297;0.651;0.547;0.547;0.651;0.651
transcript22_MGP-SPRETEiJ-G0021131;0.431;0.436;0.445;0.445;0.522;0.436;0.522;0.431;1.0;0.894;0.752;0.964;0.93;0.961;0.961;0.885;0.819;0.885;0.828;0.854;0.796;0.94;0.94;0.94;0.911;0.798;0.834;0.715;0.715;0.834;0.834
transcript41_MGP-SPRETEiJ-G0021131;0.373;0.378;0.493;0.493;0.455;0.378;0.455;0.38;0.894;1.0;0.727;0.917;0.867;0.898;0.898;0.974;0.753;0.974;0.761;0.803;0.709;0.838;0.838;0.838;0.861;0.695;0.746;0.626;0.626;0.746;0.746
transcript7_ENSMUSG00000054036;0.382;0.387;0.293;0.293;0.293;0.387;0.293;0.387;0.752;0.727;1.0;0.73;0.746;0.724;0.724;0.724;0.839;0.724;0.831;0.623;0.776;0.703;0.703;0.703;0.678;0.815;0.836;0.965;0.965;0.836;0.836
