;ENSCAFT00000031829_90_90;ENST00000327812_90_90;ENST00000372546_90_90;ENST00000406974_90_90;ENST00000412363_90_90;ENSMUST00000028209_90_90;ENSMUST00000113612_90_90;ENSMUST00000123202_90_90;ENSMUST00000137248_90_90;ENSMUST00000155196_90_90
ENSCAFT00000031829_90_90;1.0;0.463;1.0;0.864;0.413;1.0;0.859;0.494;0.439;0.385
ENST00000327812_90_90;0.463;1.0;0.463;0.531;0.905;0.439;0.509;0.113;0.998;0.887
ENST00000372546_90_90;1.0;0.463;1.0;0.864;0.413;1.0;0.859;0.494;0.439;0.385
ENST00000406974_90_90;0.864;0.531;0.864;1.0;0.477;0.859;0.999;0.354;0.509;0.448
ENST00000412363_90_90;0.413;0.905;0.413;0.477;1.0;0.385;0.448;0.123;0.887;0.998
ENSMUST00000028209_90_90;1.0;0.439;1.0;0.859;0.385;1.0;0.864;0.476;0.463;0.413
ENSMUST00000113612_90_90;0.859;0.509;0.859;0.999;0.448;0.864;1.0;0.341;0.531;0.477
ENSMUST00000123202_90_90;0.494;0.113;0.494;0.354;0.123;0.476;0.341;1.0;0.106;0.114
ENSMUST00000137248_90_90;0.439;0.998;0.439;0.509;0.887;0.463;0.531;0.106;1.0;0.905
ENSMUST00000155196_90_90;0.385;0.887;0.385;0.448;0.998;0.413;0.477;0.114;0.905;1.0
