;ENSCAFT00000021589_90_90;ENSCAFT00000021597_90_90;ENSCAFT00000021600_90_90;ENST00000324432_90_90;ENST00000413936_90_90;ENST00000423646_90_90;ENST00000425780_90_90;ENST00000429179_90_90;ENST00000430490_90_90;ENST00000435251_90_90;ENST00000435861_90_90;ENST00000438930_90_90;ENST00000442516_90_90;ENST00000446600_90_90;ENST00000446820_90_90;ENST00000451769_90_90;ENST00000456590_90_90;ENST00000457529_90_90;ENSMUST00000005072_90_90;ENSMUST00000111142_90_90;ENSMUST00000111144_90_90;ENSMUST00000111145_90_90;ENSMUST00000125827_90_90;ENSMUST00000130345_90_90;ENSMUST00000199239_90_90
ENSCAFT00000021589_90_90;;;;0.657;0.657;0.234;0.128;0.197;0.657;0.144;0.169;0.169;0.037;0.511;0.591;0.073;0.057;0.113;0.647;0.659;0.631;0.631;0.489;0.019;0.272
ENSCAFT00000021597_90_90;;;;0.591;0.591;0.253;0.138;0.212;0.591;0.154;0.183;0.183;0.039;0.445;0.633;0.079;0.062;0.121;0.627;0.639;0.676;0.676;0.484;0.021;0.294
ENSCAFT00000021600_90_90;;;;0.591;0.591;0.253;0.138;0.212;0.591;0.154;0.183;0.183;0.039;0.445;0.633;0.079;0.062;0.121;0.627;0.639;0.676;0.676;0.484;0.021;0.294
ENST00000324432_90_90;0.657;0.591;0.591;;;;;;;;;;;;;;;;0.795;0.808;0.776;0.776;0.51;0.021;0.283
ENST00000413936_90_90;0.657;0.591;0.591;;;;;;;;;;;;;;;;0.795;0.808;0.776;0.776;0.51;0.021;0.283
ENST00000423646_90_90;0.234;0.253;0.253;;;;;;;;;;;;;;;;0.269;0.265;0.283;0.283;0.413;0.074;0.845
ENST00000425780_90_90;0.128;0.138;0.138;;;;;;;;;;;;;;;;0.149;0.146;0.157;0.157;0.228;0.145;0.465
ENST00000429179_90_90;0.197;0.212;0.212;;;;;;;;;;;;;;;;0.228;0.224;0.239;0.239;0.346;0.087;0.701
ENST00000430490_90_90;0.657;0.591;0.591;;;;;;;;;;;;;;;;0.795;0.808;0.776;0.776;0.51;0.021;0.283
ENST00000435251_90_90;0.144;0.154;0.154;;;;;;;;;;;;;;;;0.147;0.163;0.174;0.174;0.095;0.0;0.0
ENST00000435861_90_90;0.169;0.183;0.183;;;;;;;;;;;;;;;;0.197;0.193;0.207;0.207;0.299;0.1;0.602
ENST00000438930_90_90;0.169;0.183;0.183;;;;;;;;;;;;;;;;0.197;0.193;0.207;0.207;0.299;0.1;0.602
ENST00000442516_90_90;0.037;0.039;0.039;;;;;;;;;;;;;;;;0.044;0.042;0.045;0.045;0.065;0.535;0.13
ENST00000446600_90_90;0.511;0.445;0.445;;;;;;;;;;;;;;;;0.627;0.641;0.605;0.605;0.336;0.0;0.094
ENST00000446820_90_90;0.591;0.633;0.633;;;;;;;;;;;;;;;;0.771;0.785;0.839;0.839;0.503;0.024;0.308
ENST00000451769_90_90;0.073;0.079;0.079;;;;;;;;;;;;;;;;0.087;0.085;0.091;0.091;0.131;0.266;0.26
ENST00000456590_90_90;0.057;0.062;0.062;;;;;;;;;;;;;;;;0.069;0.067;0.072;0.072;0.103;0.327;0.208
ENST00000457529_90_90;0.113;0.121;0.121;;;;;;;;;;;;;;;;0.131;0.128;0.138;0.138;0.201;0.165;0.413
ENSMUST00000005072_90_90;0.647;0.627;0.627;0.795;0.795;0.269;0.149;0.228;0.795;0.147;0.197;0.197;0.044;0.627;0.771;0.087;0.069;0.131;;;;;;;
ENSMUST00000111142_90_90;0.659;0.639;0.639;0.808;0.808;0.265;0.146;0.224;0.808;0.163;0.193;0.193;0.042;0.641;0.785;0.085;0.067;0.128;;;;;;;
ENSMUST00000111144_90_90;0.631;0.676;0.676;0.776;0.776;0.283;0.157;0.239;0.776;0.174;0.207;0.207;0.045;0.605;0.839;0.091;0.072;0.138;;;;;;;
ENSMUST00000111145_90_90;0.631;0.676;0.676;0.776;0.776;0.283;0.157;0.239;0.776;0.174;0.207;0.207;0.045;0.605;0.839;0.091;0.072;0.138;;;;;;;
ENSMUST00000125827_90_90;0.489;0.484;0.484;0.51;0.51;0.413;0.228;0.346;0.51;0.095;0.299;0.299;0.065;0.336;0.503;0.131;0.103;0.201;;;;;;;
ENSMUST00000130345_90_90;0.019;0.021;0.021;0.021;0.021;0.074;0.145;0.087;0.021;0.0;0.1;0.1;0.535;0.0;0.024;0.266;0.327;0.165;;;;;;;
ENSMUST00000199239_90_90;0.272;0.294;0.294;0.283;0.283;0.845;0.465;0.701;0.283;0.0;0.602;0.602;0.13;0.094;0.308;0.26;0.208;0.413;;;;;;;
