;ENSCAFT00000014940_90_90;ENSCAFT00000016916_90_90;ENSCAFT00000023521_90_90;ENST00000342558_90_90;ENST00000360663_90_90;ENST00000394828_90_90;ENST00000394829_90_90;ENST00000430762_90_90;ENST00000323055_90_90;ENST00000394853_90_90;ENST00000394854_90_90;ENST00000492351_90_90;ENST00000507176_90_90;ENST00000512215_90_90;ENST00000525819_90_90;ENST00000529324_90_90;ENSMUST00000022355_90_90;ENSMUST00000159027_90_90;ENSMUST00000161445_90_90;ENSMUST00000161989_90_90;ENSMUST00000056758_90_90;ENSMUST00000070198_90_90
ENSCAFT00000014940_90_90;1.0;0.952;0.754;0.615;0.727;0.793;0.762;0.312;0.879;0.96;0.916;0.023;0.742;0.619;0.209;0.243;0.825;0.791;0.754;0.678;0.893;0.935
ENSCAFT00000016916_90_90;0.952;1.0;0.8;0.619;0.743;0.762;0.777;0.333;0.839;0.916;0.963;0.022;0.79;0.666;0.201;0.233;0.791;0.805;0.77;0.68;0.94;0.893
ENSCAFT00000023521_90_90;0.754;0.8;1.0;0.767;0.907;0.898;0.911;0.345;0.653;0.727;0.771;0.026;0.632;0.485;0.221;0.259;0.898;0.911;0.907;0.773;0.812;0.765
ENST00000342558_90_90;0.615;0.619;0.767;1.0;0.766;0.773;0.736;0.21;0.52;0.591;0.595;0.029;0.46;0.328;0.238;0.279;0.735;0.702;0.729;0.903;0.627;0.623
ENST00000360663_90_90;0.727;0.743;0.907;0.766;1.0;0.898;0.954;0.374;0.629;0.702;0.718;0.026;0.58;0.437;0.221;0.259;0.859;0.872;0.907;0.702;0.752;0.737
ENST00000394828_90_90;0.793;0.762;0.898;0.773;0.898;1.0;0.945;0.366;0.688;0.763;0.736;0.026;0.597;0.452;0.223;0.261;0.952;0.903;0.859;0.779;0.773;0.805
ENST00000394829_90_90;0.762;0.777;0.911;0.736;0.954;0.945;1.0;0.416;0.663;0.736;0.751;0.025;0.615;0.47;0.212;0.248;0.903;0.914;0.872;0.743;0.788;0.773
ENST00000430762_90_90;0.312;0.333;0.345;0.21;0.374;0.366;0.416;1.0;0.284;0.312;0.333;0.0;0.412;0.486;0.0;0.0;0.366;0.386;0.345;0.249;0.339;0.318
ENST00000323055_90_90;0.879;0.839;0.653;0.52;0.629;0.688;0.663;0.284;1.0;0.917;0.873;0.048;0.663;0.574;0.254;0.293;0.717;0.689;0.653;0.579;0.785;0.82
ENST00000394853_90_90;0.96;0.916;0.727;0.591;0.702;0.763;0.736;0.312;0.917;1.0;0.952;0.044;0.742;0.653;0.233;0.269;0.793;0.762;0.727;0.651;0.861;0.899
ENST00000394854_90_90;0.916;0.963;0.771;0.595;0.718;0.736;0.751;0.333;0.873;0.952;1.0;0.041;0.79;0.701;0.223;0.257;0.762;0.777;0.743;0.653;0.905;0.861
ENST00000492351_90_90;0.023;0.022;0.026;0.029;0.026;0.026;0.025;0.0;0.048;0.044;0.041;1.0;0.0;0.05;0.181;0.157;0.026;0.025;0.026;0.026;0.022;0.024
ENST00000507176_90_90;0.742;0.79;0.632;0.46;0.58;0.597;0.615;0.412;0.663;0.742;0.79;0.0;1.0;0.539;0.11;0.146;0.623;0.641;0.605;0.52;0.736;0.689
ENST00000512215_90_90;0.619;0.666;0.485;0.328;0.437;0.452;0.47;0.486;0.574;0.653;0.701;0.05;0.539;1.0;0.11;0.105;0.477;0.494;0.46;0.385;0.613;0.568
ENST00000525819_90_90;0.209;0.201;0.221;0.238;0.221;0.223;0.212;0.0;0.254;0.233;0.223;0.181;0.11;0.11;1.0;0.865;0.223;0.212;0.221;0.228;0.204;0.212
ENST00000529324_90_90;0.243;0.233;0.259;0.279;0.259;0.261;0.248;0.0;0.293;0.269;0.257;0.157;0.146;0.105;0.865;1.0;0.261;0.248;0.259;0.266;0.237;0.247
ENSMUST00000022355_90_90;0.825;0.791;0.898;0.735;0.859;0.952;0.903;0.366;0.717;0.793;0.762;0.026;0.623;0.477;0.223;0.261;1.0;0.945;0.898;0.819;0.803;0.839
ENSMUST00000159027_90_90;0.791;0.805;0.911;0.702;0.872;0.903;0.914;0.386;0.689;0.762;0.777;0.025;0.641;0.494;0.212;0.248;0.945;1.0;0.954;0.778;0.818;0.803
ENSMUST00000161445_90_90;0.754;0.77;0.907;0.729;0.907;0.859;0.872;0.345;0.653;0.727;0.743;0.026;0.605;0.46;0.221;0.259;0.898;0.954;1.0;0.736;0.78;0.765
ENSMUST00000161989_90_90;0.678;0.68;0.773;0.903;0.702;0.779;0.743;0.249;0.579;0.651;0.653;0.026;0.52;0.385;0.228;0.266;0.819;0.778;0.736;1.0;0.691;0.689
ENSMUST00000056758_90_90;0.893;0.94;0.812;0.627;0.752;0.773;0.788;0.339;0.785;0.861;0.905;0.022;0.736;0.613;0.204;0.237;0.803;0.818;0.78;0.691;1.0;0.951
ENSMUST00000070198_90_90;0.935;0.893;0.765;0.623;0.737;0.805;0.773;0.318;0.82;0.899;0.861;0.024;0.689;0.568;0.212;0.247;0.839;0.803;0.765;0.689;0.951;1.0
